id|enabled|wow_itemid|wow_spelltemplateid|drop_rate|name|size_mod|race_id|match_gender|match_texture|match_helmtexture|match_face|display_gender|display_texture|display_helmtexture|display_face
1|1|123000|120001|low|Priest of Discord|1|1|0|11|0|4|0|11|0|4
2|1|123001|120002|low|Human (Male)|1|1|0|-1|-1|-1|0|0|0|0
3|1|123002|120003|low|Human (Female)|1|1|1|-1|-1|-1|1|0|0|0
4|1|123003|120004|low|Barbarian (Male)|1|2|0|-1|-1|-1|0|0|0|0
5|1|123004|120005|low|Barbarian (Female)|1|2|1|-1|-1|-1|1|0|0|0
6|1|123005|120006|low|Erudite (Male)|1|3|0|-1|-1|-1|0|0|0|0
7|1|123006|120007|low|Erudite (Female)|1|3|1|-1|-1|-1|1|0|0|0
8|1|123007|120008|low|Wood Elf (Male)|1|4|0|-1|-1|-1|0|0|0|0
9|1|123008|120009|low|Wood Elf (Female)|1|4|1|-1|-1|-1|1|0|0|0
10|1|123009|120010|low|High Elf (Male)|1|5|0|-1|-1|-1|0|0|0|0
11|1|123010|120011|low|High Elf (Female)|1|5|1|-1|-1|-1|1|0|0|0
12|1|123011|120012|low|Dark Elf (Male)|1|6|0|-1|-1|-1|0|0|0|0
13|1|123012|120013|low|Dark Elf (Female)|1|6|1|-1|-1|-1|1|0|0|0
14|1|123013|120014|low|Half Elf (Male)|1|7|0|-1|-1|-1|0|0|0|0
15|1|123014|120015|low|Half Elf (Female)|1|7|1|-1|-1|-1|1|0|0|3
16|1|123015|120016|low|Dwarf (Male)|1|8|0|-1|-1|-1|0|0|0|0
17|1|123016|120017|low|Dwarf (Female)|1|8|1|-1|-1|-1|1|0|0|0
18|1|123017|120018|low|Troll (Male)|1|9|0|-1|-1|-1|0|0|0|0
19|1|123018|120019|low|Troll (Female)|1|9|1|-1|-1|-1|1|0|0|0
20|1|123019|120020|low|Ogre (Male)|1|10|0|-1|-1|-1|0|0|0|0
21|1|123020|120021|low|Ogre (Female)|1|10|1|-1|-1|-1|1|0|0|0
22|1|123021|120022|low|Halfling (Male)|1|11|0|-1|-1|-1|0|0|0|0
23|1|123022|120023|low|Halfling (Female)|1|11|1|-1|-1|-1|1|0|0|0
24|1|123023|120024|low|Gnome (Male)|1|12|0|-1|-1|-1|0|0|0|0
25|1|123024|120025|low|Gnome (Female)|1|12|1|-1|-1|-1|1|0|0|0
26|1|123025|120026|low|Aviak (Black)|1|13|-1|0|-1|-1|2|0|0|0
27|1|123026|120027|low|Aviak (Brown)|1|13|-1|1|-1|-1|2|1|1|1
28|1|123027|120028|low|Aviak (Red)|1|13|-1|2|-1|-1|2|2|0|0
29|1|123028|120029|low|Werewolf|1|14|-1|-1|-1|-1|2|0|0|0
30|1|123029|120030|low|Brownie (Male)|1|15|0|-1|-1|-1|0|0|0|0
31|1|123030|120031|low|Brownie (Female)|1|15|1|-1|-1|-1|1|0|0|0
32|1|123031|120032|low|Centaur|1|16|-1|-1|-1|-1|2|1|0|0
33|1|123032|120033|low|Mud Golem|1|17|2|0|-1|-1|2|0|0|0
34|1|123033|120034|low|Stone Golem|1|17|2|1|-1|-1|2|1|0|0
35|1|123034|120035|low|Steel Golem|1|17|2|2|-1|-1|2|2|0|0
36|1|123035|120036|low|Ebon Golem|1|17|2|3|-1|-1|2|3|0|2
37|1|123036|120037|low|Crystal Golem|1|17|0|-1|-1|-1|0|0|0|0
38|1|123037|120038|low|Cyclops|1|18|2|0|-1|-1|2|0|0|0
39|1|123038|120039|low|Fire Giant|1|18|2|1|-1|-1|2|1|1|0
40|1|123039|120040|low|Hill Giant|1|18|2|2|-1|-1|2|2|2|0
41|1|123040|120041|low|Ice Giant|1|18|2|3|-1|-1|2|3|3|0
42|1|123041|120042|low|Sand Giant|1|18|2|4|-1|-1|2|4|4|0
43|1|123042|120043|high|Trakanon|1|19|-1|-1|-1|-1|2|0|0|0
44|1|123043|120044|high|Venril Sathir|1|20|-1|-1|-1|-1|2|0|0|0
45|1|123044|120045|low|Evil Eye|1|21|-1|-1|-1|-1|2|0|0|0
46|1|123045|120046|low|Death Beetle|0.4|22|-1|2|-1|-1|2|2|0|0
47|1|123046|120047|low|Scarab|0.4|22|-1|3|-1|-1|2|3|0|0
48|1|123047|120048|low|Fire Beetle|0.4|22|-1|-1|-1|-1|2|0|0|0
49|1|123048|120049|low|Kerra (Male)|1|23|0|0|-1|-1|0|0|0|0
50|1|123049|120050|low|Kejekan (Male)|1|23|0|1|-1|-1|0|1|0|0
51|1|123050|120051|low|Kerra (Female)|1|23|1|0|-1|-1|1|0|0|0
52|1|123051|120052|low|Kejekan (Female)|1|23|1|1|-1|-1|1|1|0|0
53|1|123052|120053|low|Fish|0.3|24|-1|-1|-1|-1|2|0|0|0
54|1|123053|120054|low|Fairy|1|25|-1|-1|-1|-1|1|0|0|0
