id|zone|npc_name|eq_npc_id|event|emote_type|chance|param1|param2|min_expansion|max_expansion|text|comment
1|airplane|Gwan|71069|death|emote|100|0|0|-1|-1|lets out one last, frustrated breath and gasps.|event_death_complete speech
2|airplane|Gwan|71069|death|say|100|0|0|-1|-1|Trunt! Prepare yourself!|event_death_complete speech
3|airplane|Gwan|71069|spawn|say|100|0|0|-1|-1|Im ready when you are. Tell me when you are [prepared].|event_spawn speech
4|airplane|Sirran_the_Lunatic|71058|combat|shout|100|0|0|-1|-1|What?! Now you've done it! The bunnies are angry! ANGRY I TELL YOU!|event_combat speech
5|akanon|Cleaner_X|55161|timer|say|100|120000|240000|-1|-1|Click.. Dust. Dust. Dust.|event_waypoint_arrive bark (approximated as timer)
6|akanon|Clockwork_IIZ|55086|timer|say|100|3100000|3100000|-1|-1|Please do not disturb the animals.|event_timer bark
7|akanon|Clockwork_IZ|55216|timer|say|100|4200000|4200000|-1|-1|Do not poke, shoot, or enchant the animals.|event_timer bark
8|akanon|Duster_V|55163|timer|say|100|120000|240000|-1|-1|Click.. Dust. Dust. Dust.|event_waypoint_arrive bark (approximated as timer)
9|akanon|Duster_X|55001|timer|say|100|120000|240000|-1|-1|Click.. Dust. Dust. Dust.|event_waypoint_arrive bark (approximated as timer)
10|akanon|Scrubber_IV|55221|timer|say|100|120000|240000|-1|-1|Click.. Dust. Dust. Dust.|event_waypoint_arrive bark (approximated as timer)
11|burningwood|Azdalin|87006|combat|say|100|0|0|-1|-1|Foolish adventurer!! You shall die. You are nothing to Azdalin.|event_combat speech
12|burningwood|Azdalin|87006|combat|say|100|0|0|-1|-1|$class like you always bring out the worst in me!|event_combat speech
13|burningwood|Azdalin|87006|combat|say|100|0|0|-1|-1|I really hate $class like you!|event_combat speech
14|burningwood|Azdalin|87006|combat|say|100|0|0|-1|-1|$class like you are an affront to my senses!|event_combat speech
15|burningwood|Gylton|87070|combat|say|100|0|0|-1|-1|You will perish!! You are weak and should have kept to your own realm!!|event_combat speech
16|burningwood|Gylton|87070|combat|say|100|0|0|-1|-1|$class like you always bring out the worst in me!|event_combat speech
17|burningwood|Gylton|87070|combat|say|100|0|0|-1|-1|I really hate $class like you!|event_combat speech
18|burningwood|Gylton|87070|combat|say|100|0|0|-1|-1|$class like you are an affront to my senses!|event_combat speech
19|burningwood|Gylton|87070|death|emote|100|0|0|-1|-1|slams to the ground with a loud THUD!! The ground around you still trembles. 'Now.. I shall never slay my blasphemous.. brother.. Xyl..'|event_death_complete speech
20|chardok|A_mix|103210|proximity|emote|100|25|60000|-1|-1|sulfur and dust hangs heavily in the air.|event_enter box trigger
21|chardok|Clanging_sounds|103196|proximity|emote|100|25|60000|-1|-1|of metal striking stone echo through the tunnel.|event_enter box trigger
22|chardok|The_clang|103161|proximity|emote|100|25|60000|-1|-1|of picks and shovels can be heard above the constant crack of whips.|event_enter box trigger
23|chardok|The_cries|103160|proximity|emote|100|25|60000|-1|-1|of slaves echo through the dusty halls.|event_enter box trigger
24|chardok|The_musty|103168|proximity|emote|100|25|60000|-1|-1|scent of sweat and labor wafts up from the tunnels below.|event_enter box trigger
25|chardok|The_sounds|103176|proximity|emote|100|25|60000|-1|-1|of hard labor ring from below as chains rattle above your head.|event_enter box trigger
26|chardok|The_stench|103187|proximity|emote|100|25|60000|-1|-1|of decaying flesh and freshly turned soil overpowers your other senses.|event_enter box trigger
