id|emoteid|event|type|text
1|1|1|0|Time to die $name.
2|2|1|0|Your bones will be crushed by the Kromzek of Kael Drakkel!
3|3|1|0|Your bones will be crushed by the Kromrif of Kael Drakkel!
4|4|1|1|growls and lunges at you!
5|5|0|1|raises his arms triumphantly.
6|5|1|1|grunts at you and rushes in to attack
7|5|3|1|falls lifelessly to the ground...
8|6|1|0|I will gut you like a fish when I am done.
9|7|1|0|I will show them all that I am a true Kromrif warrior!
10|8|1|0|Watch carefully as I kill this fool, my students!
11|9|1|0|Only a fool would attack a merchant in the city of Kael Drakkel!
12|10|1|0|I will wash my hands of your blood when I am done!
13|11|1|0|You will not live to regret that!
14|12|2|1|staggers, then falls hard to the ground, whatever animating force it possessed now lost.
15|13|1|1|howls and charges!
16|14|1|0|Death to all!!  None shall get the mallet!!  All shall die!!
17|15|1|0|Areeeeewwwww
18|16|1|0|Run!!  Leave this place at once!!
19|17|7|0|Dig! Dig faster, you fools! Our masters say this ghost is all that stands in the way of the great one's return. Uncover his hiding place so that the forces of the Burning Dead might destroy him and recover its legacy!
20|18|1|1|lowers his horn and charges!
21|19|1|0|You have sealed your own fate!
22|20|1|0|You have made your last mistake.
23|21|1|0|How dare you interrupt the games!
24|22|1|0|How dare you take up arms against me!
25|23|1|0|How dare you tread on this holy ground?!
26|24|1|0|You will not defile our temple!
27|25|1|0|You will die a fool's death.
28|26|1|0|Rallos, grant me the power to destroy this fool!
29|27|1|1|waves its arms and gibbers incomprehensibly.
30|28|1|0|You are not welcome in Tunares sacred lands!
31|29|1|1|emits a high-pitched screech and dives with its claws extended.
32|30|1|0|The branch has been broken and now shall be burned.  Your ashes shall join the intricate tangle of tales carried by the winds.
33|31|1|0|Puny creature, feel the might of the Kromrif as I crush you into mortar for our walls!
34|32|1|0|Heretic!  Dare you enter our sacred halls?  Your crimes shall not go unpunished.  You shall die for your deeds.
35|33|1|0|More souls for the mistress.
36|34|1|0|The might of the oceans is at my command, and with it I shall end your existence, strange one!!
37|34|4|0|I can't wait till the warriors take us out for a swim in the bay!  They say it is too dangerous for us to go out ourselves because of the sharks, buthar, sirens, and that nasty sea dragon Kel...Kelo...Kelorek'Dar.
38|35|1|0|The might of the oceans is at my command, and with it I shall end your existence, strange one!!
39|35|4|0|We must continually give praise to the great Prexus for the blessings he has bestowed upon we Othmir!  It is because of our devotion to the Ocean Lord that our shores will never fail to yield a rich harvest of shell fish!
40|36|1|0|The might of the oceans is at my command, and with it I shall end your existence, strange one!!
41|36|4|0|Welcome strange one! I am on watch duty so I'm afraid I have not the time to converse. Perhaps when my shift is over we can exchange words over a bowl of spicy clam chowder.
42|37|1|0|The might of the oceans is at my command, and with it I shall end your existence, strange one!!
43|38|1|0|The might of the oceans is at my command, and with it I shall end your existence, strange one!!
44|38|4|0|Excuse me, strange one, for my rudeness, but I must finish collecting the shellfish for tonight's feast in time for them to be properly prepared.
45|39|1|1|begins singing an eerie enchanting song that numbs your senses and clouds your mind.
46|40|1|0|Ugly creature near my feet, me thinks that you'll be good to eat!
48|41|1|0|Time to mine fer yer brains!!
49|41|3|0|Aaargh!!  The picks of Mining Guild 628 shall avenge my death.
50|42|1|0|You have trespassed long enough on Sabertooth land!
51|43|1|0|Grrrr..  <Barkk!!>  No get..  stout!!
52|44|1|0|YAP! YAP! YAP! In the way of my father, I claim your blood for the glory of Blackburrow!! WOOOOOOOF!!
53|45|1|0|Grrr..  <Ruff!!> <Bark!!> <Bark!!>  You'll not get him!! 'A baby's cry can be heard coming from his backpack'
54|46|1|0|In the name of the Rainkeeper, I strike at thee!!
55|46|3|0|You will meet your own doom soon enough, my friend.. my influence with the Knights of Thunder is great, and they will not rest until I am avenged!
56|47|9|0|For the glory of Kaladim!! You are no more.
57|47|1|0|For the glory of Kaladim, have at thee!!
58|47|3|0|My brothers of the Stormguard shall avenge me!!  Your days are numbered!
59|48|1|1|hisses and strikes!
60|49|1|0|Guards!!  Guards!!
61|49|3|0|My comrades will avenge my death.
62|50|1|0|Let me release your soul.
63|50|3|0|Your destiny lies at the hands of the Greenbloods.
64|51|1|0|Die, like a motherless gnoll!
65|51|3|0|My comrades will avenge my death.
66|52|1|0|The blades of the Butcherblock Bandits do not discriminate!!
67|52|3|0|You shall soon feel the daggers of the Butcherblock Bandits upon your back!!
68|53|9|0|Yet another victory for Kaladim and the Bloodforge Brigade!
69|53|1|0|Now you shall know the skill of a member of the Bloodforge Brigade!!
70|53|3|0|My brothers of the Stormguard shall avenge me!!  Your days are numbered!
71|54|1|0|Death!! Death to all who oppose the Crushbone orcs!!
72|54|3|0|You shall have all the Crushbone orc legions on your tail for my death!
73|55|1|0|Ahhh, money in the bank!
74|56|1|0|Cease and desist!!
75|56|3|0|You have not won.  Consider yourself wanted by the Legion of Cabilis.
76|56|9|0|Another victory for the Legion of Cabilis.
78|57|1|0|Hiss..  You cannot hope defeat a Crusader of Greenmist!!
79|57|3|0|Ha ha!!  Fool..  The Crusaders of Greenmist shall torture you to death!!  Ha ha!!
80|58|1|0|Fear the blades of the Iksar!!
81|58|3|0|You have not won.  Consider yourself wanted by the Legion of Cabilis.
82|58|9|0|Another victory for the Legion of Cabilis.
84|59|0|0|You are nothing compared to the dark power of the Brood of Kotiz.
85|59|1|0|Begin your prayers, young simpleton!!  Your time on this realm has expired.
86|60|1|0|Troopers!!  Help!!
87|60|9|0|Imagine that!!  A simple Iksar resident defeating an adventurer.  Ha!!  You should have stayed at home and become a humble merchant.  Fool!!
88|61|1|0|The time has come to do you in, to demonstrate the power of Thurgadin!
89|62|1|0|Your blood in the snow will leave a deep stain!  A reminder to all not to cross the Coldain!
90|63|1|0|I'll hack at your knees 'till you fall down!  Out of love for the Dain, for the glory of the crown!
91|64|1|0|Rygorr orcs kill in the snow!  We'll bash in your face and cut off your toe!!
92|65|1|0|You are the weak that we shall cull!  We'll rip off your head and polish your skull!!
93|66|1|0|Crush, maim, kill, and defy!  For dinner tonight, your brains we shall fry!
94|67|1|0|Yer messin with the wrong Coldain, prepare ta meet yer ancestors!
95|68|1|2|Yer messin with the wrong Coldain, prepare ta meet yer ancestors!
96|69|1|0|Take this ya lily livered landlubber!
97|69|9|0|Dead fools tell no tales.
98|70|1|0|We crush you!!  We still be centurions!!
99|71|1|1|glows with power as it begins to chant!
100|71|3|1|convulses on the ground and dies!
101|72|1|1|attacks you with unnatural strength!
102|72|3|1|spins and falls to the ground!
103|73|1|1|attacks with eerie speed!
104|73|3|1|spins and falls to the ground!
105|74|1|1|stares at you for a moment and then attacks!
106|74|3|0|You cannot ssstop the coming of Fear!
107|75|1|0|Your flesssh will ssserve usss well!
108|75|3|1|begins to smolder as smoke and slime pours from its scales.
109|76|1|1|begins to murmur a grotesque incantation...
110|76|3|1|froths at the mouth as it curls on the ground!
111|77|1|1|lunges towards you with a low hiss!
112|77|3|1|crumbles to the ground in a spray of reptilian blood!
113|78|1|1|unleashes a barrage of savage attacks!
114|78|3|1|yells out in pain and falls to the ground!
115|79|1|1|releases a roaring hiss and attacks!
116|79|3|1|hisses and collapses violently!
117|80|1|1|waches your movement for a moment and attacks!
118|80|3|1|scuttles for a moment before curling up!
119|81|1|1|drips venom as it snaps its mandibles at you!
120|81|3|1|crumbles under the duress of your assault!
121|82|1|1|moves towards you with savage momentum!
122|82|3|1|roars and staggers to the ground!
123|83|1|1|babbles incoherently as it attacks!
124|83|3|1|sprays black slime from its wounds and mouth!
125|84|1|1|attacks with incredible precision!
126|84|3|1|drips black fluid from its eyes and mouth.
127|85|1|1|continues to chant as it turns to face you!
128|85|3|1|falls... black slime pouring from its wounds!
129|86|1|0|I can tassste your flesssh!
130|86|3|1|hisses through a mouth full of viscous black slime!
131|87|1|0|Prepare to ssspend an eternity in Fear!
132|87|3|0|I mussst finisssh the ritual!  I mussst reach the void...
133|88|1|1|reaches for you with its viscid tendril!
134|88|3|1|explodes into sticky strands of viscous matter!
135|89|1|1|moves with incomprehensible speed and fluidity!
136|89|3|1|bursts with an acidic splash, causing the ground to smolder!
137|90|1|0|You're not welcome in Freeport.
138|90|3|0|Your name shall be added to the most wanted list of the Freeport Militia!!
139|91|1|0|Stand where you are, scum!!
140|91|3|0|Your name shall be added to the most wanted list of the Freeport Militia!!
141|92|1|0|I shall show you the pure fury of the Dead!!
142|92|3|0|Soon you shall learn the extent of the Dead's power.  Vengeance shall be theirs.
143|93|1|0|You shall bleed!!  All hail the Deathfist!!
144|93|3|0|Aaarrghh!!  The Deathfist shall hunt you down.  My death will not go unnoticed.
145|94|1|0|Centurions!!  Attack!!
146|94|3|0|Aaarrghh!!  The Deathfist shall hunt you down.  My death will not go unnoticed.
147|95|1|0|Come feel the steel of an orc legionnaire!!
148|95|3|0|Aaarrghh!!  The Deathfist shall hunt you down.  My death will not go unnoticed.
149|96|1|0|Your intolerable reputation insults all in this realm!
150|96|3|0|My comrades will avenge my death.
151|97|1|0|There must be hundreds of interlopers in this place of nature, and this one has just crossed paths with terrible fate!
152|97|3|0|Aaaaagh, not like this!
153|98|3|0|Start digging your grave.  The Indigo Brotherhood shall find you.
154|98|9|0|Hardly a worthy adversary.  A member of the Indigo Brotherhood deserves a much better opponent.
156|99|1|0|How dare you!
157|99|3|0|My comrades will avenge my death.
158|100|1|0|Guards!  Guards!  Help me!!
159|100|3|0|My comrades will avenge my death.
160|101|1|0|This one will prevent the invader from going forth.
161|101|2|3|The velium golem crumbles to the floor, broken and no longer useful to the shrine.
162|102|1|0|Guardians, there is an invader amongst us!  We must destroy them!
163|102|2|3|The lifeless velium figure falls to the ground, unable to serve the shrine any longer
164|103|1|0|Foul being, you have trifled with one of the kin and now you will die!
165|103|2|0|My life is extinguished, but my life force will live on to aid the shrine!
166|104|1|0|Make ready, you are about to meet your maker!
167|104|3|0|This atrocity will not go unpunished.
168|105|1|0|Heathen!  Now feel the power of the kin of the shrine!
169|105|3|0|My lord, forgive me for I have failed you.
170|106|1|0|Foolish mortal!  How dare you try to disturb the sanctity of the shrine!
171|106|2|3|The massive wurm corpse falls to the ground with a great thud, no remaining air left in its lungs.
172|107|1|0|You dare question the might of the Shrine!?
173|108|1|0|You are no match for a legionnaire!!
174|108|3|0|You shall have all the Crushbone orc legions on your tail for my death!
175|109|1|0|Pardon me.  Is that my dagger in your back!!
176|109|2|0|You shall soon feel the daggers of the Butcherblock Bandits upon your back!!
177|110|1|0|Centurions!!  Legionnaires!!  Come join the fight!
178|110|2|0|You shall have all the Crushbone orc legions on your tail for my death!
179|111|1|0|AARRGGHH!  Thieves!  Your blood shall run like the veins of velium in these caverns!
180|112|1|0|We have defended these walls against the vermin from below, you will be shown that very same defeat!
181|113|1|0|Natural selection at work.
182|113|3|0|My comrades will avenge my death.
183|114|1|0|bark, bark, bark!!!
184|115|1|0|Broon will crush you like little pumpkin. Bwahaha!!
185|115|3|0|ARGH!! You will pay, tiny thing!! My big brother Droon will make you dead! And if pap Proon gets you.. argh.. you will stain on his feets.. argh.
186|116|1|0|For the glory of Zek!  Attack!!
187|117|7|2|We come for you, fools. Your reign of weakness over the powers of the land comes to an end now!
188|118|1|0|Slay the hairless ones!
189|119|1|0|Squire Wimbley!!  Quickly to my side!!
190|119|3|0|The people of the Plains of Karana will avenge my death!
192|120|4|0|"Hello! Good to meet you. The road ahead is full of all sorts of nasty creatures. If I were you. I would speak with my master. Sir Morgan."""
193|121|1|1|curls his lip and draws his blades in a professional, intimidating quickness, 'You will soon know to regret the arrogance of your ways, little one -- and how unfortunate that your regret will be so short lived in the last seconds of your life.'
194|121|3|1|drops his weapons and gives a brief, muffled growl that sprays a light mist of blood from his lips as he falls dead to the ground.
195|122|4|1|stares in contemplation at the landscape.
196|123|1|0|That's it, swine!  You're outta here!
