zone_shortname|creature_name|hail_text
airplane|#Master_of_Elements|I... am... the... Master... of... Elements.. Elements... Forgive... me. I am... unaccustomed.. to.. speaking.. this.. mortal... tongue. Might.. you... be... the... One?
airplane|Abec_Ianor|Great, let us waste no more time! Do you wish to begin your test of conception, visualization, or preparation?
airplane|Alan_Harten|Greetings faithful. Your faith shall be tested this day. Shall you take the test of courage, skill, or protection?
airplane|Cilin_Spellsinger|Greetings $N. Do you feel that you are ready to be tested in song?
airplane|Clarisa_Spiritsong|Hi there $N! I give three sections of the test of songs, Denise does the rest. Do you wish to take the test of pitch, voice, or tone?
airplane|Dason_Goldblade|Greetings, $N. Are you pure of heart and soul?
airplane|Denise_Songweaver|Hail and well met $N! I give the second half of the test of songs. If you are ready, choose between the tests of brass, wind, and harmony.
airplane|Deric_Lennox|Greetings there lad. Come seekin glory then have ya? Alrighty then, glorious ye shall be. Take me tests here, and I will show ya the light there. Take ye the Test of Resolution, of Theurgy, or the Weak?
airplane|Dirkog_Steelhand|Leave me be, ye orc kissin' son o' Innoruuk!
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?
airplane|Dugaas_Helpyre|So, you dare be seen in my precense. Truly a brave fool you are. You come seeking fame and glory here do you? Well fool, perhaps you will get what you seek. Shall you take the test of the Heart, the Hands, or the Finger?
airplane|Enchanter_Jolas|Greetings, $N. Have you come here to test your powers of enchantment?
airplane|Enderbite|Great, let us waste no more time! I have three tests from which you can choose from. They are Disillusion, Memorization, and Incapacitation.
airplane|Falorn|Do not waste my time, $N. Do you wish to take the test of blades or not? Or do you have one of my old trinkets you wish to trade in?
airplane|Fenalla_Moonshadow|We are children of the trees, friends and protectors of nature. We are brothers and sisters to the wolves and bears. The call of the Great Pine has filled your heart and led you here to be tested.
airplane|Frederic_Calermin|Great, let us waste no more time! I offer to you three challenges. Clarification, Empowerment, and Shielding. Please choose one of these.
airplane|Gina_McStargan|Greetings, $N. I will test you in the tests of might, health, and sight. Which will it be?
airplane|Gkzzallk|Greetings, would you care for some tea?
airplane|Gordon_Treecaller|Hello $N, I can only hope that my disturbance was necessary. Ahh, you seem to be decently adept with a blade. Would you like to be tested in the element of thunder, the blade, or the art of ranged attack?
airplane|Gorgalosk|Greetings, $N. This is my domain and I hope you have a peaceful stay. That is, unless the lunatic sent you.
airplane|Gragrot|Hail! So you think you are a mighty Knight of Shadows? We must test these skills. Are you ready to begin the test?
airplane|Gregori_Lightbringer|Hail and well met! You have traveled far indeed to cross my path. I will be testing you in compassion, sacrifice, and love. Are you ready for the test of the heart, $N?
airplane|Gwan|Gwan ignores you.
airplane|Holwin|Peace to you, $N. I see that you have come far along the path of tranquility and enlightenment. Do you wish to test yourself further, and perhaps complete the path you started on so long ago?
airplane|Inte_Akera|Greetings, $N. I am Inte Akera. I have retired to the Plane of Sky after a long life toiling on Norrath's soil. Have you retreated here as well, or are you merely visiting?
airplane|Josin_Faithbringer|Greetings, $N. Are you ready to begin your test of faith?
airplane|Jzil_GSix|Ah, so you have come to be tested. Many fine things can be your reward. There are three tests which I can administer. Shall you take the test of flight, power, or mind?
airplane|Kendrick|Great, let us waste no more time! Do you wish to begin your test of Thievery, Silence, or Trickery?
airplane|Key_Master|Hello there, brave traveller. I sell keys that take you to other islands in this here Plane of Sky. My prices are the best around. Heh, heh.
airplane|Kihun_Solstin|So, you have made it this far. I am Kihun Solstin, the Master of Wind. I control the unfettered Element like none other. As you should have learned, Air is the most potent of Elements. It fuels Fire, Water is comprised of it, and Earth cannot restrain it. Knowing this, do you seek the Element of Wind?
airplane|Lelulean|Great, let us waste no more time! I have three tests from which you can choose from. They are Illusion, Metamorphism, and Deception.
airplane|Magus_Frinon|Greetings, $N. Have you come here to test your abilities as a magician?
airplane|Medicine_Man_Veetra|Good day to you, $N. Are you a shaman of much experience?
airplane|Neasin_Leornic|Great, let us waste no more time! Do you wish to begin your test of concentration, focus, or meditation?
airplane|Ogog|Ogog not smart, but Ogog smarter than you. You ready for Ogog or no?
airplane|Ooga|Euh? You come see Ooga about shaman tests? Me can test in shrink, the snake, or witch doctor! What yuz want to test in?
airplane|Overseer_of_Air|So you have awakened me!! It seems my brother was not much of a challenge. Before we get on to business, there are some matters that must be addressed. But enough talk, let's address these matters first.
airplane|Ranger_Spirit|Greetings, $N. Are you a true servant of the Pine?
airplane|Rayne|Great, let us waste no more time! Do you wish to begin your test of Deception, Stealth, or Cunning?
airplane|Relinin_Skyrunner|Greetings $N. I can only assume my reasons for being summoned is that you wish to take the tests. Would you like to be tested in the body, in defense, or in the element of earth?
airplane|Roanis_Elindar|Great, let us waste no more time! I offer to you four challenges. Summoning, interpretation, gesticulation, and displacement. Please choose one of these.
airplane|Sarkis_Ebonblade|Greetings. $N. Have you come here to test your dark powers of skill and spell casting?
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!
airplane|Strandar_Pinemist|Greetings, young one. Are you a child of the trees?
airplane|Thalik_Silenthand|Greetings, $N. Do you believe you are a great rogue?
airplane|Ton_Po|So, I have been called upon to test you, and test you I shall. I will give you the option of choosing your test though enlightened one. Shall you take the test of Strength, Sight, or Speed?
airplane|Torgon_Blademaster|Greetings, $N. Are you a true warrior?
airplane|Tynicon_DLin|Great, let us waste no more time! I offer to you four challenges. Disempowement, Envenoming, Raising of the Dead, or Necropotence. Choose one to be tested on.
airplane|Will_Treewalker|Children of the trees, friend and protector of nature. We are brothers and sisters to the wolves and bears. The call of the Great Pine has filled your soul and you have found your way here to be tested. Are you ready to be tested?
airplane|Wizard_Schrock|Greetings, $N. Do you believe that you are a great Wizard?
airplane|Wu_the_Enlightened|Greetings Warrior of mind and body. To prove your worth to me, you must complete a test. Which test do you wish to take? I will permit you to take the test of Tears, Fists, or Tranquility.
airplane|a_thunder_spirit_princess|Greetings, travelers, welcome to the Plane of Sky! We are thunder spirits - this first island is our home. You are welcome to stay here as long as you like. If you wish to go to other islands you may purchase keys from the Key Master.
akanon|Baxok_Curhunter|Hail, $N. I invite you to serve the mighty state of Ak'Anon by becoming a Gemchopper. We gnomes are not known for our warrior skills, but those few who endure and survive to become elite amongst our warriors soon find that the technology of the gnomes has found its way into our halls. You must be a new recruit or an outsider, perhaps?
akanon|Derthix_Gibblix|Greetings $N. It is my duty to train young gnomes that have been called to they ways of Bertoxxulous, the Plague Bringer, and wish to serve as a cleric of the Dark Reflection. The faithful of the Plague Bringer are gifted with the sight of the Dark Reflection. The ability to recognize the importance of the powerful forces of disease and decay, and the role they play in the cycles of deterioration and renewal, death and life, destruction and creation.
akanon|Drekon_Vebnebber|Hello, $N. It is grand to make your acquaintance. I am the in-house merchant-slash-file clerk. I have goods to offer and I handle all the Gemchopper paperwork. Thrilling, don't you think?
akanon|Drigaz_Grumblegrowl|Grrreetings, $N, would you like to share a roasted rat steak or perhaps a tall glass of gnomish spirits? Have no fear of my appearance. My bark is meaner than my bite! Grraw haw haw!
akanon|Evah_Xokez|Be wary, $N, there are unseen powers within these mines that can destroy the strongest warriors or the wisest seers. Do you find the rust that corrodes the mechanisms around you and the decaying forms that wander these tunnels pleasing?
akanon|Garret_Zethkog|Hail $N! I am Garret Zethkog, first Shadowknight of the Dark Reflection. Long ago I made the journey far to the west to the human city of Qeynos. In the catacombs of the Bloodsabres, human disciples of the Plague Lord, Bertoxxulous. I studied the ways of the Shadowknight. I have returned to Ak'Anon with this knowledge and now tutor young gnomes that have heard the calling of the Dark Reflection in the ways of a Dark Knight of Bertoxxulous.
akanon|Guide_I|Click... Warning. You are not an ally of the state of Ak'Anon. Further queries may result in death. Have a nice day.
akanon|Guide_II|Click... Warning. You are not an ally of the state of Ak'Anon. Further queries may result in death. Have a nice day.
akanon|Guide_III|Click... Warning. You are not an ally of the state of Ak'Anon. Further queries may result in death. Have a nice day.
akanon|Guide_IV|Click... Warning. You are not an ally of the state of Ak'Anon. Further queries may result in death. Have a nice day.
akanon|Guide_V|Click... Warning. You are not an ally of the state of Ak'Anon. Further queries may result in death. Have a nice day.
akanon|Guide_VI|Click... Warning. You are not an ally of the state of Ak'Anon. Further queries may result in death. Have a nice day.
akanon|Iony_Gredlong|It is very nice to meet you $N. I am Iony Gredlong Priestess of the Underfoot. I coordinate all the training for new clerics here in the Deep Musing. If you are a cleric then I might just have some tests for you that will challenge your wisdom as well as your fighting abilities.
akanon|Jarah_Reskan|Greetings, child. Welcome to Gemchopper Hall. I trust that you are a warrior, or perhaps you are lost..?
akanon|Kaxon_Frennor|Hail $N. I am Kaxon Frennor, master assassin of the Dark Reflection. I train talented gnomes that feel the calling of the Plaguelord, Bertoxxulous, and wish to serve as a rogue of the Dark Reflection. Disease and decay are powerful forces in Norrath that crumble kingdoms and silently kill even the mightiest of heros. It is the calling of the Dark Reflection to sow the seeds of destruction as a catalyst to change. What progress would there be if rulers did not die and clockworks did not malfunction, giving way to greater rulers and better clockworks.
akanon|Kimble_Nogflop|Greetings! I am the keeper of this zoo. I advise you to stay on the upper tiers to observe the animals.
akanon|Larkon_Theardor|Greetings! Welcome to the Library of Mechanimagica. You must be a current member of the Library or has my mind begun to slip?
akanon|Lewis_Reldnok|Greetings $N! I am Lewis Reldnok, first Paladin of the Deep Muses. When I was just a young lad I journeyed to Kaladim, the home of our cousins the Dwarves. At the Temple of the Duke of Below I studied the ways of a Paladin of our creator Brell Serilis. I have returned to Ak'Anon to train interested young gnomes the ways I have mastered so that we may defend Ak'Anon and Brells disciples everywhere from the threats that would see us destroyed. If you are a Paladin of the Deep Muses I have some armor quests for you to complete.
akanon|Lobal_Postugger|Hello. I am the guild master.
akanon|Lyra_Lyrestringer|Hail. $N -Are you interested in helping the League of Antonican Bards by delivering some mail?
akanon|Manik_Compolten|Greetings, young one. I am Manik Compolten, High Watchman. Are you a new warrior or an experienced fighter?
akanon|Mimtia_Zethkog|Hail $N! You must be one of Garret's new knights. Garret has asked me to help get you outfitted in a suit of armor to protect you from the weapons of our foes. I have assembled a kit for you that will allow you to construct the armor pieces once you have gathered the necessary components. The required components vary according to which piece of Plague Knight Armor you are planning on assembling. Do you wish to craft a plague knight helm, a plague knight bracer, plague knight gauntlets, plague knight boots, plague knight vambraces, plague knight greaves, or a plague knight breastplate.
akanon|Narron_Jenork|Pleased to meet you, $N! I am Narron Jenork, High Watchman of Ak'anon. I am one of the most skilled Watchmans in all of Ak'anon, and I pride myself on training the most promising young warriors that Ak'anon has to offer. Are you a young gnome warrior?
