raceid|genderid|helmtextureid|textureindex|colortintid|faceindex|creaturedisplay_dbcid
1|0|0|0|0|1|38254
1|0|0|0|0|2|38255
1|0|0|0|0|3|38256
1|0|0|0|0|4|38257
1|0|0|0|0|5|38258
1|0|0|0|0|6|38259
1|0|0|0|0|7|38260
1|0|1|1|0|1|38261
1|0|1|1|0|2|38262
1|0|1|1|0|3|38263
1|0|0|0|20002|1|38264
1|0|1|1|0|4|38265
1|0|0|0|20002|2|38266
1|0|0|0|20004|1|38267
1|0|1|1|0|5|38268
1|0|0|0|20002|3|38269
1|0|0|0|20003|1|38270
1|0|0|0|20004|2|38271
1|0|1|1|0|6|38272
1|0|0|1|0|1|38273
1|0|0|0|20002|4|38274
1|0|0|0|20003|2|38275
1|0|0|0|20001|1|38276
1|0|0|0|20004|3|38277
1|0|1|1|0|7|38278
1|0|0|1|0|2|38279
1|0|0|0|20002|5|38280
1|0|0|0|20003|3|38281
1|0|0|0|20001|2|38282
1|0|0|0|20004|4|38283
1|0|0|1|0|3|38284
1|0|0|0|20002|6|38285
1|0|0|0|20003|4|38286
1|0|0|0|20001|3|38287
1|0|0|0|20004|5|38288
1|0|0|1|0|4|38289
1|0|0|0|20002|7|38290
1|0|0|0|20003|5|38291
1|0|0|0|20001|4|38292
1|0|0|0|20004|6|38293
1|0|0|1|0|5|38294
1|0|0|0|20003|6|38295
1|0|0|0|20001|5|38296
1|0|0|0|20004|7|38297
1|0|0|1|0|6|38298
1|0|0|1|0|7|38299
1|0|0|0|20001|6|38300
1|0|0|0|20003|7|38301
1|0|0|0|20001|7|38302
1|0|0|2|0|1|38303
1|0|0|2|0|2|38304
1|0|0|2|0|3|38305
1|0|0|2|0|4|38306
1|0|0|2|0|5|38307
1|0|0|2|0|6|38308
1|0|0|2|0|7|38309
1|0|2|2|0|1|38310
1|0|2|2|0|2|38311
1|0|2|2|0|3|38312
1|0|2|2|0|4|38313
1|0|2|2|0|5|38314
1|0|2|2|0|6|38315
1|0|2|2|0|7|38316
1|0|0|0|20009|1|38317
1|0|0|0|20009|2|38318
1|0|0|0|20009|3|38319
1|0|0|0|20009|4|38320
1|0|0|0|20009|5|38321
1|0|0|0|20009|6|38322
1|0|0|0|20009|7|38323
1|0|0|0|20005|1|38324
1|0|0|0|20005|2|38325
1|0|0|0|20005|3|38326
1|0|0|0|20005|4|38327
1|0|0|0|20005|5|38328
1|0|0|1|20002|1|38329
1|0|1|1|20002|1|38330
1|0|0|0|20005|6|38331
1|0|0|1|20002|2|38332
1|0|1|1|20002|2|38333
1|0|0|0|20005|7|38334
1|0|0|1|20002|3|38335
1|0|1|1|20002|3|38336
1|0|0|1|20002|4|38337
1|0|1|1|20002|4|38338
1|0|0|1|20002|5|38339
1|0|1|1|20002|5|38340
1|0|0|1|20002|6|38341
1|0|1|1|20002|6|38342
1|0|0|1|20002|7|38343
1|0|1|1|20002|7|38344
1|0|0|1|20009|1|38345
1|0|1|1|20009|1|38346
1|0|0|1|20009|2|38347
1|0|1|1|20009|2|38348
1|0|1|1|20009|3|38349
1|0|0|1|20009|3|38350
1|0|0|1|20009|4|38351
1|0|0|1|20009|5|38352
1|0|0|1|20009|6|38353
1|0|1|1|20009|4|38354
1|0|0|1|20009|7|38355
1|0|1|1|20009|5|38356
1|0|1|1|20009|6|38357
1|0|1|1|20009|7|38358
1|0|0|1|20001|1|38359
1|0|0|1|20001|2|38360
1|0|0|1|20001|3|38361
1|0|0|1|20001|4|38362
1|0|0|1|20001|5|38363
1|0|0|1|20001|6|38364
1|0|0|1|20001|7|38365
1|0|1|1|20001|1|38366
1|0|1|1|20001|2|38367
1|0|1|1|20001|3|38368
1|0|1|1|20001|4|38369
1|0|1|1|20001|5|38370
1|0|1|1|20001|6|38371
1|0|1|1|20001|7|38372
1|0|1|1|20010|1|38373
1|0|1|1|20010|2|38374
1|0|0|1|20010|1|38375
1|0|1|1|20010|3|38376
1|0|0|1|20010|2|38377
1|0|1|1|20010|4|38378
1|0|0|1|20010|3|38379
1|0|1|1|20010|5|38380
1|0|0|1|20010|4|38381
1|0|1|1|20010|6|38382
1|0|0|1|20010|5|38383
1|0|1|1|20010|7|38384
1|0|0|1|20010|6|38385
1|0|0|1|20010|7|38386
1|0|0|1|20007|1|38387
1|0|1|1|20007|1|38388
1|0|0|1|20007|2|38389
1|0|1|1|20007|2|38390
1|0|0|1|20007|3|38391
1|0|1|1|20007|3|38392
1|0|0|1|20007|4|38393
1|0|1|1|20007|4|38394
1|0|0|1|20007|5|38395
1|0|1|1|20007|5|38396
1|0|0|1|20007|6|38397
1|0|1|1|20007|6|38398
1|0|0|1|20007|7|38399
1|0|1|1|20007|7|38400
1|0|1|1|20006|1|38401
1|0|1|1|20006|2|38402
1|0|1|1|20006|3|38403
1|0|0|1|20006|1|38404
1|0|1|1|20006|4|38405
1|0|0|1|20006|2|38406
1|0|1|1|20006|5|38407
1|0|0|1|20006|3|38408
1|0|1|1|20006|6|38409
1|0|0|1|20006|4|38410
1|0|1|1|20006|7|38411
1|0|0|1|20006|5|38412
1|0|0|1|20006|6|38413
1|0|0|1|20006|7|38414
1|0|1|1|20005|1|38415
1|0|1|1|20005|2|38416
1|0|1|1|20005|3|38417
1|0|0|1|20005|1|38418
1|0|1|1|20005|4|38419
1|0|0|1|20005|2|38420
1|0|1|1|20005|5|38421
1|0|0|1|20005|3|38422
1|0|1|1|20005|6|38423
1|0|0|1|20005|4|38424
1|0|1|1|20005|7|38425
1|0|0|1|20005|5|38426
1|0|0|1|20005|6|38427
1|0|0|1|20005|7|38428
1|0|0|1|20008|1|38429
1|0|0|1|20008|2|38430
1|0|0|1|20008|3|38431
1|0|0|1|20008|4|38432
1|0|1|1|20008|1|38433
