Level|ExpMod
1|0.5
2|0.625
3|0.75
4|1
5|1
6|1
7|1
8|1
9|1
10|1.25
11|1.25
12|1.5
13|1.5
14|1.75
15|1.75
16|2
17|2
18|2
19|2
20|2.25
21|2.25
22|2.25
23|2.25
24|2.5
25|2.5
26|2.5
27|2.5
28|2.5
29|2.75
30|2.75
31|2.75
32|2.75
33|2.75
34|2.75
35|2.75
36|2.75
37|2.75
38|2.75
39|2.75
40|2.75
41|2.75
42|2.75
43|2.75
44|2.75
45|2.75
46|3
47|3
48|3
49|3
50|3
51|3
52|3
53|3
54|3
55|3
56|3
57|3
58|3
59|3
60|3
61|3
62|3
63|3
64|3
65|3
66|3
67|3
68|3
69|3
70|3
71|3
72|3
73|3
74|3
75|3
76|3
77|3
78|3
79|3
80|3
81|3
82|3
83|3
84|3
85|3
86|3
87|3
88|3
89|3
90|3
