raceid|genderid|helmtextureid|textureindex|faceindex|colortintid|modeltemplatescale|creaturemodeldata_dbcid|creaturedisplay_dbcid|creaturesounddata_dbcid
999|0|0|2|0|0|1|3500|34000|3300
999|0|0|1|0|0|1|3501|34001|3301
999|0|0|0|0|0|1|3502|34002|3302
127|0|0|0|1|0|0.87428576|3503|34003|3303
161|2|0|1|1|0|0.87428576|3504|34004|3304
1|2|0|0|1|0|1|3505|34005|3305
46|2|0|1|1|0|1|3506|34006|3306
89|2|0|4|1|0|1|3507|34007|3307
89|2|0|1|1|0|1|3508|34008|3308
1|2|0|0|1|0|0.87428576|3509|34009|3309
120|2|0|0|1|0|0.87428576|3510|34010|3310
75|2|0|3|1|0|0.87428576|3511|34011|3311
75|2|0|0|1|0|0.87428576|3512|34012|3312
75|2|0|1|1|0|0.87428576|3513|34013|3313
75|2|0|2|1|0|0.87428576|3514|34014|3314
60|2|0|2|1|0|0.87428576|3515|34015|3315
60|2|0|0|1|0|0.87428576|3516|34016|3316
60|2|0|1|1|0|0.87428576|3517|34017|3317
60|2|0|4|1|0|0.87428576|3518|34018|3318
85|2|0|1|1|0|0.87428576|3519|34019|3319
85|2|0|0|1|0|0.87428576|3520|34020|3320
63|2|0|3|1|0|0.87428576|3521|34021|3321
43|2|0|1|0|0|0.68485713|3522|34022|3322
108|2|0|0|0|0|1|3523|34023|3323
89|2|0|2|1|0|1|3524|34024|3324
75|2|0|2|1|0|1|3525|34025|3325
46|2|0|0|1|0|1|3526|34026|3326
60|2|0|0|1|0|1|3527|34027|3327
75|2|0|3|1|0|1|3528|34028|3328
127|0|0|0|0|0|1|3529|34029|3329
120|2|0|0|0|0|1|3530|34030|3330
60|2|0|0|0|0|1|3531|34031|3331
85|2|0|0|1|0|1|3532|34032|3332
127|0|0|0|1|0|1|3533|34033|3333
1|0|0|0|4|0|1|3534|34034|3334
71|0|1|1|0|0|1|3535|34035|3335
71|1|1|1|0|0|1|3536|34036|3336
50|0|0|0|0|0|1|3537|34037|3337
1|0|0|3|8|0|1|3538|34038|3338
71|0|0|0|0|0|1|3539|34039|3339
1|0|0|0|7|0|1|3540|34040|3340
1|1|0|0|6|0|1|3541|34041|3341
1|1|0|0|5|0|1|3542|34042|3342
1|0|0|0|3|0|1|3543|34043|3343
1|1|0|0|2|0|1|3544|34044|3344
1|1|0|0|1|0|1|3545|34045|3345
1|0|0|0|6|0|1|3546|34046|3346
127|2|0|0|0|0|1|3547|34047|3347
1|0|0|15|0|1037|1|3548|34048|3348
1|0|0|12|4|1038|1|3549|34049|3349
1|0|0|3|1|0|1|3550|34050|3350
1|0|0|2|4|0|1|3551|34051|3351
1|0|0|16|6|1017|1|3552|34052|3352
7|0|0|1|4|0|1|3553|34053|3353
7|1|0|2|0|0|1|3554|34054|3354
1|0|0|3|3|0|1|3555|34055|3355
71|1|0|0|3|0|1|3556|34056|3356
71|1|0|0|0|0|1|3557|34057|3357
71|0|0|0|7|0|1|3558|34058|3358
71|0|0|0|3|0|1|3559|34059|3359
8|0|0|1|3|0|1|3560|34060|3360
1|0|0|3|0|0|1|3561|34061|3361
1|0|0|2|7|0|1|3562|34062|3362
1|1|0|3|6|0|1|3563|34063|3363
1|0|0|3|4|0|1|3564|34064|3364
1|0|0|1|4|0|1|3565|34065|3365
1|0|0|0|0|0|1|3566|34066|3366
1|0|0|0|2|0|1|3567|34067|3367
1|1|0|255|5|0|1|3568|34068|3368
1|1|0|0|3|0|1|3569|34069|3369
1|0|0|16|7|1062|1|3570|34070|3370
1|0|0|16|2|1063|1|3571|34071|3371
1|0|0|16|6|1064|1|3572|34072|3372
1|0|0|16|6|1065|1|3573|34073|3373
1|0|0|16|3|1066|1|3574|34074|3374
1|1|0|16|1|1067|1|3575|34075|3375
1|1|0|16|6|1068|1|3576|34076|3376
1|1|0|16|6|1069|1|3577|34077|3377
1|0|0|16|5|1070|1|3578|34078|3378
1|0|0|16|3|1071|1|3579|34079|3379
1|0|0|3|7|0|1|3580|34080|3380
3|1|0|0|2|0|1|3581|34081|3381
1|0|0|2|1|0|1|3582|34082|3382
1|0|0|0|5|0|1|3583|34083|3383
1|0|0|1|5|0|1|3584|34084|3384
1|1|0|2|1|0|1|3585|34085|3385
7|0|0|1|8|0|1|3586|34086|3386
1|1|0|0|7|0|1|3587|34087|3387
4|0|0|2|7|0|1|3588|34088|3388
2|0|0|3|1|0|1|3589|34089|3389
1|1|0|3|0|0|1|3590|34090|3390
55|0|0|0|0|0|1|3591|34091|3391
71|0|0|3|0|0|1|3592|34092|3392
71|1|1|4|0|0|1|3593|34093|3393
71|0|0|5|0|0|1|3594|34094|3394
71|1|1|2|0|0|1|3595|34095|3395
71|0|0|2|2|0|1|3596|34096|3396
1|1|0|16|3|1128|1|3597|34097|3397
1|0|0|16|0|1129|1|3598|34098|3398
1|0|0|255|4|0|1|3599|34099|3399
1|0|0|1|2|0|1|3600|34100|3400
1|0|0|3|2|0|1|3601|34101|3401
1|1|0|1|2|0|1|3602|34102|3402
