CreatureTemplateWOWID|GossipMenuOptionID|OptionText|DestZoneShortName|DestX|DestY|DestZ|DestOrientation
55819|0|Send me to the Plane of Sky (Instance).|airplane|1384|539|-668.872437|3.14159
55819|1|Send me to the Plane of Hate (Instance).|hateplane|-362.000031|-353.000031|0|2.69784
55820|0|Send me to the Nagafen's Lair (Instance).|soldungb|-972.004700|-265.948822|-54.968719|3.14159
55821|0|Send me to the Permafrost Caverns (Instance).|permafrost|471.626831|-235.345261|0|0
55822|0|Send me to the Plane of Fear (Instance).|fearplane|-766.88446|1041.675293|104.506828|0
55824|0|Send me to The Hole (Instance).|hole|657.476562|669.118042|-881.652466|4.712389
55825|0|Send me to Kedge Keep (Instance).|kedge|-20.207291|-31.572590|-107.464088|1.570796
55826|0|Send me to Chardok (Instance).|chardok|-583.332581|515.965271|-139.937408|1.570796
55827|0|Send me to Karnor's Castle (Instance).|karnor|-76.902702|-553.389648|14.000050|4.712389
55828|0|Send me to Old Sebilis (Instance).|sebilis|-1328.624146|220.485626|-179.937393|4.712389
55829|0|Send me to Veeshan's Peak (Instance).|veeshan|34.907459|1679.515381|24.000111|0
