id|npc_spells_id|spellid|type|minlevel|maxlevel|manacost|recast_delay|priority|resist_adjust|min_expansion|max_expansion|content_flags|content_flags_disabled
1|1|14|1|1|13|-1|-1|1||-1|-1||
2|1|560|1|5|28|-1|-1|1||-1|-1||
3|1|16|1|14|43|-1|-1|1||-1|-1||
4|1|329|1|29|43|-1|5|1||-1|-1||
5|1|672|1|44|53|-1|10|1||-1|-1||
6|1|1543|1|54|55|-1|10|1||1|99||
7|1|2508|1|56|255|-1|10|1||3|99||
9|1|405|1|34|43|-1|-1|5||-1|-1||
10|1|406|1|44|51|-1|120|5||-1|-1||
11|1|1542|1|52|63|-1|120|5||1|99||
12|1|3473|1|64|255|-1|120|5||4|99||
13|1|231|1|9|18|-1|-1|5||-1|-1||
14|1|413|1|19|28|-1|-1|5||-1|-1||
15|1|414|1|29|38|-1|-1|5||-1|-1||
16|1|415|1|39|48|-1|-1|5||-1|-1||
17|1|416|1|49|58|-1|30|5||-1|-1||
18|1|1545|1|59|255|-1|-1|5||1|99||
19|1|216|1|5|18|-1|-1|6||-1|-1||
20|1|123|1|19|33|-1|-1|6||-1|-1||
21|1|124|1|34|48|-1|-1|6||-1|-1||
27|1|49|512|39|52|-1|-1|2||-1|-1||
28|1|1526|512|53|255|-1|-1|2||1|99||
31|1|200|2|1|13|-1|5|1||-1|-1||
32|1|17|2|5|23|-1|5|2||-1|-1||
33|1|12|2|14|33|-1|5|2||-1|-1||
34|1|15|2|24|50|-1|10|2||-1|-1||
35|1|9|2|34|52|-1|10|2||-1|-1||
36|1|13|2|39|255|-1|5|1||-1|-1||
37|1|1518|2|51|60|-1|15|2||1|99||
38|1|1519|2|53|57|-1|10|2||1|99||
39|1|2182|2|58|255|-1|10|2||3|99||
48|1|202|8|1|8|-1|-1|1||-1|-1||
49|1|219|8|9|18|-1|-1|1||-1|-1||
50|1|89|8|19|23|-1|-1|1||-1|-1||
51|1|244|8|24|33|-1|-1|1||-1|-1||
52|1|312|8|34|43|-1|-1|1||-1|-1||
53|1|314|8|44|51|-1|-1|1||-1|-1||
54|1|1533|8|52|54|-1|-1|1||1|99||
84|1|485|8|14|23|-1|-1|2||-1|-1||
85|1|486|8|24|33|-1|-1|2||-1|-1||
86|1|487|8|34|43|-1|-1|2||-1|-1||
87|1|488|8|44|53|-1|-1|2||-1|-1||
88|1|1535|8|54|60|-1|-1|2||1|99||
89|1|3466|8|61|255|-1|-1|2||4|99||
91|1|1445|8|34|48|-1|-1|2||2|99||
92|1|2505|8|49|57|-1|-1|2||3|99||
93|1|2509|8|58|64|-1|-1|2||3|99||
94|1|3474|8|65|255|-1|-1|2||4|99||
95|3|475|4|9|23|-1|45|2||-1|-1||
96|3|472|4|24|38|-1|45|2||-1|-1||
97|3|473|4|39|56|-1|45|2||-1|-1||
99|2|372|1|1|7|-1|-1|2||-1|-1||
100|2|376|1|4|15|-1|-1|1||-1|-1||
101|2|656|1|8|23|-1|-1|1||-1|-1||
102|2|383|1|12|19|-1|5|1||-1|-1||
103|2|657|1|16|28|-1|10|1||-1|-1||
104|2|22|1|20|28|-1|10|1||-1|-1||
105|2|464|1|24|33|-1|10|1||-1|-1||
106|2|465|1|29|43|-1|-1|1||-1|-1||
107|2|470|1|29|38|-1|10|1||-1|-1||
108|2|658|1|34|48|-1|10|1||-1|-1||
109|2|466|1|39|43|-1|15|1||-1|-1||
110|2|23|1|44|48|-1|20|1||-1|-1||
111|2|659|1|44|50|-1|20|1||-1|-1||
112|2|732|1|49|56|-1|20|1||-1|-1||
113|2|755|1|49|53|-1|20|1||-1|-1||
114|2|1637|1|51|59|-1|-1|1||1|99||
115|2|1639|1|54|54|-1|-1|1||1|99||
116|2|1643|1|55|65|-1|-1|1||1|99||
117|2|1641|1|57|255|-1|-1|1||1|99||
118|2|1426|1|60|64|-1|20|1||2|99||
119|2|1658|1|60|255|-1|20|2||1|99||
120|2|2884|1|60|255|-1|20|3||3|99||
123|2|377|1|4|7|-1|-1|2||-1|-1||
124|2|380|1|8|15|-1|-1|2||-1|-1||
125|2|386|1|16|23|-1|-1|2||-1|-1||
126|2|462|1|24|28|-1|-1|2||-1|-1||
127|2|459|1|29|33|-1|-1|2||-1|-1||
128|2|463|1|34|38|-1|-1|2||-1|-1||
129|2|460|1|39|48|-1|-1|2||-1|-1||
130|2|731|1|49|52|-1|-1|3||-1|-1||
131|2|1650|1|53|255|-1|-1|3||1|99||
132|2|1645|1|54|55|-1|25|2||1|99||
134|2|1644|1|57|255|-1|25|2||1|99||
138|2|73|1|44|58|-1|-1|2||-1|-1||
139|2|1636|1|59|255|-1|-1|3||1|99||
140|2|503|1|20|48|-1|-1|2||-1|-1||
141|2|612|1|49|50|-1|-1|2||-1|-1||
142|2|1634|1|51|55|-1|-1|2||1|99||
143|2|1635|1|56|255|-1|-1|2||1|99||
146|2|131|4|20|38|-1|15|3||-1|-1||
147|2|132|4|39|48|-1|15|3||-1|-1||
148|2|133|4|49|57|-1|30|2||-1|-1||
149|2|1633|4|58|60|-1|15|3||1|99||
150|2|3194|4|61|255|-1|-1|2||4|99||
152|2|49|512|34|52|-1|-1|2||-1|-1||
153|2|1526|512|53|255|-1|-1|2||1|99||
163|2|236|8|16|23|-1|-1|1||-1|-1||
164|2|387|8|24|33|-1|-1|1||-1|-1||
165|2|393|8|34|43|-1|-1|1||-1|-1||
166|2|394|8|44|51|-1|-1|1||-1|-1||
167|2|1609|8|52|62|-1|-1|1||1|99||
168|2|3301|8|63|255|-1|-1|1||4|99||
183|3|2015|1|55|255|-1|-1|2||2|99||
184|3|2014|1|44|255|-1|-1|2||-1|-1||
185|3|204|1|24|33|-1|-1|2||-1|-1||
186|3|1415|1|34|48|-1|-1|2||2|99||
187|3|3571|1|49|53|-1|-1|2||4|99||
188|3|3572|1|54|255|-1|-1|2||4|99||
190|3|230|4|34|48|-1|60|101||-1|-1||
191|3|133|4|49|62|-1|60|101||-1|-1||
194|3|3195|4|63|255|-1|60|101||4|99||
204|3|236|8|16|23|-1|-1|1||-1|-1||
205|3|387|8|24|33|-1|-1|1||-1|-1||
206|3|393|8|34|43|-1|-1|1||-1|-1||
207|3|394|8|44|51|-1|-1|1||-1|-1||
208|3|1609|8|52|62|-1|-1|1||1|99||
209|3|3301|8|63|255|-1|-1|1||4|99||
228|3|341|64|1|11|-1|-1|1||-1|-1||
229|3|502|64|4|19|-1|-1|1||-1|-1||
230|3|445|64|12|18|-1|-1|1||-1|-1||
231|3|446|64|20|28|-1|-1|1||-1|-1||
232|3|524|64|29|38|-1|-1|1||-1|-1||
233|3|525|64|39|53|-1|-1|1||-1|-1||
234|3|447|64|49|58|-1|-1|1||-1|-1||
235|3|1613|64|54|255|-1|-1|1||1|99||
236|3|1618|64|59|59|-1|-1|1||1|99||
237|3|1393|64|60|255|-1|-1|1||2|99||
238|3|3032|64|61|255|-1|-1|1||4|99||
239|3|344|128|4|11|-1|-1|2||-1|-1||
240|3|355|128|12|28|-1|-1|2||-1|-1||
241|3|452|128|29|48|-1|-1|2||-1|-1||
242|3|453|128|49|58|-1|-1|2||-1|-1||
243|3|1619|128|59|62|-1|-1|2||1|99||
244|3|3309|128|63|255|-1|-1|2||4|99||
245|3|348|256|4|33|-1|-1|2||-1|-1||
246|3|435|256|34|50|-1|-1|2||-1|-1||
247|3|436|256|51|64|-1|-1|2||-1|-1||
248|3|3303|256|65|255|-1|-1|2||4|99||
