level|hp|mana|avgdmg|attack_delay|mr|cr|dr|fr|pr|ac|atk|walkspeed|runspeed
1|16|33|2.5|30|25|25|15|25|15|5|0|0.5|1.25
2|32|66|3.5|30|25|25|15|25|15|8|0|0.5|1.25
3|50|99|4.5|30|25|25|15|25|15|9|0|0.5|1.25
4|80|132|5.5|30|25|25|15|25|15|12|0|0.5|1.25
5|110|165|6.5|30|25|25|15|25|15|15|0|0.5|1.25
6|140|198|7.5|30|25|25|15|25|15|18|0|0.5|1.25
7|170|231|8.5|30|25|25|15|25|15|21|0|0.5|1.25
8|190|264|9.5|30|25|25|15|25|15|24|0|0.5|1.25
9|220|297|10.5|30|25|25|15|25|15|27|0|0.5|1.25
10|240|330|11.5|30|25|25|15|25|15|30|0|0.5|1.25
11|280|363|12.5|30|25|25|25|25|25|33|0|0.5|1.25
12|290|396|13.5|30|25|25|25|25|25|36|0|0.5|1.25
13|360|429|14.5|30|25|25|25|25|25|39|0|0.5|1.25
14|390|462|16|30|25|25|25|25|25|42|0|0.5|1.25
15|410|495|17|30|25|25|25|25|25|46|0|0.5|1.25
16|435|528|18|30|25|25|25|25|25|50|0|0.5|1.25
17|502|561|19|30|25|25|25|25|25|54|0|0.5|1.25
18|550|594|20|30|25|25|25|25|25|58|0|0.5|1.25
19|590|627|21|30|25|25|25|25|25|62|0|0.5|1.25
20|610|660|22|30|25|25|25|25|25|67|0|0.5|1.25
21|650.5|693|23|30|25|25|25|25|25|71|0|0.5|1.25
22|710|726|24|30|25|25|25|25|25|75|0|0.5|1.25
23|770|759|25|30|25|25|25|25|25|79|0|0.5|1.25
24|790|792|26.5|30|25|25|25|25|25|83|0|0.5|1.25
25|810|825|27.5|30|35|35|25|35|25|87|0|0.5|1.25
26|910|858|29.5|30|35|35|25|35|25|91|0|0.5|1.25
27|970|891|30.5|30|35|35|25|35|25|95|0|0.5|1.25
28|1064|924|35.5|30|35|35|25|35|25|99|0|0.5|1.25
29|1131|957|36|29|35|35|25|35|25|103|0|0.5|1.25
30|1150|990|38|30|35|35|25|35|25|108|0|0.5|1.25
31|1271|1023|39.5|28|35|35|25|35|25|112|0|0.5|1.25
32|1446|1056|41.5|28.5|35|35|25|35|25|116|0|0.5|1.25
33|1635|1089|43.5|27|35|35|25|35|25|120|0|0.5|1.25
34|1702.5|1122|46|27|35|35|25|35|25|124|0|0.5|1.25
35|1675|1155|44|30|35|35|25|35|25|128|0|0.5|1.25
36|2500|1188|50|26|35|35|25|35|25|132|0|0.5|1.25
37|2500|1221|52|26|35|35|25|35|25|136|0|0.5|1.25
38|3210|1254|58|25|75|50|25|35|25|140|0|0.5|1.25
39|3500|1287|56|25|35|35|25|35|25|144|0|0.5|1.25
40|3250|1320|78|30|35|35|25|35|25|149|0|0.5|1.25
41|4529|1353|65|24|35|35|25|35|25|153|0|0.5|1.25
42|4500|1386|67|24|35|35|25|35|25|157|0|0.5|1.25
43|6650.5|1419|76.25|23|35|35|25|35|25|161|0|0.5|1.25
44|6000|1452|71.5|23|35|35|26|35|26|165|0|0.5|1.25
45|5875|1485|87.5|30|35|35|25|35|25|169|0|0.5|1.25
46|7914|1518|75.75|22|35|35|25|35|25|173|0|0.5|1.25
47|8326.5|1974|83.5|22|50|35|25.5|35|26|177|0|0.5|1.25
48|9530|2016|86.5|21|35|35|25|35|25|181|0|0.5|1.25
49|9200|2058|85.5|21|50|35|25|35|25|185|0|0.5|1.25
50|9980|2100|132|20|35|35|25|35|25|190|0|0.5|1.25
51|11750|2142|97|20|35|35|25|35|25|194|0|0.5|1.25
52|14385|2184|101.75|20|50|50|40|35|40|198|0|0.5|1.25
53|16000|2226|104|19|85|100|35|35|35|200|0|0.5|1.25
54|19312|2268|134|19|85|100|53|50|55|200|0|0.5|1.25
55|14365|2310|110|18|35|35|25|35|25|200|0|0.5|1.25
56|15430|2352|114|18|40|35|25|35|25|200|0|0.5|1.25
57|24200|2394|127|18|95|377.5|47.5|35|47.5|200|0|0.5|1.25
58|23647|2436|127.5|17|70|95|35|35|35|200|0|0.5|1.25
59|24250|2478|120.25|17|167.5|92.5|35|77.5|35|200|0|0.5|1.25
60|19000|2520|154.25|16|36|35|25|35|25|200|0|0.5|1.25
61|2000000|2562|296.5|18|440|440|440|440|440|400|0|0.5|1.25
62|60000|2604|195|13|185|90|100|100|85|200|0|0.5|1.25
63|60000|2730|221|16|185|190|80|67.5|80|300|0|0.5|1.25
