eq_id|wow_id|spawnzones|difficulty_type|name|lastname|enabled|non_npc|levelEQ|maxlevelEQ|level60|maxlevel60|level80|race|class|skill_trainer|bodytype|size|gender|texture|helmtexture|face|loottable_id|merchant_id|armortint_id|mana|hp|hp_multi_override|avgdmg|avgdmg_multi_override|hide_for_guild_bank|idle_emote_id|d_melee_texture1|d_melee_texture2|hp_regen_rate|mana_regen_rate|creaturespelllistid|mindmg|maxdmg|attack_count|aggroradius|assistradius|luclin_hairstyle|luclin_haircolor|luclin_eyecolor|luclin_eyecolor2|luclin_beardcolor|luclin_beard|prim_melee_type|sec_melee_type|ranged_type|runspeed|MR|CR|DR|FR|PR|see_invis|see_invis_undead|qglobal|AC|npc_aggro|spawn_limit|attack_delay|STR|STA|DEX|AGI|_INT|WIS|CHA|see_sneak|see_improved_hide|npc_faction_id|faction_id|ATK|Accuracy|slow_mitigation|scalerate|private_corpse|unique_spawn_by_name|underwater|isquest|emoteid|spellscale|healscale|raid_target|chesttexture|armtexture|bracertexture|handtexture|legtexture|feettexture|light|walkspeed|combat_hp_regen|combat_mana_regen|aggro_pc|ignore_distance|encounter|ignore_despawn|avoidance|exp_pct|greed|engage_notice|stuck_behavior|flymode|skip_global_loot|rare_spawn|wowcustom|special_abilities
10|45000||normal|zone_controller||1|1|99|0|63|0|99|127|1|-1|66|1|2|0|0|0|0|0|0|0|1000000|-1|5000|-1|0|-1|0|0|0|0|0|5000|5000|-1|0|0|0|0|0|0|0|0|28|28|7|0|28|28|28|28|28|0|0|0|200|0|0|17|313|313|313|313|313|313|313|0|0|0|0|0|0|0|100|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|19,1^20,1^22,1^23,1^24,1^25,1
500|45001||normal|Animation1||1|0|1|0|1|0|1|127|1|-1|24|5|0|0|0|1|95577|0|0|0|14|-1|4.5|-1|0|-1|0|0|1|0|0|1|8|-1|55|0|1|1|1|1|1|0|1|28|7|1.25|25|25|15|25|15|0|1|0|3|0|0|30|78|78|73|78|73|73|68|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.5|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|21,1
501|45002||normal|Animation2||1|0|5|0|5|0|5|127|1|-1|24|5|0|0|0|1|95577|0|0|0|50|-1|6.5|-1|0|-1|0|0|6|0|0|1|12|-1|55|0|1|1|1|1|1|0|1|28|7|1.25|25|25|15|25|15|0|1|0|11|0|0|30|85|85|80|85|80|80|75|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.5|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|21,1
502|45003||normal|Animation3||1|0|9|0|9|0|9|127|1|-1|24|5|0|0|0|1|95577|0|0|0|125|-1|8.5|-1|0|-1|0|0|6|0|0|1|16|-1|55|0|1|1|1|1|1|0|1|28|7|1.3|25|25|15|25|15|0|1|0|20|0|0|30|91|91|86|91|81|86|81|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.52|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|21,1
503|45004||normal|Animation4||1|0|11|0|11|0|11|127|1|-1|24|5|0|0|0|1|95578|0|0|0|160|-1|9.5|-1|0|-1|0|0|6|0|0|1|18|-1|55|0|1|1|1|1|1|0|1|28|7|1.35|25|25|25|25|25|0|1|0|27|0|0|30|99|99|89|99|79|89|79|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.54|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
504|45005||normal|Animation5||1|0|16|0|16|0|16|127|1|-1|24|5|0|0|0|1|95578|0|0|0|245|-1|10.5|-1|0|-1|0|0|6|0|0|1|20|-1|55|0|1|1|1|1|1|0|1|28|7|1.35|25|25|25|25|25|0|1|0|45|0|0|30|101|101|91|101|81|91|81|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.54|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
505|45006||normal|Animation6||1|0|19|0|19|0|19|127|1|-1|24|5|0|0|0|1|95578|0|0|0|320|-1|11.5|-1|0|-1|0|0|6|0|0|1|22|-1|55|0|1|1|1|1|1|0|1|28|7|1.4|25|25|25|25|25|0|1|0|62|0|0|30|102|102|92|102|82|92|82|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.56|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
506|45007||normal|Animation7||1|0|22|0|22|0|22|127|1|-1|24|5|0|0|0|1|95579|0|0|0|400|-1|13.5|-1|0|-1|0|0|6|0|0|1|26|-1|55|0|1|1|1|1|1|0|1|28|7|1.45|25|25|25|25|25|0|1|0|80|0|0|30|108|108|93|108|78|93|78|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.58|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
507|45008||normal|Animation8||1|0|25|0|25|0|25|127|1|-1|24|5|0|0|0|1|95579|0|0|0|485|-1|14.5|-1|0|-1|0|0|6|0|0|1|28|-1|55|0|1|1|1|1|1|0|1|28|7|1.5|35|35|25|35|25|0|1|0|90|0|0|30|111|111|96|111|81|96|81|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.6|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
508|45009||normal|Animation9||1|0|28|0|28|0|28|127|1|-1|24|5|0|0|0|1|95579|0|0|0|570|-1|17|-1|0|-1|0|0|6|0|0|2|32|-1|55|0|1|1|1|1|1|0|1|28|7|1.5|35|35|25|35|25|0|1|0|115|0|0|30|114|114|99|114|84|99|84|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.6|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
509|45010||normal|Animation10||1|0|31|0|31|0|31|127|1|-1|24|5|0|0|0|1|95580|0|0|0|670|-1|20|-1|0|-1|0|0|30|0|0|4|36|-1|55|0|1|1|1|1|1|0|1|28|7|1.55|35|35|25|35|25|0|1|0|125|0|0|28|133|133|103|133|103|103|73|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.62|2|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
510|45011||normal|Animation11||1|0|34|0|34|0|34|127|1|-1|24|5|0|0|0|1|95580|0|0|0|810|-1|26|-1|0|-1|0|0|30|0|0|8|44|-1|55|0|1|1|1|1|1|0|1|28|7|1.55|35|35|25|35|25|0|1|0|145|0|0|28|137|137|107|137|77|107|77|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.62|2|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
511|45012||normal|Animation12||1|0|39|0|39|0|39|127|1|-1|24|5|0|0|0|1|95580|0|0|0|1440|-1|32|-1|0|-1|0|0|30|0|0|12|52|-1|55|0|1|1|1|1|1|0|1|28|7|1.6|35|35|25|35|25|0|1|0|175|0|0|28|145|145|115|145|85|115|85|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.64|2|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
512|45013||normal|Animation13||1|0|41|0|41|0|41|127|1|-1|24|5|0|0|0|1|95581|0|0|0|1540|-1|34|-1|0|-1|0|0|30|0|0|13|55|-1|55|0|1|1|1|1|1|0|1|1|7|1.65|35|35|15|35|15|0|1|0|180|0|0|28|175|175|130|175|85|130|85|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.66|2|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
513|45014||normal|Animation14||1|0|58|0|58|0|58|127|1|-1|24|5|0|0|0|1|95581|0|0|0|1740|-1|37|-1|0|-1|0|0|50|0|0|14|60|-1|55|0|1|1|1|1|1|0|1|1|7|1.8|35|35|15|35|15|0|1|0|200|0|0|28|328|328|268|328|168|268|168|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.72|3|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|2,1^10,1^17,1^21,1
514|45015||normal|DALSkelGolin25||1|0|25|0|25|0|25|161|1|-1|8|5|2|1|0|1|0|0|0|0|175|-1|5.5|-1|0|-1|0|0|10|0|0|1|10|-1|55|0|1|1|1|1|1|0|28|28|7|1.45|35|35|25|35|25|0|1|0|87|0|0|30|110|110|95|110|80|95|80|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.58|4|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
515|45016||normal|BLpet09||1|0|9|0|9|0|9|0|1|-1|28|4|2|0|0|1|0|0|0|0|190|-1|7.5|-1|0|-1|0|0|6|0|0|2|13|-1|55|0|1|1|1|1|1|0|28|28|7|1.3|25|25|15|25|15|0|1|0|15|0|0|30|92|92|87|92|82|87|82|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.52|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|21,1
516|45017||normal|BLpet16||1|0|16|0|16|0|16|0|1|-1|28|4|2|0|0|1|0|0|0|0|380|-1|11.5|-1|0|-1|0|0|6|0|0|3|20|-1|55|0|1|1|1|1|1|0|28|28|7|1.4|25|25|15|25|15|0|1|0|45|0|0|30|101|101|91|101|81|91|81|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.56|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
517|45018||normal|BLpet22||1|0|22|0|22|0|22|0|1|-1|28|5|2|0|0|1|0|0|0|0|680|-1|15.5|-1|0|-1|0|0|6|0|0|4|27|-1|55|0|1|1|1|1|1|0|28|28|7|1.45|25|25|15|25|15|0|1|0|75|0|0|30|108|108|93|108|78|93|78|0|0|0|0|0|0|0|0|0|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0.58|1|0|0|1000|0|0|0|100|0|0|0|-1|0|0|0|10,1^21,1
