zone_short_name|eq_itemid|skill_level|chance|min_expansion
akanon|22763|50|100|-1
blackburrow|22765|50|100|-1
butcher|19113|50|100|1
butcher|22757|50|100|-1
cabeast|12402|50|100|-1
cabeast|12444|50|100|-1
cabeast|14917|50|100|-1
cabeast|14918|50|100|-1
cabeast|14919|50|100|-1
cabeast|14939|50|100|-1
cabeast|14940|50|100|-1
cabeast|14967|50|100|-1
cabeast|14981|50|100|-1
cabeast|14982|50|100|-1
cabeast|14983|50|100|-1
cabeast|14984|50|100|-1
cabeast|14985|50|100|-1
cabeast|14986|50|100|-1
cabeast|14987|50|100|-1
cabeast|14988|50|100|-1
cabeast|14989|50|100|-1
cabeast|14990|50|100|-1
cabeast|14991|50|100|-1
cabeast|14992|50|100|-1
cabeast|14993|50|100|-1
cabeast|14994|50|100|-1
cabeast|14995|50|100|-1
cabeast|14996|50|100|-1
cabeast|14997|50|100|-1
cabeast|14999|50|100|-1
cabwest|12444|50|100|-1
cabwest|14917|50|100|-1
cabwest|14918|50|100|-1
cabwest|14919|50|100|-1
cabwest|14939|50|100|-1
cabwest|14940|50|100|-1
cabwest|14967|50|100|-1
cabwest|14981|50|100|-1
cabwest|14982|50|100|-1
cabwest|14983|50|100|-1
cabwest|14984|50|100|-1
cabwest|14985|50|100|-1
cabwest|14986|50|100|-1
cabwest|14987|50|100|-1
cabwest|14988|50|100|-1
cabwest|14989|50|100|-1
cabwest|14990|50|100|-1
cabwest|14991|50|100|-1
cabwest|14992|50|100|-1
cabwest|14993|50|100|-1
cabwest|14994|50|100|-1
cabwest|14995|50|100|-1
cabwest|14996|50|100|-1
cabwest|14997|50|100|-1
cabwest|14999|50|100|-1
cauldron|22756|50|100|-1
chardok|14979|50|100|-1
citymist|14974|50|100|-1
citymist|22746|55|20|-1
cobaltscar|22766|50|100|-1
cobaltscar|22770|50|100|-1
crushbone|22754|50|100|-1
crystal|22771|50|100|-1
eastkarana|22751|20|100|-1
eastwastes|22769|50|100|-1
erudsxing|19113|50|100|1
erudsxing|22761|50|100|-1
feerrott|22752|50|100|-1
felwithea|22764|50|100|-1
felwitheb|22764|50|100|-1
firiona|12402|50|100|-1
firiona|12444|50|100|-1
firiona|14917|50|100|-1
firiona|14918|50|100|-1
firiona|14919|50|100|-1
firiona|14939|50|100|-1
firiona|14940|50|100|-1
firiona|14967|50|100|-1
firiona|14981|50|100|-1
firiona|14982|50|100|-1
firiona|14983|50|100|-1
firiona|14984|50|100|-1
firiona|14985|50|100|-1
firiona|14986|50|100|-1
firiona|14987|50|100|-1
firiona|14988|50|100|-1
firiona|14989|50|100|-1
firiona|14990|50|100|-1
firiona|14991|50|100|-1
firiona|14992|50|100|-1
firiona|14993|50|100|-1
firiona|14994|50|100|-1
firiona|14995|50|100|-1
firiona|14996|50|100|-1
firiona|14997|50|100|-1
firiona|14999|50|100|-1
highpass|22750|50|100|-1
hole|22758|50|100|-1
iceclad|22767|50|100|-1
iceclad|22768|50|100|-1
innothule|22752|50|100|-1
innothule|22760|50|100|-1
kael|22772|50|100|-1
karnor|14978|50|100|-1
kedge|22755|50|100|-1
kerraridge|22748|50|100|-1
lakerathe|22749|50|100|-1
mischiefplane|1787|50|10|-1
mischiefplane|1788|50|10|-1
mischiefplane|1789|50|10|-1
mischiefplane|1790|50|10|-1
mischiefplane|1791|50|10|-1
nektulos|22751|145|100|-1
northkarana|22751|20|100|-1
nurga|12635|50|200|-1
nurga|14977|50|100|-1
oot|19113|50|100|1
oot|22745|50|100|-1
overthere|14976|50|100|-1
qey2hh1|22751|20|100|-1
qrg|22762|50|100|-1
sebilis|14973|50|100|-1
sirens|22773|50|100|-1
sleeper|22774|174|10|-1
southkarana|22751|20|100|-1
swampofnohope|14972|50|100|-1
swampofnohope|22759|50|100|-1
timorous|14980|50|100|-1
timorous|19113|50|100|1
tox|22747|74|50|-1
warslikswood|14975|50|100|-1
westwastes|22775|50|100|-1
