zone_short_name|eq_itemid|chance|min_expansion|max_expansion
airplane|13044|32|-1|-1
airplane|13045|10|-1|-1
airplane|13046|12|-1|-1
airplane|13047|14|-1|-1
airplane|13048|6|-1|-1
airplane|13106|6|-1|-1
airplane|13419|20|-1|-1
akanon|13044|36|-1|-1
akanon|13045|10|-1|-1
akanon|13046|8|-1|-1
akanon|13047|20|-1|-1
akanon|13048|6|-1|-1
akanon|13106|10|-1|-1
akanon|13419|10|-1|-1
befallen|13044|15|-1|-1
befallen|13045|14|-1|-1
befallen|13046|14|-1|-1
befallen|13047|14|-1|-1
befallen|13048|14|-1|-1
befallen|13106|15|-1|-1
befallen|13419|14|-1|-1
beholder|13044|14|-1|-1
beholder|13045|12|-1|-1
beholder|13046|10|-1|-1
beholder|13047|14|-1|-1
beholder|13048|8|-1|-1
beholder|13106|16|-1|-1
beholder|13419|12|-1|-1
blackburrow|13044|36|-1|-1
blackburrow|13045|4|-1|-1
blackburrow|13046|6|-1|-1
blackburrow|13047|16|-1|-1
blackburrow|13048|8|-1|-1
blackburrow|13106|6|-1|-1
blackburrow|13419|24|-1|-1
burningwood|12483|8|-1|-1
burningwood|12728|2|-1|-1
burningwood|12765|6|-1|-1
burningwood|13044|20|-1|-1
burningwood|13045|4|-1|-1
burningwood|13046|10|-1|-1
burningwood|13047|20|-1|-1
burningwood|13419|30|-1|-1
butcher|13044|22|-1|-1
butcher|13045|6|-1|-1
butcher|13046|6|-1|-1
butcher|13047|8|-1|-1
butcher|13048|6|-1|-1
butcher|13419|16|-1|-1
butcher|14968|16|-1|-1
butcher|19100|20|-1|-1
cabeast|13044|40|-1|-1
cabeast|13045|12|-1|-1
cabeast|13046|8|-1|-1
cabeast|13047|6|-1|-1
cabeast|13048|6|-1|-1
cabeast|13106|6|-1|-1
cabeast|13419|22|-1|-1
cabwest|13044|40|-1|-1
cabwest|13045|12|-1|-1
cabwest|13046|8|-1|-1
cabwest|13047|6|-1|-1
cabwest|13048|6|-1|-1
cabwest|13106|6|-1|-1
cabwest|13419|22|-1|-1
cauldron|13044|18|-1|-1
cauldron|13045|12|-1|-1
cauldron|13046|2|-1|-1
cauldron|13047|14|-1|-1
cauldron|13048|12|-1|-1
cauldron|13106|8|-1|-1
cauldron|13419|8|-1|-1
cauldron|14970|26|-1|-1
cazicthule|13044|38|-1|-1
cazicthule|13045|6|-1|-1
cazicthule|13046|4|-1|-1
cazicthule|13047|20|-1|-1
cazicthule|13048|20|-1|-1
cazicthule|13419|12|-1|-1
charasis|13044|14|-1|-1
charasis|13045|14|-1|-1
charasis|13046|14|-1|-1
charasis|13047|15|-1|-1
charasis|13048|14|-1|-1
charasis|13106|15|-1|-1
charasis|13419|14|-1|-1
chardok|13044|14|-1|-1
chardok|13045|14|-1|-1
chardok|13046|15|-1|-1
chardok|13047|14|-1|-1
chardok|13048|15|-1|-1
chardok|13106|14|-1|-1
chardok|13419|14|-1|-1
citymist|13044|14|-1|-1
citymist|13045|14|-1|-1
citymist|13046|15|-1|-1
citymist|13047|14|-1|-1
citymist|13048|15|-1|-1
citymist|13106|14|-1|-1
citymist|13419|14|-1|-1
cobaltscar|13044|2|-1|-1
cobaltscar|13047|4|-1|-1
cobaltscar|19120|16|-1|-1
cobaltscar|19121|16|-1|-1
cobaltscar|19122|12|-1|-1
cobaltscar|19123|14|-1|-1
cobaltscar|19124|16|-1|-1
cobaltscar|19125|6|-1|-1
cobaltscar|19126|14|-1|-1
commons|13044|34|-1|-1
commons|13045|8|-1|-1
commons|13046|4|-1|-1
commons|13047|12|-1|-1
commons|13048|8|-1|-1
commons|13106|2|-1|-1
commons|13419|16|-1|-1
commons|14921|16|-1|-1
crushbone|13044|32|-1|-1
crushbone|13045|12|-1|-1
crushbone|13046|12|-1|-1
crushbone|13047|6|-1|-1
crushbone|13048|10|-1|-1
crushbone|13106|14|-1|-1
crushbone|13419|14|-1|-1
crystal|19122|20|-1|-1
crystal|19123|12|-1|-1
crystal|19125|4|-1|-1
crystal|19128|8|-1|-1
crystal|19130|20|-1|-1
crystal|19143|36|-1|-1
dalnir|13044|15|-1|-1
dalnir|13045|14|-1|-1
dalnir|13046|14|-1|-1
dalnir|13047|15|-1|-1
dalnir|13048|14|-1|-1
dalnir|13106|14|-1|-1
dalnir|13419|14|-1|-1
dreadlands|12634|2|-1|-1
dreadlands|12766|4|-1|-1
dreadlands|12795|2|-1|-1
dreadlands|12878|10|-1|-1
dreadlands|13044|30|-1|-1
dreadlands|13046|8|-1|-1
dreadlands|13047|2|-1|-1
dreadlands|13048|2|-1|-1
dreadlands|13419|16|-1|-1
dreadlands|24094|24|-1|-1
droga|13044|14|-1|-1
droga|13045|14|-1|-1
droga|13046|14|-1|-1
droga|13047|15|-1|-1
droga|13048|15|-1|-1
droga|13106|14|-1|-1
droga|13419|14|-1|-1
eastkarana|12832|10|1|99
eastkarana|13044|26|-1|-1
eastkarana|13045|6|-1|-1
eastkarana|13046|8|-1|-1
eastkarana|13047|22|-1|-1
