contextkey|gameobjectdisplayinfo_id
transportship~pre2~|11000
transportship~pre1~|11001
transportship~els2~|11002
transportship~ogs2~|11003
transportship~oglaunch1011~|11004
transportship~oglaunch1010~|11005
transportship~launchm1011~|11006
transportship~cbgond1011~|11007
transportship~gns0~|11008
transportlift~hferry~|11009
transportlift~faylevator~|11010
transportlift~palift101~|11011
transportlift~mistlift~|11012
transportlift~cmlift101~|11013
transportlifttrigger~fele2~|11014
transportlifttrigger~parock103~|11015
gameobject~door1~TYPE0|11016
gameobject~door620x20~TYPE0|11017
gameobject~door620x20~TYPE5|11018
gameobject~pawportc~TYPE0|11019
gameobject~pawportc~TYPE65|11020
gameobject~pawportc~TYPE5|11021
gameobject~bbdoor2~TYPE5|11022
gameobject~bbdoor2~TYPE0|11023
gameobject~it63~TYPE0|11024
gameobject~bbdoor1~TYPE0|11025
gameobject~cazdoor1~TYPE0|11026
gameobject~door5~TYPE0|11027
gameobject~hum~TYPE0|11028
gameobject~it1~TYPE0|11029
gameobject~grobcagedr~TYPE6|11030
gameobject~grobcagedr~TYPE0|11031
gameobject~grobdoor~TYPE0|11032
gameobject~grobdoor~TYPE5|11033
gameobject~it66~TYPE0|11034
gameobject~it69~TYPE0|11035
gameobject~trm~TYPE0|11036
gameobject~grm~TYPE0|11037
gameobject~it64~TYPE0|11038
gameobject~faydoor~TYPE0|11039
gameobject~faydoor2a~TYPE0|11040
gameobject~faydoor2~TYPE5|11041
gameobject~it73~TYPE0|11042
gameobject~elm~TYPE0|11043
gameobject~gfm~TYPE0|11044
gameobject~it403~TYPE0|11045
gameobject~grobcagedr~TYPE1|11046
gameobject~it35~TYPE0|11047
gameobject~vaultd~TYPE1|11048
gameobject~door1~TYPE15|11049
gameobject~hhcell~TYPE0|11050
gameobject~door2~TYPE0|11051
gameobject~d10x12~TYPE0|11052
gameobject~kerdoor2~TYPE0|11053
gameobject~kerdoor1~TYPE0|11054
gameobject~it52~TYPE0|11055
gameobject~gnhsedoor~TYPE0|11056
gameobject~it402~TYPE0|11057
gameobject~it401~TYPE0|11058
gameobject~mistgate~TYPE1|11059
gameobject~hhcell~TYPE65|11060
gameobject~mistdoor2~TYPE0|11061
gameobject~mistdoor1~TYPE0|11062
gameobject~mistdoor1~TYPE5|11063
gameobject~mistdoor3~TYPE17|11064
gameobject~it67~TYPE0|11065
gameobject~it27~TYPE0|11066
gameobject~hobdoor~TYPE0|11067
gameobject~hobdoor~TYPE5|11068
gameobject~speardown~TYPE60|11069
gameobject~speardown~TYPE0|11070
gameobject~ogm~TYPE0|11071
gameobject~okf~TYPE0|11072
gameobject~pawportc~TYPE70|11073
gameobject~pawdoor1~TYPE0|11074
gameobject~pawdoor1~TYPE5|11075
gameobject~pawcell~TYPE70|11076
gameobject~perrock3~TYPE0|11077
gameobject~perdoor1~TYPE0|11078
gameobject~port5628~TYPE75|11079
gameobject~perrock2~TYPE7|11080
gameobject~port2814~TYPE66|11081
gameobject~port1414~TYPE66|11082
gameobject~port1414~TYPE61|11083
gameobject~perdoordbl~TYPE5|11084
gameobject~perdoordbl~TYPE0|11085
gameobject~perrock2~TYPE12|11086
gameobject~it400~TYPE0|11087
gameobject~qcf~TYPE0|11088
gameobject~ham~TYPE0|11089
gameobject~soldoor1~TYPE0|11090
gameobject~soldoor1~TYPE2|11091
gameobject~soldoor1~TYPE7|11092
gameobject~vudoor~TYPE0|11093
