category|contextkey|id
SpellID|bardsongeffect~7|98500
SpellID|stun~123~1|98501
SpellID|stun~124~1|98502
SpellID|stun~125~1|98503
SpellID|stun~177~1|98504
SpellID|stun~178~1|98505
SpellID|stun~216~1|98506
SpellID|maleform~243~1|98507
SpellID|femaleform~243~1|98508
SpellID|maleform~258~1|98509
SpellID|femaleform~258~1|98510
SpellID|maleform~287~1|98511
SpellID|femaleform~287~1|98512
SpellID|stun~290~1|98513
SpellID|maleform~425~1|98514
SpellID|femaleform~425~1|98515
SpellID|maleform~426~1|98516
SpellID|femaleform~426~1|98517
SpellID|maleform~427~1|98518
SpellID|femaleform~427~1|98519
SpellID|maleform~428~1|98520
SpellID|femaleform~428~1|98521
SpellID|stun~472~1|98522
SpellID|stun~473~1|98523
SpellID|stun~474~1|98524
SpellID|stun~475~1|98525
SpellID|stun~503~1|98526
SpellID|maleform~559~2|98527
SpellID|femaleform~559~2|98528
SpellID|maleform~581~1|98529
SpellID|femaleform~581~1|98530
SpellID|maleform~582~1|98531
SpellID|femaleform~582~1|98532
SpellID|maleform~583~1|98533
SpellID|femaleform~583~1|98534
SpellID|maleform~584~1|98535
SpellID|femaleform~584~1|98536
SpellID|maleform~585~1|98537
SpellID|femaleform~585~1|98538
SpellID|maleform~586~1|98539
SpellID|femaleform~586~1|98540
SpellID|maleform~587~1|98541
SpellID|femaleform~587~1|98542
SpellID|maleform~588~1|98543
SpellID|femaleform~588~1|98544
SpellID|maleform~589~1|98545
SpellID|femaleform~589~1|98546
SpellID|maleform~590~1|98547
SpellID|femaleform~590~1|98548
SpellID|maleform~591~1|98549
SpellID|femaleform~591~1|98550
SpellID|maleform~592~1|98551
SpellID|femaleform~592~1|98552
SpellID|maleform~593~1|98553
SpellID|femaleform~593~1|98554
SpellID|maleform~594~1|98555
SpellID|femaleform~594~1|98556
SpellID|maleform~595~1|98557
SpellID|femaleform~595~1|98558
SpellID|maleform~596~1|98559
SpellID|femaleform~596~1|98560
SpellID|maleform~597~1|98561
SpellID|femaleform~597~1|98562
SpellID|maleform~598~1|98563
SpellID|femaleform~598~1|98564
SpellID|maleform~599~1|98565
SpellID|femaleform~599~1|98566
SpellID|maleform~600~1|98567
SpellID|femaleform~600~1|98568
SpellID|maleform~601~1|98569
SpellID|femaleform~601~1|98570
SpellID|stun~612~1|98571
SpellID|maleform~643~1|98572
SpellID|femaleform~643~1|98573
SpellID|maleform~644~1|98574
SpellID|femaleform~644~1|98575
SpellID|bardsongeffect~700|98576
SpellID|bardsongeffect~701|98577
SpellID|bardsongeffect~702|98578
SpellID|bardsongeffect~703|98579
SpellID|bardsongeffect~705|98580
SpellID|bardsongeffect~706|98581
SpellID|bardsongeffect~707|98582
SpellID|bardsongeffect~709|98583
SpellID|bardsongeffect~710|98584
SpellID|bardsongeffect~711|98585
SpellID|bardsongeffect~712|98586
SpellID|bardsongeffect~713|98587
SpellID|bardsongeffect~714|98588
SpellID|bardsongeffect~715|98589
SpellID|bardsongeffect~716|98590
SpellID|bardsongeffect~717|98591
SpellID|bardsongeffect~718|98592
SpellID|bardsongeffect~719|98593
SpellID|bardsongeffect~721|98594
SpellID|bardsongeffect~724|98595
SpellID|bardsongeffect~725|98596
SpellID|bardsongeffect~729|98597
SpellID|bardsongeffect~730|98598
SpellID|bardsongeffect~734|98599
SpellID|bardsongeffect~735|98600
SpellID|bardsongeffect~738|98601
SpellID|bardsongeffect~740|98602
SpellID|bardsongeffect~741|98603
SpellID|bardsongeffect~743|98604
SpellID|bardsongeffect~744|98605
SpellID|bardsongeffect~745|98606
SpellID|bardsongeffect~746|98607
SpellID|bardsongeffect~747|98608
SpellID|bardsongeffect~748|98609
SpellID|bardsongeffect~749|98610
SpellID|bardsongeffect~750|98611
SpellID|heal~777~4|98612
SpellID|stun~787~1|98613
SpellID|stun~796~1|98614
SpellID|heal~798~1|98615
SpellID|stun~804~1|98616
SpellID|stun~807~1|98617
SpellID|stun~809~1|98618
SpellID|stun~831~1|98619
SpellID|stun~834~1|98620
SpellID|stun~837~1|98621
SpellID|stun~844~2|98622
SpellID|stun~846~1|98623
SpellID|stun~848~1|98624
SpellID|stun~856~1|98625
SpellID|stun~869~1|98626
SpellID|stun~870~3|98627
SpellID|stun~886~1|98628
SpellID|stun~900~1|98629
SpellID|maleform~914~1|98630
SpellID|femaleform~914~1|98631
SpellID|stun~915~1|98632
SpellID|stun~916~1|98633
SpellID|stun~919~1|98634
SpellID|stun~926~1|98635
SpellID|stun~958~1|98636
SpellID|stun~967~1|98637
SpellID|stun~989~2|98638
SpellID|stun~1020~1|98639
SpellID|stun~1024~2|98640
SpellID|stun~1026~2|98641
SpellID|stun~1031~2|98642
SpellID|stun~1033~1|98643
SpellID|stun~1034~1|98644
SpellID|stun~1040~3|98645
SpellID|stun~1047~2|98646
SpellID|stun~1058~2|98647
SpellID|stun~1071~3|98648
SpellID|stun~1075~3|98649
SpellID|stun~1085~2|98650
SpellID|stun~1118~2|98651
SpellID|stun~1140~2|98652
SpellID|stun~1145~2|98653
SpellID|stun~1151~2|98654
SpellID|stun~1152~3|98655
SpellID|maleform~1194~1|98656
SpellID|femaleform~1194~1|98657
SpellID|heal~1208~4|98658
SpellID|stun~1244~1|98659
SpellID|stun~1247~1|98660
SpellID|bardsongeffect~1271|98661
SpellID|maleform~1279~1|98662
SpellID|femaleform~1279~1|98663
SpellID|stun~1314~2|98664
SpellID|stun~1335~3|98665
SpellID|maleform~1376~2|98666
SpellID|femaleform~1376~2|98667
