zone_shortname|creature_name|menu_text|option_id|option_text|Type|ReactionValue|PositionX|PositionY|PositionZ|Heading|AddedX|AddedY|DelayMS
airplane|Abec_Ianor|Great, let us waste no more time! Do you wish to begin your test of conception, visualization, or preparation?|1|I am finished for now.  Let Wizard Schrock return.|say|Very well,  $N.  Farewell.|||||||
airplane|Abec_Ianor|Great, let us waste no more time! Do you wish to begin your test of conception, visualization, or preparation?|1|I am finished for now.  Let Wizard Schrock return.|despawn|self|||||||
airplane|Alan_Harten|Greetings faithful. Your faith shall be tested this day.  Shall you take the test of courage, skill, or protection?|1|I am finished for now.  Let Josin Faithbringer return.|say|Very well,  $N.  Farewell.|||||||
airplane|Alan_Harten|Greetings faithful. Your faith shall be tested this day.  Shall you take the test of courage, skill, or protection?|1|I am finished for now.  Let Josin Faithbringer return.|despawn|self|||||||
airplane|Cilin_Spellsinger|Greetings  $N.  Do you feel that you are ready to be tested in song?|1|Summon Clarisa Spiritsong|spawnunique|71081|1388.9|660.7|-769.999939|192.6|||
airplane|Cilin_Spellsinger|Greetings  $N.  Do you feel that you are ready to be tested in song?|2|Summon Denise Songweaver|spawnunique|71082|1368.4|660.7|-769.999939|192.6|||
airplane|Cilin_Spellsinger|Greetings  $N.  Do you feel that you are ready to be tested in song?|1|Summon Clarisa Spiritsong|say|Farewell.|||||||
airplane|Cilin_Spellsinger|Greetings  $N.  Do you feel that you are ready to be tested in song?|1|Summon Clarisa Spiritsong|despawn|self|||||||
airplane|Cilin_Spellsinger|Greetings  $N.  Do you feel that you are ready to be tested in song?|2|Summon Denise Songweaver|say|Farewell.|||||||
airplane|Cilin_Spellsinger|Greetings  $N.  Do you feel that you are ready to be tested in song?|2|Summon Denise Songweaver|despawn|self|||||||
airplane|Clarisa_Spiritsong|Hi there  $N! I give three sections of the test of songs, Denise does the rest. Do you wish to take the test of pitch, voice, or tone?|1|I am finished for now.  Let Cilin Spellsinger return.|say|Very well,  $N.  Farewell.|||||||
airplane|Clarisa_Spiritsong|Hi there  $N! I give three sections of the test of songs, Denise does the rest. Do you wish to take the test of pitch, voice, or tone?|1|I am finished for now.  Let Cilin Spellsinger return.|despawn|self|||||||
airplane|Dason_Goldblade|Greetings,  $N.  Are you pure of heart and soul?|1|Summon Gregori Lightbringer|spawnunique|71089|1331.1|563|-769.999939|63.4|||
airplane|Dason_Goldblade|Greetings,  $N.  Are you pure of heart and soul?|2|Summon Dirkog Steelhand|spawnunique|71077|1331.1|563|-769.999939|63.4|||
airplane|Dason_Goldblade|Greetings,  $N.  Are you pure of heart and soul?|1|Summon Gregori Lightbringer|say|Farewell.|||||||
airplane|Dason_Goldblade|Greetings,  $N.  Are you pure of heart and soul?|1|Summon Gregori Lightbringer|despawn|self|||||||
airplane|Dason_Goldblade|Greetings,  $N.  Are you pure of heart and soul?|2|Summon Dirkog Steelhand|say|Farewell.|||||||
