id|zone_name|max_x|max_y|max_z|min_x|min_y|heading|name|item|max_allowed|respawn_timer|min_expansion|comment
1|airplane|1296|559|-762|1296|559|0|IT28|10617|1|864000|-1|22119
2|akanon|1993|-260|-122|1993|-260|0|IT64|10780|1|300000|-1|a dusty broken shield
3|blackburrow|27|-69|-221.905|27|-69|0|IT63|13731|1|360000|-1|a dusty broken sword
4|burningwood|-851|-1110|-601|-851|-1110|0|IT|1697|1|300000|-1|a dusty old backbone
5|butcher|-203|2142|3|-203|2142|0|IT403|16490|1|300000|1|a dusty old jawbone
6|butcher|471|2680|86|471|2680|0|IT403|16490|1|300000|1|a dusty old skull
7|butcher|-2289|125|30|-2289|125|0|IT403|16490|1|300000|1|a dusty ribcage
8|butcher|-1075|-1620|56|-1075|-1620|0|IT403|16490|1|300000|1|An Old Silver Coin (Azia) for Tashania Quest
9|butcher|-1803|-209|11|-1803|-209|0|IT403|16490|1|300000|1|An Old Silver Coin (Beza) for Tashania Quest
10|butcher|-2401|-489|6|-2401|-489|0|IT403|16490|1|300000|1|An Old Silver Coin (Caza) for Tashania Quest
11|butcher|-2384|-1261|31|-2384|-1261|0|IT403|16490|1|300000|1|An Old Silver Coin (Dena) for Tashania Quest
12|butcher|-1890|-1551|-4|-1890|-1551|0|IT403|16490|1|300000|1|An Old Silver Coin (Ena)  for Tashania Quest
13|butcher|-2081|-999|5|-2081|-999|0|IT403|16490|1|300000|1|An Old Silver Coin (Fana) for Tashania Quest
14|butcher|-1159|-2278|2|-1159|-2278|0|IT403|16490|1|300000|1|An Old Silver Coin (Geza) for Tashania Quest
15|butcher|-1456|-1913|13|-1456|-1913|0|IT403|16490|1|300000|1|An Old Silver Coin (Heda) for Tashania Quest
16|butcher|-1459|-1970|3|-1459|-1970|0|IT403|16490|1|300000|1|An Old Silver Coin (Izah) for Tashania Quest
17|butcher|324|2747|40|324|2747|0|IT403|16490|1|300000|1|An Old Silver Coin (Jaka) for Tashania Quest
18|butcher|-96|2324|3|-96|2324|0|IT403|16490|1|300000|1|Auto generated by Collector
19|butcher|340|1766|20|340|1766|0|IT403|16490|1|300000|1|Auto generated by Collector
20|butcher|2729|-1831|15|2729|-1831|0|IT403|16490|1|300000|1|Auto generated by Collector
21|butcher|2347|-1924|3|2347|-1924|0|IT403|16490|1|300000|1|Auto generated by Collector
22|butcher|2632|-2127|-8|2632|-2127|0|IT403|16490|1|300000|1|Auto generated by Collector
23|butcher|2613|-1908|18|2613|-1908|0|IT403|16490|1|300000|1|Auto generated by Collector
24|butcher|1959|-1657|-18|1959|-1657|0|IT403|16490|1|300000|1|Auto generated by Collector
25|cabeast|385|-342|16|385|-342|0|IT|14158|1|300000|-1|Auto generated by Collector
26|cauldron|-891|-738|-422|-891|-738|0|IT35|14353|1|360000|-1|Auto generated by Collector
27|charasis|348|95|3|348|95|0|IT63|20514|1|360000|-1|Auto generated by Collector
28|charasis|-266|291|21|-266|291|0|IT63|20515|1|360000|-1|Auto generated by Collector
29|charasis|-479|153|3|-479|153|0|IT63|20516|1|360000|-1|Auto generated by Collector
30|charasis|331|207|3|331|207|0|IT63|20521|1|2700000|-1|Auto generated by Collector
31|charasis|-12|354|21|-12|354|0|IT63|20522|1|2700000|-1|Auto generated by Collector
32|charasis|-567|152|3|-567|152|0|IT63|20523|1|2700000|-1|Auto generated by Collector
33|charasis|-155|549|3|-155|549|0|IT64|17751|1|2700000|-1|Auto generated by Collector
34|charasis|144|-514|28|144|-514|0|IT63|2057|1|300000|-1|Auto generated by Collector
35|citymist|132|-370|-14|132|-370|0|IT63|1671|1|300000|-1|Auto generated by Collector
36|cobaltscar|903.839|-147.59|-47.874|903.839|-147.59|0|IT400|30065|1|3600000|-1|Berries
37|cobaltscar|-133.161|-9.58966|-47.874|-133.161|-9.58966|0|IT400|30065|1|3600000|-1|Berries
38|cobaltscar|-349.161|819.41|-47.874|-349.161|819.41|0|IT400|30065|1|3600000|-1|Berries
39|cobaltscar|631.839|263.41|-47.1015|631.839|263.41|0|IT400|30065|1|3600000|-1|Blue Slumber Fungus
40|cobaltscar|-68.1614|1504.41|-47.874|-68.1614|1504.41|0|IT400|30065|1|3600000|-1|book of charm and sacrifice
41|cobaltscar|-547.161|1075.41|-29.661|-547.161|1075.41|0|IT400|30065|1|3600000|-1|Crushed Diamond spawn for Spell: Cannibalize II quest
42|cobaltscar|379.839|-606.59|-31.3286|379.839|-606.59|0|IT400|30065|1|3600000|-1|Deep Soil
43|cobaltscar|993.839|196.41|-47.874|993.839|196.41|0|IT400|30065|1|3600000|-1|
44|cobaltscar|682.839|-23.5897|-30.201|682.839|-23.5897|0|IT400|30065|1|3600000|-1|
