raceid|genderid|helmtextureid|textureindex|colortintid|faceindex|creaturedisplay_dbcid
1|0|0|0|0|1|41033
1|0|0|0|0|2|41034
1|0|0|0|0|3|41035
1|0|0|0|0|4|41036
1|0|0|0|0|5|41037
1|0|0|0|0|6|41038
1|0|0|0|0|7|41039
1|0|0|0|20001|1|41040
1|0|0|0|20001|2|41041
1|0|0|0|20001|3|41042
1|0|0|0|20001|4|41043
1|0|0|0|20001|5|41044
1|0|0|0|20001|6|41045
1|0|0|0|20001|7|41046
1|0|0|0|20002|1|41047
1|0|0|0|20002|2|41048
1|0|0|0|20002|3|41049
1|0|0|0|20002|4|41050
1|0|0|0|20002|5|41051
1|0|0|0|20002|6|41052
1|0|0|0|20002|7|41053
1|0|0|0|20003|1|41054
1|0|0|0|20003|2|41055
1|0|0|0|20003|3|41056
1|0|0|0|20003|4|41057
1|0|0|0|20003|5|41058
1|0|0|0|20003|6|41059
1|0|0|0|20003|7|41060
1|0|0|0|20004|1|41061
1|0|0|0|20004|2|41062
1|0|0|0|20004|3|41063
1|0|0|0|20004|4|41064
1|0|0|0|20004|5|41065
1|0|0|0|20004|6|41066
1|0|0|0|20004|7|41067
1|0|0|0|20005|1|41068
1|0|0|0|20005|2|41069
1|0|0|0|20005|3|41070
1|0|0|0|20005|4|41071
1|0|0|0|20005|5|41072
1|0|0|0|20005|6|41073
1|0|0|0|20005|7|41074
1|0|0|0|20009|1|41075
1|0|0|0|20009|2|41076
1|0|0|0|20009|3|41077
1|0|0|0|20009|4|41078
1|0|0|0|20009|5|41079
1|0|0|0|20009|6|41080
1|0|0|0|20009|7|41081
1|0|0|1|0|1|41082
1|0|0|1|0|2|41083
1|0|0|1|0|3|41084
1|0|0|1|0|4|41085
1|0|0|1|0|5|41086
1|0|0|1|0|6|41087
1|0|0|1|0|7|41088
1|0|1|1|0|1|41089
1|0|1|1|0|2|41090
1|0|1|1|0|3|41091
1|0|1|1|0|4|41092
1|0|1|1|0|5|41093
1|0|1|1|0|6|41094
1|0|1|1|0|7|41095
1|0|0|1|20001|1|41096
1|0|0|1|20001|2|41097
1|0|0|1|20001|3|41098
1|0|0|1|20001|4|41099
1|0|0|1|20001|5|41100
1|0|0|1|20001|6|41101
1|0|0|1|20001|7|41102
1|0|1|1|20001|1|41103
1|0|1|1|20001|2|41104
1|0|1|1|20001|3|41105
1|0|1|1|20001|4|41106
1|0|1|1|20001|5|41107
1|0|1|1|20001|6|41108
1|0|1|1|20001|7|41109
1|0|0|1|20002|1|41110
1|0|0|1|20002|2|41111
