name|text
|MISSING ITEM TEXT
6AVCheatSheet|`1)  These conflicted strands are a badge of honor.``2)  This pouch is crafted from finer things than leather.``3)  Weigh your options before seeking these.``4)  A crumbling intellect can be a burden.``5)  It towers above, but these help it grow below``6) The rhyme of the mountains.``7)  Cursing can be heard whenever this is used.``8)  Their bark is the least of your worries.``9)  Fans the swarming flame.``10)  Grown from the seeds of failure.
700AG|199 A.G.`   Zebuxoruk the Demigod`` In past time did a great `necromancer rise to `greatness. Kotiz was he.`He was once the apprentice`of the Shissar. It is there`that he learned the secrets`of the dark circle. After `the Green Death took the`Shissar, Kotiz made their`laboratories and libraries`his own. There did he train`many new apprentices.` In the year 199 A.G. he`finds a rip in time and`journeys to the netherworlds.`There he discovers the `trapped soul of an ancient`evil, the demigod, `Zebuxoruk.``` Zebuxoruk was imprisoned`for blasphemy and his `essence now was trapped `within a crystal. Kotiz was`promised great knowledge in`exchange for assisting`the demigod in his freedom.`Kotiz was told to return to`his world and gather 100`necromancers and bring them`one at a time to the crystal`where Kotiz would sacrifice`them using the crystal as`the sacrificial dagger.` Knowing only of his own`brood, Kotiz brought them`one after one to be `sacrificed to the demigod.`Upon the death of the last`apprentice did the crystal`shatter. A shard imbedded`itself in the shoulder of `Kotiz. There was no demigod`to be seen.` The tiny plane began to`fold in upon itself. Kotiz`escaped using the last mana`he had. He believed he was `deceived by the demigod. He`destroyed his own brood for`naught. Suddenly the shard`of crystal in Kotiz began to`move under the skin. It rushed`to his right arm. With great`pain, arms began to sprout`from his own arm. They `grabbed Kotiz's shoulder and`ripped his arm from his `socket and began to form a`demonic creature. `Zebuxoruk was free! He lay `a book in front of the `dying necromancer and `left in a flash of light. `The book was The Unholy Writ`of War. Each page was made`from the skin of the `sacrificed brood. `Kotiz repaired himself and`hid the book in a tesseract`within his library. There`it would remain. Eventually`Kotiz could sustain his life`no longer. He entered death`                700 A.G.
ABYBrewingRecipeB|Making Sauces` by Galidnus```Honestly, I just don't have`time to do this.  There are`some fantastic new teas to `try out and I don't want to`waste my time writing, but `Chowderly insisted, so here`it is.  I'm sorry if this `is short.``I'll tell you how to make `one of my favorite sauces, `lemon-butter.  It's really `not all that hard, though `Chowderly would like you to`think it is.``Take some butter and mix it`with some white wine.  The `proportions are for you to `decide.  Add a lemon.  We `have a good supply of `lemons on board, so finding`them shouldn't be an issue.` It's just that simple.``I've come up with several `easy recipes for sauces to `keep Chowderly busy, such `as a simple grilling sauce,`a spiced sauce, a smoking `sauce, a butter sauce, a `garlic-butter sauce, a `barbeque sauce, a beer `braising sauce and even a `beer-batter.``Now, if I were writing for `my fellow brewers, I'd tell`you something about the `Taelosian teas.  A `wonderful tea that accepts `a lot of flavors very well.` Try it with mint!  To make`some of the darker teas, `you'll need to find some `ingredients out on `Taelosia.  Look for moldy `leaves to give an earthy `flavor for a black tea, or `some tea plant sticks and `greener leaves for a green `tea.``Anyhow, I've got to get to `work.  If Chowderly wants `to prattle on about his new`tuna recipes, let him spend`his own time at it.`
ABYFletchingRecipeB|The Beauty of a Simple Stone`  by Bansama Nysawi``I am a simple person and I `find beauty in the simple `things.  I've been a `crafter for a long time `now.  When I was a girl I `found joy in making arrows `for my father and his `friends, and to this day I `still find making things to`be the most rewarding `activity in my life.``Recently, we discovered a `new stone, hard as any `rock, but with interesting `shearing properties.  If `you break it just the right`way you will get an edge `sharper than any steel.  `We've called this material `Taelosian Stone.  We've `also found a version of `this stone that has been `altered by some tremendous `force, and we've decided to`call that Discord Stone.  `It has the same properties `as Taelosian Stone, but it `has unusual additional `properties that I can't `fully describe.``Not only is this stone `beautiful, it is very `useful.``Once the stone is prepared `(and that's a secret for `another tome and another `time), careful use of a `file will produce a `wonderful new arrowhead.  `Make sure to keep the stone`wet while you work with it.``Using even common shafts, `fletchings, and nocs, and `it produces some wonderful `arrows.`
ABYOrangeTuna|Pan-Seared Orange Tuna``Combine in an Oven:`One 2 lb. Saltwater Tuna`Loaf of Bread`Spices`Seaweed Vinegar`Flask of Orange Juice`Cup of Sugar`Non-Stick Frying Pan``-Chef Chowderly           
ABYTailoringRecipeB|"My Theory About Muramites`  by Garald Samer, Master `Tailor```I have been honored to be `master tailor here on the `Queen of Thorns.  I have `been extremely busy, but `Morden has asked us to try `to write our discoveries `down whenever we can.  For `a barbarian, he is `surprisingly interested in `written records.``Adventurers have been `returning to the ship with `these unusual, rune-etched `scales.  They tell me that `they were part of the armor`that these so-called `Muramites wear.  At first I`just shrugged and accepted `that as fact, but now that `I have examined these `scales more closely, I have`some concerns.``They appear to be organic `scales, marked with some `writing or runes that `nobody can decipher.  `That's certainly strange, `but that isn't what bothers`me.  From what I and others`can tell, these scales seem`to have all come from the `same creature.  Not only `that, but they do not come `from any kind of animal or `being that anyone seems to `recognize.  The coloration `and texture are, well, off.` I can't explain it better `than that.``I know leather and skin `better than almost anyone. `My examination of hundreds `of these scales has me very`worried.  From what I can `see, they have all come not`from a single family of `large creatures, but from `one beast in particular.  I`can't prove that, of `course, but if I am right, `this is a frightening `concept.``This creature must either `shed scales at a horrifying`rate, or it is so large `that upon killing it, these`Muramites were able to `outfit their entire army `with armor from its scales.` If these creatures killed `a creature of that size, `then I'm very concerned `about our chances of `defeating them.``There is a positive side to`this, though.  These scales`are a very useful material.` I have been dedicating `myself to studying the `scales themselves, and `between Tonlyei and I, we `have been able to put them `to use.  We have created a `few new whips using these `scales that have potential.` We have tried reinforcing `them with thread made from `the new steel that has been`discovered as well, but we `discovered that the steel `would eventually damage the`whip.  We found that `treating the steel with the`blood of a hynid will `lubricate it well and `reduce the damage.``Of course whips can be made`from cat or wolf pelts, `even the skins of those `horrible brute on Taelosia `will work, but the etched `scales are amazing.  It `takes more skill to create `a whip from the scales, but`the result is worth it.``We have also been working `with the hides of the `Taelosian animals and have `found them to be very good `for making backpacks, `though they are much `stronger if you bind them `with the new steel (treated`properly, of course).  Of `the two types of thread the`smiths have made, one they `call ""aligned"" and the `other ""shimmering"" steel, `the shimmering thread is `much stronger, though a `little thicker and harder `to work with.  They also `tend to make it a bit `longer than the aligned `thread.  If used carefully,`I can use less shimmering `steel thread to make a more`durable bag.``I suppose I should return `to work.  It has been nice `to set pen to paper again.`"
ABYTinkeringRecipeB|A New Energy Source` by Tialechaety Orrthemech```I am here on the Queen of `Thorns, just outside of `Taelosia.  I have recently `been working with a new `material that has been `recovered from Taelosia.  `As the first to examine `this material, Skelontorim `and I have chosen to name `it Dark Matter.  It is `black and has very little `hint of color or shine.  We`have also discovered that `there are two separate `forms of this material.  `The rarer form has been `infused with some other `matter.  To the best of our`knowledge at this time, `that matter is somehow `linked to the augment `stones, though only `tenuously.  We have named `this form Infused Dark `Matter.``This is a dangerous `material.  It holds power `and improper handling can `be harmful, as Skelontorim `recently discovered.  For `now, our research is `limited but our location, `the supplies and time `available to us.  We have `been asked to attempt only `experiments that we are `certain will not cause any `other large explosions.  We`have, however, discovered a`method for harnessing the `power of Dark Matter.``The key is in the `refinement process.  We `have shared that procedure `with a select few, but I `shall not write it out `here.  Once processed, it `is a relatively simple `matter to divide the Dark `Matter into smaller `portions, any good tinkerer`can do that in her toolbox.` Once you have the proper `amount of matter, just `place it into the battery `casings that we designed `and made available.  These `casings, with the Dark `Matter to power them, can `replace any Mana Battery.  `The only exception is the `larger and more powerful `level six battery.  To `create something to replace`one of these, you must use `the Infused Dark Matter.`
ABYTunaKabobs|Taelosian Tuna Kabobs``Combine in an Oven:`One 3 lb. Saltwater Tuna`Skewers`One Spotted Mushroom`One Habanero Pepper`Ground Garlic``-Chef Chowderly     
ABYTunaSandwich|Spicy Tuna Salad Sandwich``Combine in an Oven:`One 1 lb. Saltwater Tuna`One Loaf of Bread`Algae Spices`Kelp Garnish`Lettuce`Butter``-Chef Chowderly        
