lootdrop_id|item_id|item_charges|equip_item|chance|multiplier|disabled_chance|min_expansion|max_expansion
209|1025|1|1|9|1|0|-1|-1
209|1026|1|1|9|1|0|-1|-1
209|1027|1|1|9|1|0|-1|-1
209|1028|1|1|9|1|0|-1|-1
209|1029|1|1|8|1|0|-1|-1
209|1030|1|1|8|1|0|-1|-1
209|1031|1|1|8|1|0|-1|-1
209|1032|1|1|8|1|0|-1|-1
209|1033|1|1|8|1|0|-1|-1
209|1034|1|1|8|1|0|-1|-1
209|1035|1|1|8|1|0|-1|-1
209|1036|1|1|8|1|0|-1|-1
246|1097|1|1|14.3|1|0|-1|-1
246|1099|1|1|14.3|1|0|-1|-1
246|1100|1|1|14.3|1|0|-1|-1
246|1112|1|1|14.3|1|0|-1|-1
246|1113|1|1|14.3|1|0|-1|-1
246|1114|1|1|14.3|1|0|-1|-1
246|1116|1|1|14.3|1|0|-1|-1
272|1101|1|1|9|1|0|-1|-1
272|1102|1|1|9|1|0|-1|-1
272|1103|1|1|9|1|0|-1|-1
272|1104|1|1|9|1|0|-1|-1
272|1105|1|1|8|1|0|-1|-1
272|1106|1|1|8|1|0|-1|-1
272|1107|1|1|8|1|0|-1|-1
272|1108|1|1|8|1|0|-1|-1
272|1109|1|1|8|1|0|-1|-1
272|1110|1|1|8|1|0|-1|-1
272|1111|1|1|8|1|0|-1|-1
273|13409|1|0|25|1|0|-1|-1
273|16532|1|0|25|1|0|-1|-1
273|22524|1|0|25|1|0|1|99
369|1204|1|1|4|1|0|-1|-1
369|1218|1|1|3|1|0|-1|-1
369|3803|1|1|4|1|0|-1|-1
369|4843|1|1|4|1|0|-1|-1
369|4854|1|1|4|1|0|-1|-1
369|4864|1|1|4|1|0|-1|-1
369|4877|1|1|4|1|0|-1|-1
369|4887|1|1|4|1|0|-1|-1
369|4896|1|1|4|1|0|-1|-1
369|4904|1|1|4|1|0|-1|-1
369|4915|1|1|4|1|0|-1|-1
383|1239|1|1|3|1|0|-1|-1
383|1240|1|1|2|1|0|-1|-1
383|1241|1|1|4|1|0|-1|-1
383|1242|1|1|5|1|0|-1|-1
383|1243|1|1|4|1|0|-1|-1
383|1244|1|1|3|1|0|-1|-1
383|1245|1|1|4|1|0|-1|-1
385|12502|3|1|3|1|0|-1|-1
385|16537|1|0|24|1|0|-1|-1
387|10035|1|0|2|1|0|-1|-1
387|10036|1|0|2|1|0|-1|-1
387|10037|1|0|2|1|0|-1|-1
387|10048|1|1|2|1|0|-1|-1
