id|name|min_expansion|max_expansion
209|86_Corflunk_Wear|-1|-1
246|106_#Lady_Mirenilla_Wear|-1|-1
272|118_A_Froglok_Wear|-1|-1
273|118_A_Froglok_Trade|-1|-1
369|fearplane Phoboplasm loot|-1|-1
383|hateplane Apothic Armor|-1|-1
385|hateplane Male Revenant Non-Armor|-1|-1
387|hateplane fearplane Gems 1|-1|-1
526|215_Naxot_Deepwater_Wear|-1|-1
529|217_A_Plasmatic_Priest_Wear|-1|-1
543|223_Squallslither_Wear|-1|-1
556|232_Akksstaff_Wear|-1|-1
561|236_A_Seeker_Wear|-1|-1
566|240_X`ta_Tempi_Wear|-1|-1
593|253_Bracken_Underbrush_Wear|-1|-1
598|255_A_Froglok_Noble_Trade|2|99
615|264_Noxious_Spider_Wear|-1|-1
617|265_Shazda_Asad_Wear|-1|-1
694|300_Seplawishinl_Bladeblight_Wear|-1|-1
843|372_#High_Scale_Kirn_Wear|-1|-1
848|376_Xenevorash_Misc|-1|-1
851|378_Incoherent_Spirit_Wear|-1|-1
852|379_Eichvul_Misc|-1|-1
940|416_Equestrielle_the_Corrupted_Wear|-1|-1
941|416_Equestrielle_the_Corrupted_Misc|-1|-1
942|417_Rineval_Talyas_Wear|-1|-1
1056|466_Meridith_Tindle_Wear|-1|-1
1103|485_Misty_Storyswapper_Wear|-1|-1
1220|545_Mroon_Wear|-1|-1
1221|546_Narra_Tanith_Wear|-1|-1
1223|548_Ashenpaw_Wear|-1|-1
1228|550_Bristletoe_Wear|-1|-1
1234|553_Lockjaw_Wear|-1|-1
1235|553_Lockjaw_Trade|-1|-1
1238|556_Tae_Ew_Diviner_Wear|-1|-1
1245|561_A_Shady_Mercenary_Wear|-1|-1
1255|566_Gabbie_Mardoddle_Wear|-1|-1
1299|592_Lord_Gongo_Wear|-1|-1
1300|593_Jo_Jo_Wear|-1|-1
1302|595_#Morley_Murrain_Misc|-1|-1
1314|603_Guano_Harvester_Wear|-1|-1
1323|A_Luminii_Crawler|-1|-1
1325|A piece of the crystalline globe (crawler)|-1|-1
1334|615_Quillmane_Wear|-1|-1
1336|617_Callowwing_Wear|-1|-1
1507|701_A_Drachnid_Widow_Wear|-1|-1
1508|701_A_Drachnid_Widow_Trade|-1|-1
1509|701_A_Drachnid_Widow_Misc|-1|-1
1556|721_Undead_Crusader_Wear|-1|-1
1557|721_Undead_Crusader_Misc|-1|-1
1881|928_Korvik_the_Cursed_Wear|-1|-1
1953|965_Yymp_the_Infernal_Wear|-1|-1
1972|975_Dark_Elf_Corruptor_Wear|-1|-1
1986|fearplane Wraith_of_a_Shissar quest|-1|-1
1987|985_Cauldronboil_Wear|-1|-1
2082|torment Saryrn|-1|-1
2183|1074_Kobold_Priest_Wear|-1|-1
2186|1076_Grazhak_the_Berzerker_Wear|-1|-1
2198|postorms mini boss loot|-1|-1
2202|postorms wind giant goodies|-1|-1
2203|Brick of Electrified Copper|-1|-1
2204|postorms wind giant head beard|-1|-1
2223|1095_Solusek_Kobold_King_Wear|-1|-1
2226|1097_Efreeti_Lord_Djarn_Wear|-1|-1
2228|1098_Stone_Spider_Wear|-1|-1
2267|1116_Magus_Rokyl_Wear|-1|-1
2353|1165_Cauldronbubble_Wear|-1|-1
2469|hateplane Rune Etched Armor|-1|-1
2491|hateplane Woven Shadow Armor|-1|-1
2581|1338_Brutol_Rhaksen_Wear|-1|-1
2582|NFP Guard 2nd Weapon|-1|-1
2664|1393_Guard_Gehnus_Wear|-1|-1
2726|1433_Gunex_Eklar_Wear|-1|-1
2731|1438_Argyn_Shieldstan_Wear|-1|-1
2738|1445_Edwardian_Holyblade_Wear|-1|-1
2906|1507_A_Ghoul_Wear|-1|-1
2965|Damaged Militia Helm|-1|-1
3015|1559_Brina_Foxtripper_Wear|-1|-1
