id|name|minmoney|maxmoney|avgmoney|done|min_expansion|max_expansion
1|a_froglok_repairer|1|2000|250|0|-1|-1
2|Orc_Centurion|1|50|7|0|-1|-1
65|A_Skulking_Gnoll|0|0|0|1|-1|-1
106|#Lady_Mirenilla|1430|9460|0|1|-1|-1
118|A_Froglok|1|50|7|1|-1|-1
129|sleeper Tukaarak_the_Warder|30000|60000|0|1|-1|-1
130|sleeper Nanzata_the_Warder|30000|60000|0|1|-1|-1
131|sleeper Ventani_the_Warder|30000|60000|0|1|-1|-1
146|A_Froglok_Realist|1|2500|500|0|-1|-1
154|sleeper Hraashna_the_Warder|30000|60000|0|1|-1|-1
162|fearplane Phoboplasm|1078|7137|0|1|-1|-1
168|hateplane male A_Forsaken_Revenant|1100|7282|0|1|-1|-1
215|Naxot_Deepwater|1|2500|500|1|-1|-1
217|A_Plasmatic_Priest|1188|7863|0|0|-1|-1
223|Squallslither|0|0|0|0|-1|-1
232|Akksstaff|660|4378|0|1|-1|-1
236|A_Seeker|726|4814|0|1|-1|-1
240|X`ta_Tempi|858|5685|0|0|-1|-1
253|Bracken_Underbrush|1|2000|250|0|-1|-1
265|Shazda_Asad|1|2500|500|1|-1|-1
300|Seplawishinl_Bladeblight|600|4000|0|1|-1|-1
372|#High_Scale_Kirn|1144|7572|0|1|-1|-1
376|Xenevorash|0|0|0|0|-1|-1
378|Incoherent_Spirit|902|5975|0|1|-1|-1
379|Eichvul|1|2500|500|1|-1|-1
416|Equestrielle_the_Corrupted|0|0|0|1|-1|-1
417|Rineval_Talyas|836|5540|0|1|-1|-1
466|Meridith_Tindle|1|500|25|1|-1|-1
485|Misty_Storyswapper|1|1000|50|1|-1|-1
490|Kalayia_Woodwhisper|0|0|0|0|-1|-1
545|Mroon|1|5000|0|0|-1|-1
546|Narra_Tanith|1|2500|500|0|-1|-1
548|Ashenpaw|0|0|0|0|-1|-1
550|Bristletoe|0|0|0|0|-1|-1
553|Lockjaw|0|0|0|0|-1|-1
556|Tae_Ew_Diviner|1|3000|1000|0|-1|-1
