id|wowid|starterwowid|enabled|always_gen|Name|override_quality|override_item_class_id|override_item_subclass_id|itemtype|foodtype|bait_potency|icon|price|override_buy_stack_price|bagtype|orig_bagtype|bagslots|stacksize|orig_stacksize|damage|delay|alt_damage|alt_delay|alt_dps|classes|slots|aagi|ac|acha|adex|aint|asta|astr|awis|hp|mana|resistmagic|resistdisease|resistpoison|resistcold|resistfire|nodrop|norent|bagsize|source_tradeskill|item_display_file|material|color|bagwr|banedmgamt|banedmgbody|banedmgrace|bardtype|bardvalue|book|casttime|casttime_|deity|elemdmgtype|elemdmgamt|factionamt1|factionamt2|factionamt3|factionamt4|factionmod1|factionmod2|factionmod3|factionmod4|booktextname|focuseffect|fvnodrop|itemclass|light|lore|magic|maxcharges|races|range|reclevel|recskill|reqlevel|sellrate|size|skillmodtype|skillmodvalue|tradeskills|weight|booktype|recastdelay|recasttype|stackable|clickeffect|clickeffect_wow|clickequipwowid|clickessencewowid|clicktype|clicklevel|clicklevel2|proceffect|procrate|proclevel|proclevel2|procenchant_spellIDWOW|procenchant_effectIDEQ|worneffect|worntype|wornlevel|wornlevel2|worn_wow_spellid|focustype|scrolleffect|scrolltype|source|clickunk7|procunk1|procunk7|wornunk7|focusunk7|scrollunk7|clickname|wornname|bardeffect|bardeffecttype|bardlevel2|bardlevel|bardunk1|bardunk7|gmflag|soulbound|wowid_head|wowid_neck|wowid_shoulder|wowid_back|wowid_wrists|wowid_hands|wowid_waist|wowid_legs|wowid_feet|wowid_finger|wowid_trinket|wowid_ranged|wowid_mainhand
1001|85000|-1|1|0|Cloth Cap|1|-1|-1|10|0|0|639|200|-1|0|0|0|1|1|0|0|0|0|0|32767|4|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|1|Cloth Cap|0|-1|15231|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1002|85001|-1|1|0|Cloth Veil|1|-1|-1|10|0|0|677|160|-1|0|0|0|1|1|0|0|0|0|0|32767|8|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Veil|0|0|13183|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1003|85002|-1|1|0|Cloth Choker|1|-1|-1|10|0|0|500|160|-1|0|0|0|1|1|0|0|0|0|0|32767|32|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Choker|0|0|13183|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1004|85003|110451|1|0|Cloth Shirt|1|-1|-1|10|0|0|678|500|-1|0|0|0|1|1|0|0|0|0|0|32767|131072|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Shirt|0|0|13183|0|0|0|0|1|2|0|0|0|8|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1005|85004|-1|1|0|Cloth Shawl|1|-1|-1|10|0|0|665|180|-1|0|0|0|1|1|0|0|0|0|0|32767|64|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Shawl|0|0|13183|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1006|85005|-1|1|0|Cloth Cape|1|-1|-1|10|0|0|656|260|-1|0|0|0|1|1|0|0|0|0|0|32767|256|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Cape|0|0|13183|0|0|0|0|1|2|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1007|85006|-1|1|0|Cloth Cord|1|-1|-1|10|0|0|572|180|-1|0|0|0|1|1|0|0|0|0|0|32767|1048576|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Cord|0|0|13183|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1008|85007|-1|1|0|Cloth Sleeves|1|-1|-1|10|0|0|670|220|-1|0|0|0|1|1|0|0|0|0|0|32767|128|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Sleeves|0|0|13183|0|0|0|0|1|1|0|0|0|1|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1009|85008|-1|1|0|Cloth Wristband|1|-1|-1|10|0|0|638|180|-1|0|0|0|1|1|0|0|0|0|0|32767|1536|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Wristband|0|0|13183|0|0|0|0|1|1|0|0|0|3|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1010|85009|-1|1|0|Cloth Gloves|1|-1|-1|10|0|0|517|260|-1|0|0|0|1|1|0|0|0|0|0|32767|4096|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Gloves|0|0|13183|0|0|0|0|1|1|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
