ObjectName|ParticleCloudName|VelocityMod|ScaleMod|EmitterAddX|EmitterAddY|EmitterAddZ|TransparencyPercentOverride|FadeOut|RotateW|RotateX|RotateY|RotateZ|SpawnRateMod|PersistInWorldSpace|RadiusMod|LifespanMod|BurstAmount|BurstDelayMS|Comments
eq_it62|fsword|1|0.6|0|0|0|-1|1|0|0|0|1|1|0|1|1|1|0|
eq_it160|tfire2|1|0.6|-0.38|0|0|-1|1|0|0|0|0|1|0|1|1|1|0|
eq_it154|shaman|1|1.1|0|0|0|75|1|0|0|0|0|1|0|1|1|1|0|
eq_it141|tintblue02|1|0.6|-0.1|0.15|0|-1|1|0|0.7071|0.7071|0|1|0|1|1|1|0|
eq_it142|tintred02|1|0.6|-0.1|0.15|0|-1|1|0|0.7071|0.7071|0|1|0|1|1|1|0|
eq_it146|tintblue01|1|0.6|-1.75|0|-0.15|-1|1|0|0.7071|0.7071|0|1|0|1|1|1|0|
eq_it146|tintred01|1|0.6|-1.75|0|-0.15|-1|1|0|0.7071|0.7071|0|1|0|1|1|1|0|
eq_it145|skull|0.1|0.11|0|0|0|-1|1|0|0|0|0|1|0|1|1|1|0|
eq_it153|necro|1|0.5|0|0|0|-1|1|0|0|0|0|1|1|1|1|1|0|
eq_it151|magered|0|0.07|-0.2|0|0|-1|1|0|0|0|0|1|1|1|1|1|0|
eq_it151|mageblue|0|0.07|-0.2|0|0|-1|1|0|0|0|0|1|1|1|1|1|0|
eq_it151|magepoop|0|0.07|-0.2|0|0|-1|1|0|0|0|0|1|1|1|1|1|0|
eq_it151|magegreen|0|0.07|-0.2|0|0|-1|1|0|0|0|0|1|1|1|1|1|0|
eq_it151|magepoof|1|3|-2|0|0|-1|1|0|0|0|0|1|0|1|1|1|0|
eq_it155|solfire|1|1|0|0|0.25|-1|1|0|0|0|0|1|0|1|1|1|0|
eq_it155|solspin|1|2.4|0|0|0.25|-1|1|0|0|0|0|1|0|1|1|1|0|
eq_it155|tball3|0.2|0.1|0|0.05|-1|-1|1|0|0|0.7071|0.7071|3.5|0|1|1|1|0|Should be reversed, but can't get it to work that way
eq_it36|tfire|1|0.12|-1.45|0|0.1|-1|1|0|0|0|0|1|0|1|1|1|0|
eq_it36|tsmoke|0.15|0.8|0|0.55|0|-1|1|0|1|0|1|1|1|8|0.8|1|0|
eq_it148|bard|0.6|0.6|0|0|-0.1|75|0|0|0|0|0|1|1|1|1|6|1000|There are 5 of these, so comes out to 20
