Level|BaseHP|BaseMana|Strength|Agility|Stamina|Intellect|Spirit
1|20|60|23|20|22|20|20
2|29|78|24|21|23|20|20
3|38|98|25|21|24|20|21
4|47|104|26|22|25|20|21
5|56|111|28|23|26|20|21
6|65|134|29|24|27|21|21
7|74|143|30|24|28|21|22
8|83|153|31|25|29|21|22
9|92|179|32|26|30|21|22
10|97|192|33|26|31|21|23
11|103|205|35|27|33|21|23
12|109|219|36|28|34|21|23
13|118|249|37|29|35|21|24
14|128|265|39|30|36|22|24
15|139|282|40|30|37|22|24
16|151|315|41|31|38|22|25
17|154|334|42|32|40|22|25
18|168|354|44|33|41|22|25
19|183|390|45|34|42|22|26
20|199|412|47|35|43|22|26
21|206|435|48|35|45|23|26
22|224|459|49|36|46|23|27
23|243|499|51|37|47|23|27
24|253|525|52|38|49|23|28
25|274|552|54|39|50|23|28
26|296|579|55|40|51|23|28
27|309|621|57|41|53|23|29
28|333|648|58|42|54|24|29
29|348|675|60|43|56|24|30
30|374|702|62|44|57|24|30
31|401|729|63|45|58|24|30
32|419|756|65|46|60|24|31
33|448|798|66|47|61|24|31
34|468|825|68|48|63|25|32
35|499|852|70|49|64|25|32
36|521|879|72|50|66|25|33
37|545|906|73|51|68|25|33
38|581|933|75|52|69|25|33
39|609|960|77|53|71|26|34
40|649|987|79|54|72|26|34
41|681|1014|80|56|74|26|35
42|715|1041|82|57|76|26|35
43|761|1068|84|58|77|26|36
44|799|1110|86|59|79|26|36
45|839|1137|88|60|81|27|37
46|881|1164|90|61|83|27|37
47|935|1176|92|63|84|27|38
48|981|1203|94|64|86|27|38
49|1029|1230|96|65|88|28|39
50|1079|1257|98|66|90|28|39
51|1131|1284|100|68|92|28|40
52|1185|1311|102|69|94|28|40
53|1241|1338|104|70|96|28|41
54|1299|1365|106|72|98|29|42
