EQ_Class|Max_Armor_Class|Forage|Bash|1H_Axe|2H_Axe|1H_Mace|2H_Mace|Polearm|1H_Sword|2H_Sword|Staff|Fist|Dagger|Bow|Thrown|Start_Spell_Scroll_EQItemIDs
Bard|Plate|1|0|1|0|1|0|0|1|0|0|1|1|0|1|9992
Cleric|Plate|0|0|0|0|1|1|0|0|0|1|1|0|0|0|9993,9985
Druid|Leather|1|0|1|0|1|1|0|1|0|1|1|0|0|0|9984,9993
Enchanter|Cloth|0|0|0|0|1|1|0|0|0|1|1|1|0|1|9987,9986
Magician|Cloth|0|0|0|0|1|1|0|0|0|1|1|1|0|1|9994,9986
Monk|Leather|0|0|0|0|1|1|0|0|0|1|1|0|0|1|-1
Necromancer|Cloth|0|0|0|0|1|1|0|0|0|1|1|1|0|1|9986,9989
Paladin|Plate|0|1|1|1|1|1|1|1|1|1|1|1|1|0|-1
Ranger|Mail|1|0|1|1|1|1|1|1|1|1|1|0|1|1|-1
Rogue|Mail|0|0|1|0|0|0|0|1|0|0|0|1|1|1|-1
ShadowKnight|Plate|0|1|1|1|1|1|1|1|1|1|1|1|1|0|-1
Shaman|Mail|0|0|0|0|1|1|1|0|0|1|1|1|0|0|9983,9993
Warrior|Plate|0|1|1|1|1|1|1|1|1|1|1|1|1|1|-1
Wizard|Cloth|0|0|0|0|1|1|0|0|0|1|1|1|0|1|9986,9988
