wow_questid|zone_shortname|questgiver_name|Type|ReactionValue|PositionX|PositionY|PositionZ|Heading|AddedX|AddedY
30000|airplane|#Master_of_Elements|despawn|self||||||
30000|airplane|#Master_of_Elements|say|You... are.. balanced... and.. powerful.. for.. a.. mortal...  $N .....  $N. More.. so.. than.... Magi'kot. But.... you.. are.. not.. yet.. ready.. to.. transcend.. transcend... this.. mortal.. coil. Take.. take.. seize.. this.. Orb... for.. you.. are.. worthy.. of.. reward.. and.. with... the.. aid.. of... the... balance.. balance.. contained.. within.. the.. Orb.. you.. may.. yet.. reach.. the... ultimate... Mastery.||||||
30001|airplane|Abec_Ianor|say|Exceptional work my friend!  I hope you find this ring useful in your journeys.||||||
30003|airplane|Abec_Ianor|say|I present to you Nargon's Staff, the Staff of Storms,  $N.  Your fortitude and patience have earned it.||||||
30004|airplane|Alan_Harten|say|Your deeds impress even me,  $N.||||||
30005|airplane|Alan_Harten|say|This shield shall protect you as your faith has in the past. Take it.||||||
30006|airplane|Alan_Harten|say|You deserve these pauldrons,  $N.||||||
30007|airplane|a_presence|despawn|self||||||
30007|airplane|a_presence|say|Hahaha! That dolt Eejag fell to the likes of you? Im not surprised. So, I guess this means you are here to challenge me. Normally, I wouldnt waste my time, but since you have defeated my younger brother, I suppose Im obligated.||||||
30007|airplane|a_presence|spawn|71069|playerX|playerY|-8|playerHeading||
30008|airplane|a_thunder_spirit_princess|say|Thank you,  $N. I will tell him to expect visitors.||||||
30008|airplane|a_thunder_spirit_princess|spawnunique|71073|662.5|287.9|-54.1|109.3||
30009|airplane|Cilin_Spellsinger|say|Then Denise it shall be. You will want to peruse the contents of this journal before your test. When you are ready, simply hand it back to me and I will call Denise forth. If you decide that perhaps Denise is not who you want to test you, then destroy the book and see me again when you are ready.||||||
30010|airplane|Cilin_Spellsinger|despawn|self||||||
30010|airplane|Cilin_Spellsinger|say|Farewell.||||||
30010|airplane|Cilin_Spellsinger|spawn|71081|1388.9|660.7|-766.9|192.6||
30011|airplane|Cilin_Spellsinger|despawn|self||||||
30011|airplane|Cilin_Spellsinger|say|Farewell.||||||
30011|airplane|Cilin_Spellsinger|spawn|71082|1368.4|660.7|-766.9|192.6||
30012|airplane|Clarisa_Spiritsong|say|The songsmith Ervaj crafted this flute. It is now yours,  $N.||||||
30013|airplane|Clarisa_Spiritsong|say|You are truly a master of songs,  $N.||||||
30014|airplane|Clarisa_Spiritsong|say|Take this mask. You have earned it.||||||
