wow_questid|enabled|zone_shortname|expansion|prev_quest_wowid|questgiver_name|quest_name|level60|level80|start_item_id|req_class|req_repmin|req_copper|req_item_id1|req_item1_name|req_item_count1|req_item_id2|req_item_count2|req_item_id3|req_item_count3|req_item_id4|req_item_count4|req_item_id5|req_item_count5|req_item_id6|req_item_count6|reward_money|reward_exp_eq|reward_container_wowid|reward_item_ID1|reward_item1_name|reward_item_count1|reward_item_chance1|reward_item_ID2|reward_item_count2|reward_item_chance2|reward_item_ID3|reward_item_count3|reward_item_chance3|reward_item_ID4|reward_item_count4|reward_item_chance4|reward_item_ID5|reward_item_count5|reward_item_chance5|reward_item_ID6|reward_item_count6|reward_item_chance6|reward_item_ID7|reward_item_count7|reward_item_chance7|reward_item_ID8|reward_item_count8|reward_item_chance8|reward_item_ID9|reward_item_count9|reward_item_chance9|reward_item_ID10|reward_item_count10|reward_item_chance10|reward_item_ID11|reward_item_count11|reward_item_chance11|reward_item_ID12|reward_item_count12|reward_item_chance12|reward_item_ID13|reward_item_count13|reward_item_chance13|reward_item_ID14|reward_item_count14|reward_item_chance14|reward_item_ID15|reward_item_count15|reward_item_chance15|reward_item_ID16|reward_item_count16|reward_item_chance16|reward_item_ID17|reward_item_count17|reward_item_chance17|reward_item_ID18|reward_item_count18|reward_item_chance18|reward_item_ID19|reward_item_count19|reward_item_chance19|reward_item_ID20|reward_item_count20|reward_item_chance20|reward_item_ID21|reward_item_count21|reward_item_chance21|reward_item_ID22|reward_item_count22|reward_item_chance22|reward_item_ID23|reward_item_count23|reward_item_chance23|reward_item_ID24|reward_item_count24|reward_item_chance24|reward_item_ID25|reward_item_count25|reward_item_chance25|reward_item_ID26|reward_item_count26|reward_item_chance26|reward_item_ID27|reward_item_count27|reward_item_chance27|reward_item_ID28|reward_item_count28|reward_item_chance28|reward_item_ID29|reward_item_count29|reward_item_chance29|reward_item_ID30|reward_item_count30|reward_item_chance30|reward_item_ID31|reward_item_count31|reward_item_chance31|reward_item_ID32|reward_item_count32|reward_item_chance32|reward_item_ID33|reward_item_count33|reward_item_chance33|reward_item_ID34|reward_item_count34|reward_item_chance34|reward_item_ID35|reward_item_count35|reward_item_chance35|reward_item_ID36|reward_item_count36|reward_item_chance36|reward_item_ID37|reward_item_count37|reward_item_chance37|reward_item_ID38|reward_item_count38|reward_item_chance38|reward_faction1ID|reward_faction1Amt|reward_faction2ID|reward_faction2Amt|reward_faction3ID|reward_faction3Amt|reward_faction4ID|reward_faction4Amt|reward_faction5ID|reward_faction5Amt|reward_faction6ID|reward_faction6Amt|request_text|reward_text|min_expansion
30000|1|airplane|0||#Master_of_Elements||56|-1|-1||-1|0|28032|Element of Earth|1|28009|1|28006|1|28033|1|-1|0|-1|0|0|0|-1|19436|Spell: Summon Orb|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|Trilith... Magi'kot.. knelt.. before.. the.. orb.. in.. his.. his.. last.. few.. moments... of.. mortal.. life. He... too... believed.. that.. he.. had.. the.. power.. and.. balance.. needed.. to.. grasp... control.. of.. the.. elements. He.. was.... flawed. Coming.. to... me... is.. a.. matter.. of.. no.. small.. import. Only.. only... one.. who.. is.. of.. balance.. and.. power... power.. may.. control.. the.. Orb.. of... Mastery. Give.... give.. me.. the.. Elements.. you.. have... gathered.. and.. I.. shall.. see.. if.. you.. are.. ready.. ready.. to control.. the... Elements.. of... life.. life.. life.||-1
30001|1|airplane|0||Abec_Ianor||54|-1|-1||-1|0|20951|Efreeti Statuette|1|20747|1|20748|1|-1|0|-1|0|-1|0|0|100000|-1|11686|Solidate Mithril Ring|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|Conception is vital. Travel beyond and bring forth an Efreeti Statuette, a Mithril Air Ring, and a Box of Winds. From these I will produce a ring that will protect you where ever you go.||-1
30002|1|airplane|0||Abec_Ianor||54|-1|-1||-1|0|20958|White-tipped Spiroc Feather|1|20749|1|20750|1|-1|0|-1|0|-1|0|0|100000|-1|27710|Amulet of the Void|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|Visualize and succeed. Proceed upward and bring to me a White-Tipped Spiroc Feather, a Pulsating Sapphire, and an Amethyst Amulet. With these items, I will be able to produce an amulet that will aid in your travels to our home.||-1
30003|1|airplane|0||Abec_Ianor||60|-1|-1||-1|0|20753|Efreeti War Staff|1|20965|1|20751|1|20752|1|-1|0|-1|0|0|100000|-1|11685|Nargon's Staff|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|Always be prepared. Adventure and return an Efreeti War Staff, some Lush Nectar, a Copper Air Band, and a large Sky Sapphire and you shall be rewarded with the Staff of Storms.||-1
30004|1|airplane|0||Alan_Harten||60|-1|-1||-1|0|20933|Ochre Tessera|1|20807|1|20806|1|-1|0|-1|0|-1|0|0|100000|-1|14563|Truewind Earring|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|You have come seeking the knowledge and treasures I possess. I will impart such things to you, if you do a service to your god. It matters not who that god may be, but the service and the faith you must exemplify. Bring to me an ochre tessera, a sky emerald, and a silver hoop.||-1
30005|1|airplane|0||Alan_Harten||55|-1|-1||-1|0|20808|Dark Wood|1|20939|1|20809|1|-1|0|-1|0|-1|0|0|100000|-1|27716|Aegis of the Wind|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|The test of skill it will be. Bring to me a golden disc, a piece of dark wood, and a small shield. You shall be rewarded upon your return.||-1
30006|1|airplane|0||Alan_Harten||60|-1|-1||-1|0|20946|Adumbrate Globe|1|20810|1|20811|1|-1|0|-1|0|-1|0|0|100000|-1|27717|Pauldrons of Piety|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|So, you must be a great protector to have ventured this far. Bring to me an adumbrate globe, a faintly glowing diamond, and some shiny pauldrons to get your reward.||-1
30007|1|airplane|0||a_presence|Summon Gwan|55|-1|-1||-1|0|1684|Charred Scale|1|-1|0|-1|0|-1|0|-1|0|-1|0|0|0|-1|-1||0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|||-1
30008|1|airplane|0||a_thunder_spirit_princess|Summon Gkzzallk|-1|-1|-1||-1|1000|-1||0|-1|0|-1|0|-1|0|-1|0|-1|0|0|0|-1|-1||0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|Gkzzallk lives far above here. We often take him tea because he's so nice to us fairies! He likes to chat with the others who live here and can often be found in the temple up above. If you give me a bit of money, I can go make sure he is home.||-1
30012|1|airplane|0||Clarisa_Spiritsong||60|-1|-1||-1|0|20947|Phosphoric Globe|1|20824|1|20825|1|-1|0|-1|0|-1|0|0|100000|-1|27722|Ervaj's Flute of Flight|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|The pitch that we sing and play has a great effect on those who listen. Keep this in mind, $N, and you shall always be welcome in taverns and inns. Now, I need you to return to me a phosphoric globe, a shimmering diamond, and a crude wooden flute.||-1
30013|1|airplane|0||Clarisa_Spiritsong||55|-1|-1||-1|0|20940|Platinum Disc|1|20822|1|20823|1|-1|0|-1|0|-1|0|0|100000|-1|27721|Mantle of the Songweaver|1|100|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|0|-1|0|-1|0|-1|0|-1|0|-1|0|-1|0|The sweet sounds rising forth from our throats are what make us truly great. Go forth and give voice to your songs, and return to me a platinum disc, a music box, and a light woolen mantle. If you do this, I shall give you the mantle of the songweaver. Good luck!||-1
