id,spawngroupID,zone,x,y,z,heading,respawntime,variance,pathgrid,roamRange
345336,96126,timorous,1725.630005,-12827.37988,-126.5,193.375,640,0,0,0
345289,96081,timorous,2986.629883,-12739.12988,-126.5,228,640,0,0,0
345394,96197,timorous,3424.129883,-12562.87988,-134.630005,79.625,640,0,0,0
345398,96199,timorous,3412.75,-12382.62988,-134.630005,71.75,640,0,0,0
345270,96071,timorous,4356.879883,-12264.5,-171.130005,188.25,640,0,0,0
345386,96189,timorous,4338,-12258,-278.880005,64,640,0,0,0
347714,189724,timorous,4308.645508,-12248.90527,-137.054214,92.25,1200,0,18,5
345273,96076,timorous,4000.5,-12247.87988,-126.5,34,640,0,0,0
345392,96193,timorous,4356.75,-12242.87988,-167.130005,200.125,640,0,0,0
345388,96190,timorous,4356.75,-12242.75,-178,212.5,640,0,0,0
345275,96076,timorous,2798.879883,-12201.87988,-130.25,67.5,640,0,0,0
345389,96190,timorous,536.630005,-12103.37988,-129.630005,1.5,640,0,0,0
345314,96096,timorous,3377.75,-11857.37988,-131.5,69,640,0,0,0
345291,96081,timorous,2201.379883,-11830.12988,-131.5,214,640,0,0,0
345269,96071,timorous,3299.75,-11825,-126.5,192.5,640,0,0,0
345229,96033,timorous,-1855,-11821,-0.13,190,640,0,0,0
345390,96190,timorous,4237,-11810.62988,-129.630005,145.625,640,0,0,0
347477,189489,timorous,-2252,-11788,58,502,640,0,0,0
345395,96197,timorous,1661.380005,-11732.87988,-129.630005,64.25,640,0,0,0
345396,96197,timorous,1256.130005,-11714.75,-129.630005,86.375,640,0,0,0
345397,96197,timorous,4074,-11668.5,-129.630005,168.5,640,0,0,0
345293,96081,timorous,2454.879883,-11661.62988,-126.5,56.125,640,0,0,0
345290,96081,timorous,3739.879883,-11640.5,-126.5,179.25,640,0,0,0
345197,96001,timorous,-2210,-11630,70.5,130,640,0,0,0
345403,96204,timorous,1702.5,-11610.37988,-129.630005,206.75,640,0,0,0
345404,96204,timorous,2094.879883,-11600,-129.630005,198.5,640,0,0,0
345263,96068,timorous,-2275,-11592,73.629997,78.5,640,0,0,0
345260,96063,timorous,-2235,-11565,70.5,1,640,0,0,0
345274,96076,timorous,2877.75,-11558.5,-126.5,192.125,640,0,0,0
345391,96190,timorous,2372.629883,-11554.62988,-129.630005,53.5,640,0,0,0
345288,96081,timorous,1179.75,-11486.87988,-131.5,204.5,640,0,0,0
345401,96204,timorous,1624.5,-11467.87988,-129.630005,183.75,640,0,0,0
345405,96204,timorous,1244.380005,-11399.75,-129.630005,115.875,640,0,0,0
345399,96199,timorous,622.5,-11389.62988,-129.630005,65,640,0,0,0
345387,96190,timorous,2774.5,-11334.37988,-127.25,212,640,0,0,0
345292,96081,timorous,1276.75,-11261.5,-131.5,207.25,640,0,0,0
345400,96199,timorous,2291.25,-11148.75,-129.630005,50,640,0,0,0
345393,96197,timorous,2729,-11082.25,-129.630005,104.5,640,0,0,0
345268,96071,timorous,2857.5,-11024.62988,-126.5,66,640,0,0,0
345312,96096,timorous,3344.379883,-10946.5,-126.5,148.5,640,0,0,0
345272,96075,timorous,3793.879883,-10766.37988,-131.5,40.625,640,0,0,0
345271,96073,timorous,1470,-10731.87988,-126.5,92.375,640,0,0,0
345402,96204,timorous,4084.5,-10698.5,-129.630005,185.5,640,0,0,0
345313,96096,timorous,2709.629883,-10656.12988,-126.5,193.5,640,0,0,0
345230,96034,timorous,1948,-9671,9.88,130.5,640,0,0,0
345252,96046,timorous,-6113,-9640,10.5,167,640,0,0,0
345233,96036,timorous,1903,-9618,15.5,54,640,0,3,5
