eqid|spawngroupid|zone|x|y|z|heading|respawntime|variance|pathgrid|eq_condition_old|enabled|animation|boot_respawntime|clear_timer_onboot|boot_variance|force_z|min_expansion|max_expansion|content_flags|content_flags_disabled|z_eq_original|wowcustom
325071|55000|akanon|809|-205.00002|-71.96875|62|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325072|55059|akanon|827|-171|-71.96875|116|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325073|55218|akanon|827|-201.00002|-71.96875|102|360|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325074|55057|akanon|805|-209.00002|-71.96875|44|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325075|55006|akanon|2009|-261.00003|-195.90623|197|7200|0|0|0|1|0|0|0|0|0|1|99|||-194|0
325076|55203|akanon|811.00006|-147.00002|-32|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.700001|0
325077|55204|akanon|811.00006|-132|-32|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.700001|0
325078|55205|akanon|817|-211|-32|63|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.700001|0
325079|55087|akanon|813.00006|-200|-32|257|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325080|55042|akanon|788.00006|-210.00002|-55.96876|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325081|55201|akanon|763.00006|-174|-55.96876|157|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325082|55007|akanon|2171.0002|-436.00003|-183.9375|250|360|0|4|0|1|0|0|0|0|0|-1|-1|||-182|0
325083|55193|akanon|1842|-428.00003|-125.9375|58|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-124.599998|0
325084|55195|akanon|1921.0001|-223|-125.9375|192|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-124.599998|0
325085|55014|akanon|901.00006|-324|-10|192|1200|0|1|0|1|0|0|0|0|0|-1|-1|||-6.13|0
325086|221073|akanon|2044.0001|-411.00003|-183.9375|91|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325087|221099|akanon|2149.0002|-373|-183.9375|67|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325088|221074|akanon|2111|-425|-183.9375|196|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325089|221076|akanon|2112|-443.00003|-183.9375|66|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325090|221100|akanon|2137|-359|-183.9375|1|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325091|221101|akanon|2156|-366|-183.9375|126|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325092|221102|akanon|2149.0002|-355|-183.9375|201|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
