contextkey|wow_spell_id
bardsongeffect~7~~~|98500
stun~123~1~~|98501
stun~124~1~~|98502
stun~125~1~~|98503
stun~177~1~~|98504
stun~178~1~~|98505
stun~216~1~~|98506
maleform~243~1~~|98507
femaleform~243~1~~|98508
maleform~258~1~~|98509
femaleform~258~1~~|98510
maleform~287~1~~|98511
femaleform~287~1~~|98512
stun~290~1~~|98513
maleform~425~1~~|98514
femaleform~425~1~~|98515
maleform~426~1~~|98516
femaleform~426~1~~|98517
maleform~427~1~~|98518
femaleform~427~1~~|98519
maleform~428~1~~|98520
femaleform~428~1~~|98521
stun~472~1~~|98522
stun~473~1~~|98523
stun~474~1~~|98524
stun~475~1~~|98525
stun~503~1~~|98526
maleform~559~2~~|98527
femaleform~559~2~~|98528
maleform~581~1~~|98529
femaleform~581~1~~|98530
maleform~582~1~~|98531
femaleform~582~1~~|98532
maleform~583~1~~|98533
femaleform~583~1~~|98534
maleform~584~1~~|98535
femaleform~584~1~~|98536
maleform~585~1~~|98537
femaleform~585~1~~|98538
maleform~586~1~~|98539
femaleform~586~1~~|98540
maleform~587~1~~|98541
femaleform~587~1~~|98542
maleform~588~1~~|98543
femaleform~588~1~~|98544
maleform~589~1~~|98545
femaleform~589~1~~|98546
maleform~590~1~~|98547
femaleform~590~1~~|98548
maleform~591~1~~|98549
femaleform~591~1~~|98550
maleform~592~1~~|98551
femaleform~592~1~~|98552
maleform~593~1~~|98553
femaleform~593~1~~|98554
maleform~594~1~~|98555
femaleform~594~1~~|98556
maleform~595~1~~|98557
femaleform~595~1~~|98558
maleform~596~1~~|98559
femaleform~596~1~~|98560
maleform~597~1~~|98561
femaleform~597~1~~|98562
maleform~598~1~~|98563
femaleform~598~1~~|98564
maleform~599~1~~|98565
femaleform~599~1~~|98566
maleform~600~1~~|98567
femaleform~600~1~~|98568
maleform~601~1~~|98569
femaleform~601~1~~|98570
stun~612~1~~|98571
maleform~643~1~~|98572
femaleform~643~1~~|98573
maleform~644~1~~|98574
femaleform~644~1~~|98575
bardsongeffect~700~~~|98576
bardsongeffect~701~~~|98577
bardsongeffect~702~~~|98578
bardsongeffect~703~~~|98579
bardsongeffect~705~~~|98580
bardsongeffect~706~~~|98581
bardsongeffect~707~~~|98582
bardsongeffect~709~~~|98583
bardsongeffect~710~~~|98584
bardsongeffect~711~~~|98585
bardsongeffect~712~~~|98586
bardsongeffect~713~~~|98587
bardsongeffect~714~~~|98588
bardsongeffect~715~~~|98589
bardsongeffect~716~~~|98590
bardsongeffect~717~~~|98591
bardsongeffect~718~~~|98592
bardsongeffect~719~~~|98593
bardsongeffect~721~~~|98594
bardsongeffect~724~~~|98595
bardsongeffect~725~~~|98596
bardsongeffect~729~~~|98597
bardsongeffect~730~~~|98598
bardsongeffect~734~~~|98599
bardsongeffect~735~~~|98600
bardsongeffect~738~~~|98601
bardsongeffect~740~~~|98602
bardsongeffect~741~~~|98603
bardsongeffect~743~~~|98604
bardsongeffect~744~~~|98605
bardsongeffect~745~~~|98606
bardsongeffect~746~~~|98607
bardsongeffect~747~~~|98608
bardsongeffect~748~~~|98609
bardsongeffect~749~~~|98610
bardsongeffect~750~~~|98611
heal~777~4~~|98612
stun~787~1~~|98613
stun~796~1~~|98614
heal~798~1~~|98615
stun~804~1~~|98616
stun~807~1~~|98617
stun~809~1~~|98618
stun~831~1~~|98619
stun~834~1~~|98620
stun~837~1~~|98621
stun~844~2~~|98622
stun~846~1~~|98623
stun~848~1~~|98624
stun~856~1~~|98625
stun~869~1~~|98626
stun~870~3~~|98627
stun~886~1~~|98628
stun~900~1~~|98629
maleform~914~1~~|98630
femaleform~914~1~~|98631
stun~915~1~~|98632
stun~916~1~~|98633
stun~919~1~~|98634
stun~926~1~~|98635
stun~958~1~~|98636
stun~967~1~~|98637
stun~989~2~~|98638
stun~1020~1~~|98639
stun~1024~2~~|98640
stun~1026~2~~|98641
stun~1031~2~~|98642
stun~1033~1~~|98643
stun~1034~1~~|98644
stun~1040~3~~|98645
stun~1047~2~~|98646
stun~1058~2~~|98647
stun~1071~3~~|98648
stun~1075~3~~|98649
stun~1085~2~~|98650
stun~1118~2~~|98651
stun~1140~2~~|98652
stun~1145~2~~|98653
stun~1151~2~~|98654
stun~1152~3~~|98655
maleform~1194~1~~|98656
femaleform~1194~1~~|98657
heal~1208~4~~|98658
stun~1244~1~~|98659
stun~1247~1~~|98660
bardsongeffect~1271~~~|98661
maleform~1279~1~~|98662
femaleform~1279~1~~|98663
stun~1314~2~~|98664
stun~1335~3~~|98665
maleform~1376~2~~|98666
femaleform~1376~2~~|98667
maleform~1416~1~~|98668
femaleform~1416~1~~|98669
maleform~1431~1~~|98670
femaleform~1431~1~~|98671
stun~1439~2~~|98672
stun~1446~1~~|98673
bardsongeffect~1448~~~|98674
bardsongeffect~1449~~~|98675
bardsongeffect~1450~~~|98676
bardsongeffect~1451~~~|98677
bardsongeffect~1452~~~|98678
stun~1473~3~~|98679
maleform~1474~1~~|98680
femaleform~1474~1~~|98681
stun~1484~3~~|98682
stun~1544~1~~|98683
heal~1548~1~~|98684
maleform~1562~1~~|98685
femaleform~1562~1~~|98686
maleform~1563~1~~|98687
femaleform~1563~1~~|98688
maleform~1564~1~~|98689
femaleform~1564~1~~|98690
maleform~1611~1~~|98691
femaleform~1611~1~~|98692
maleform~1614~3~~|98693
femaleform~1614~3~~|98694
stun~1634~1~~|98695
stun~1635~1~~|98696
stun~1656~1~~|98697
stun~1696~1~~|98698
stun~1715~1~~|98699
stun~1744~2~~|98700
stun~1747~1~~|98701
bardsongeffect~1750~~~|98702
bardsongeffect~1751~~~|98703
bardsongeffect~1752~~~|98704
bardsongeffect~1753~~~|98705
bardsongeffect~1756~~~|98706
bardsongeffect~1757~~~|98707
bardsongeffect~1758~~~|98708
bardsongeffect~1759~~~|98709
bardsongeffect~1760~~~|98710
bardsongeffect~1761~~~|98711
bardsongeffect~1762~~~|98712
bardsongeffect~1763~~~|98713
bardsongeffect~1764~~~|98714
bardsongeffect~1765~~~|98715
stun~1789~2~~|98716
stun~1793~1~~|98717
heal~1796~2~~|98718
stun~1803~1~~|98719
stun~1807~1~~|98720
stun~1820~1~~|98721
heal~1946~1~~|98722
stun~1957~3~~|98723
maleform~1961~2~~|98724
femaleform~1961~2~~|98725
stun~1968~3~~|98726
stun~1970~2~~|98727
stun~1971~3~~|98728
bardsongeffect~1973~~~|98729
stun~2005~3~~|98730
stun~2006~3~~|98731
bardsongeffect~2007~~~|98732
stun~2047~3~~|98733
stun~2048~3~~|98734
bardsongeffect~2050~~~|98735
stun~2055~1~~|98736
stun~2058~1~~|98737
stun~2059~2~~|98738
stun~2074~1~~|98739
stun~2096~4~~|98740
stun~2097~1~~|98741
maleform~2114~1~~|98742
femaleform~2114~1~~|98743
maleform~2128~1~~|98744
femaleform~2128~1~~|98745
stun~2136~1~~|98746
maleform~2146~2~~|98747
femaleform~2146~2~~|98748
stun~2157~1~~|98749
heal~2165~1~~|98750
stun~2190~1~~|98751
maleform~2210~3~~|98752
femaleform~2210~3~~|98753
stun~2256~1~~|98754
stun~2258~1~~|98755
stun~2263~1~~|98756
stun~2268~2~~|98757
stun~2377~1~~|98758
stun~2382~3~~|98759
stun~2383~2~~|98760
stun~2384~2~~|98761
stun~2504~1~~|98762
maleform~2523~1~~|98763
femaleform~2523~1~~|98764
maleform~2565~1~~|98765
femaleform~2565~1~~|98766
maleform~2566~2~~|98767
femaleform~2566~2~~|98768
stun~2581~1~~|98769
stun~2582~1~~|98770
stun~2587~1~~|98771
bardsongeffect~2604~~~|98772
stun~2651~1~~|98773
stun~2652~1~~|98774
stun~2653~1~~|98775
stun~2663~1~~|98776
stun~2726~3~~|98777
maleform~2750~2~~|98778
femaleform~2750~2~~|98779
stun~2805~3~~|98780
stun~2809~4~~|98781
stun~2810~4~~|98782
stun~2816~2~~|98783
stun~2822~3~~|98784
maleform~2826~1~~|98785
femaleform~2826~1~~|98786
maleform~2832~1~~|98787
femaleform~2832~1~~|98788
stun~2842~1~~|98789
stun~2889~3~~|98790
stun~2891~3~~|98791
maleform~2892~1~~|98792
femaleform~2892~1~~|98793
stun~2898~1~~|98794
stun~2902~3~~|98795
stun~2908~3~~|98796
stun~2914~1~~|98797
stun~2927~3~~|98798
stun~2950~1~~|98799
stun~2951~1~~|98800
stun~2952~1~~|98801
stun~2967~1~~|98802
stun~3004~2~~|98803
stun~3011~2~~|98804
stun~3013~2~~|98805
stun~3017~2~~|98806
stun~3051~1~~|98807
stun~3057~2~~|98808
maleform~3063~1~~|98809
femaleform~3063~1~~|98810
stun~3071~2~~|98811
stun~3152~1~~|98812
stun~3153~1~~|98813
stun~3166~1~~|98814
stun~3167~2~~|98815
stun~3168~1~~|98816
stun~3170~2~~|98817
stun~3172~2~~|98818
stun~3174~2~~|98819
stun~3179~3~~|98820
stun~3222~2~~|98821
maleform~3241~1~~|98822
femaleform~3241~1~~|98823
stun~3245~1~~|98824
maleform~3271~2~~|98825
femaleform~3271~2~~|98826
maleform~3272~2~~|98827
femaleform~3272~2~~|98828
maleform~3273~2~~|98829
femaleform~3273~2~~|98830
maleform~3311~1~~|98831
femaleform~3311~1~~|98832
stun~3333~1~~|98833
bardsongeffect~3365~~~|98834
bardsongeffect~3368~~~|98835
bardsongeffect~3374~~~|98836
stun~3426~1~~|98837
stun~3434~2~~|98838
stun~3464~2~~|98839
heal~3469~1~~|98840
stun~3481~1~~|98841
stun~3482~1~~|98842
maleform~3488~1~~|98843
femaleform~3488~1~~|98844
bardsongeffect~3566~~~|98845
bardsongeffect~3567~~~|98846
maleform~3579~1~~|98847
femaleform~3579~1~~|98848
maleform~3580~1~~|98849
femaleform~3580~1~~|98850
maleform~3586~1~~|98851
femaleform~3586~1~~|98852
stun~3588~2~~|98853
stun~3590~2~~|98854
stun~3621~2~~|98855
bardsongeffect~3651~~~|98856
stun~3666~4~~|98857
stun~3672~3~~|98858
stun~3748~2~~|98859
maleform~3750~1~~|98860
femaleform~3750~1~~|98861
stun~3755~4~~|98862
stun~3757~4~~|98863
stun~3760~2~~|98864
stun~3762~2~~|98865
stun~3775~2~~|98866
stun~3776~2~~|98867
stun~3777~2~~|98868
stun~3785~1~~|98869
maleform~3854~1~~|98870
femaleform~3854~1~~|98871
maleform~3855~1~~|98872
femaleform~3855~1~~|98873
maleform~3856~1~~|98874
femaleform~3856~1~~|98875
maleform~3857~1~~|98876
femaleform~3857~1~~|98877
stun~3878~2~~|98878
stun~3912~1~~|98879
stun~3940~2~~|98880
stun~3941~2~~|98881
stun~3944~1~~|98882
stun~3945~1~~|98883
maleform~3961~3~~|98884
femaleform~3961~3~~|98885
stun~3963~2~~|98886
stun~3964~2~~|98887
stun~3971~1~~|98888
stun~3972~1~~|98889
stun~3975~1~~|98890
focus~Stretched Skin Drum~652~4~110|98891
focus~Drum of the Jharin Recruit~652~4~100|98892
focus~Lute of the Jharin Apprentice~51~2~100|98893
focus~Flute of Eternal Night~251~1~120|98894
focus~Lute of the Gypsy Princess~51~2~110|98895
focus~Mistmoore Battle Drums~652~4~110|98896
focus~Brahhms Horn~307~1~110|98897
focus~Sharkskin Drum~652~4~120|98898
focus~Gypsy Lute~51~2~110|98899
focus~Lyran's Mystical Lute~51~2~150|98900
focus~Kelin`s Seven Stringed Lute~51~2~140|98901
focus~McVaxius` Horn of War~93~3~130|98902
focus~Selo`s Drums of the March~652~4~140|98903
focus~Lyssa`s Darkwood Piccolo~251~1~140|98904
focus~Denon's Horn of Dissonance~94~3~140|98905
focus~Ancient Thin Flute~251~1~80|98906
focus~Draconic Fellowship Drum~652~4~130|98907
focus~Draconic Fellowship Lute~51~2~140|98908
focus~Draconic Fellowship Horn~498~3~130|98909
focus~Scorpion Pincer~307~1~100|98910
focus~Nostrolo Tambourine~652~4~120|98911
focus~Hand Drum~652~4~80|98912
focus~Wooden Flute~251~1~80|98913
focus~Lute~51~2~100|98914
focus~Horn~94~3~100|98915
focus~Mandolin~51~2~100|98916
focus~Minotaur Horn~307~1~100|98917
focus~Custom Naliedin Lute~51~2~100|98918
focus~Drum~652~4~100|98919
focus~Raw Bamboo~251~1~80|98920
focus~Flute Mouthpiece~251~1~80|98921
focus~Lianna's Flute~251~1~80|98922
focus~Agilmente's Flute of Flight~251~1~120|98923
focus~Combine Hand Drum~652~4~100|98924
focus~Combine Wooden Flute~251~1~100|98925
focus~Combine Lute~51~2~120|98926
focus~Combine Horn~94~3~120|98927
focus~Combine Mandolin~51~2~120|98928
focus~Broken Minotaur Lord's Horn~307~1~80|98929
focus~Torin's Horn~93~3~120|98930
focus~Mahlin's Mystical Bongos~652~4~110|98931
focus~Alluring Horn~94~3~80|98932
focus~Mystical Lute~51~2~110|98933
focus~Singing Short Sword~382~5~80|98934
focus~Crude Wooden Flute~251~1~80|98935
focus~Efreeti War Horn~94~3~120|98936
focus~Faun Flute~251~1~110|98937
focus~Rapier of Curses~262~2~100|98938
focus~Lyendlln's Lute~51~2~140|98939
focus~Ervaj's Flute of Flight~251~1~120|98940
focus~Denon's Horn of Disaster~94~3~140|98941
focus~Tormented Flute~251~1~180|98942
focus~Thunderous Drum of Karana~652~4~180|98943
focus~Orcish Lute of Singing~51~2~110|98944
focus~Tambourine of Rituals~750~4~120|98945
focus~Walrus Skin Drum~652~4~130|98946
focus~Immaculate Shell Horn~498~3~140|98947
focus~Conch Shell Horn~498~3~110|98948
focus~Flute of the Sacred Glade~251~1~150|98949
focus~Ivory Horn~307~1~80|98950
focus~A Flawless Ivory Horn~307~3~100|98951
focus~Unicorn Horn~637~1~120|98952
focus~Drums of the Beast~652~4~160|98953
focus~Lute of the Howler~51~2~120|98954
focus~A Mandolin~51~2~100|98955
focus~Verlekarnorm's Horn of Disaster~93~3~120|98956
basesplit~93874~1~~|98957
wornblock~98312~1~~|98958
basesplit~93867~1~~|98959
wornblock~98310~1~~|98960
basesplit~93869~1~~|98961
wornblock~98311~1~~|98962
basesplit~93168~1~~|98963
wornblock~98180~1~~|98964
wornblock~98181~1~~|98965
basesplit~92006~1~~|98966
basesplit~92008~1~~|98967
basesplit~92019~1~~|98968
basesplit~92019~2~~|98969
goodprocblock~97700~1~~|98970
