type|level|hp|mana|armor|str|agi|sta|inte|spi|min_dmg|max_dmg
animation|1|30|11|22|15|6|15|16|16|1|1
animation|2|40|20|24|15|6|15|16|16|1|2
animation|3|52|31|52|15|6|16|16|18|1|3
animation|4|62|41|92|16|6|17|17|18|2|4
animation|5|74|52|141|17|6|17|17|18|3|4
animation|6|87|62|202|18|6|18|17|18|3|6
animation|7|99|72|275|18|6|18|17|18|4|6
animation|8|113|83|362|19|7|19|18|18|4|7
animation|9|127|92|463|20|7|20|18|19|4|8
animation|10|144|103|582|20|7|20|18|19|5|9
animation|11|160|111|613|21|7|22|18|20|6|10
animation|12|177|134|652|22|7|25|19|20|6|11
animation|13|195|142|691|22|8|28|20|21|6|11
animation|14|213|160|731|23|8|31|20|22|6|11
animation|15|232|176|771|24|8|34|22|22|8|13
animation|16|251|193|812|25|8|36|22|23|8|13
animation|17|270|210|852|27|8|39|22|24|9|15
animation|18|291|220|891|27|9|41|24|25|8|15
animation|19|311|246|931|28|9|44|24|26|9|15
animation|20|333|265|970|29|10|47|25|27|10|16
animation|21|357|275|1012|31|10|50|26|27|11|18
animation|22|384|294|1052|32|10|53|27|29|11|18
animation|23|410|314|1091|33|11|55|27|29|11|18
animation|24|440|334|1132|34|11|58|28|30|11|19
animation|25|470|354|1170|35|11|61|29|31|13|20
animation|26|501|374|1210|36|11|64|30|32|13|21
animation|27|531|395|1252|37|12|67|30|33|13|22
animation|28|564|407|1289|39|12|69|32|34|14|22
animation|29|595|438|1330|40|13|72|32|34|14|22
animation|30|624|460|1369|40|13|75|34|36|15|24
animation|31|655|474|1408|41|13|78|34|36|15|25
animation|32|684|504|1450|42|13|81|35|37|15|25
animation|33|715|519|1488|43|14|83|36|38|16|26
animation|34|745|543|1529|44|14|86|36|39|16|26
animation|35|777|575|1567|46|15|89|38|40|17|27
animation|36|809|592|1691|46|15|92|39|41|18|28
animation|37|841|616|1821|48|15|95|39|42|18|29
animation|38|874|642|1957|49|15|97|41|43|18|29
animation|39|909|667|2101|50|15|100|41|44|19|30
animation|40|944|692|2253|52|16|104|43|46|20|31
animation|41|977|718|2411|53|16|106|43|46|21|33
animation|42|1017|745|2580|57|16|109|44|47|22|34
animation|43|1057|773|2755|60|17|112|46|48|24|37
animation|44|1098|800|2942|65|18|115|46|49|25|41
animation|45|1138|827|3136|67|18|118|47|50|27|42
animation|46|1182|856|3201|69|18|121|48|51|27|43
animation|47|1226|885|3249|70|18|124|49|53|28|44
animation|48|1271|914|3324|71|19|127|50|53|28|45
animation|49|1317|944|3389|73|19|130|51|55|29|46
animation|50|1364|975|3452|75|20|133|53|56|30|48
animation|51|1412|1005|3513|76|20|136|53|57|30|48
animation|52|1461|1037|3577|78|20|139|54|57|32|50
animation|53|1511|1070|3640|79|21|142|55|59|32|50
animation|54|1560|1101|3701|81|21|145|56|60|33|52
animation|55|1610|1142|3763|82|22|148|57|62|34|53
animation|56|1663|1167|3828|84|22|151|58|62|34|53
animation|57|1715|1209|3889|85|22|155|59|63|35|55
animation|58|1769|1235|3952|87|23|158|61|64|44|69
animation|59|1824|1278|4014|89|23|161|62|66|48|75
animation|60|1880|1313|4365|90|24|164|63|67|61|94
animation|61|1937|1341|4711|92|25|167|74|69|70|108
animation|62|1994|1385|5056|93|25|170|76|71|77|118
animation|63|2052|1413|5402|95|26|174|78|74|82|126
animation|64|2110|1459|5747|97|27|176|81|76|88|134
animation|65|2171|1505|6093|99|27|180|83|77|92|141
animation|66|2232|1535|6438|100|27|183|85|79|98|150
animation|67|2296|1582|6785|102|29|186|87|81|104|158
animation|68|2362|1613|7130|104|29|190|89|83|121|185
animation|69|2428|1661|7475|106|29|193|91|84|132|202
animation|70|2495|1702|7821|107|30|196|93|85|145|220
animation|71|2619|1742|8169|109|33|200|94|88|148|226
animation|72|2741|1785|8516|111|35|202|95|89|153|232
animation|73|2866|1827|8863|113|38|206|97|91|158|239
animation|74|2993|1870|9211|124|41|209|97|133|162|246
animation|75|3123|1921|9561|137|44|213|99|136|167|253
animation|76|3253|1965|9909|150|47|216|100|137|171|260
animation|77|3386|2009|10256|165|50|220|101|140|175|267
animation|78|3520|2055|10606|182|55|223|102|141|180|274
animation|79|3658|2100|10955|200|59|226|104|144|185|282
animation|80|3800|2154|11304|220|63|230|105|146|190|290
attacker|1|35|15|19|21|8|21|23|23|1|1
attacker|2|46|29|21|22|8|22|23|23|1|4
attacker|3|60|44|45|22|8|23|23|25|3|5
attacker|4|72|59|80|23|8|24|24|25|4|7
attacker|5|86|74|122|24|9|24|24|25|5|8
attacker|6|101|88|174|25|9|25|24|26|5|11
attacker|7|115|103|237|26|9|26|24|26|7|12
attacker|8|132|118|312|27|10|27|25|26|8|13
attacker|9|148|132|399|28|10|28|25|27|8|16
attacker|10|167|147|501|29|10|29|25|27|10|18
