spell_id|wow_class|spell_name|interaction|effect_index|school_mask|affects_damage|affects_healing|restriction|max_base_cast_time_ms|description_or_reason
5923|Paladin|Holy Power|describe|0|0|0|0|none|0|This also applies to your EverQuest Holy spells.
9452|Paladin|Vindication|describe|0|0|0|0|none|0|Also triggers from your EverQuest damaging spells.
10060|Priest|Power Infusion|describe|0|0|0|0|none|0|Also affects the target's EverQuest spells.
11069|Mage|Improved Fireball|align|0|4|1|0|direct_damage|0|"Also reduces the cast time of your EverQuest direct damage Fire spells by $/1000;S1 sec.

Note: The tooltip will not reflect the reduction in cast time and the global cooldown (GCD) will not change."
11070|Mage|Improved Frostbolt|align|0|16|1|0|direct_damage|0|"Also reduces the cast time of your EverQuest direct damage Frost spells by $/1000;S1 sec.

Note: The tooltip will not reflect the reduction in cast time and the global cooldown (GCD) will not change."
11071|Mage|Frostbite|describe|0|0|0|0|none|0|Also causes your EverQuest direct damage Frost spells to chill the target, reducing movement speed by 30% and attack speed by 25% for 5 sec. This chill can trigger the freeze.
11083|Mage|Burning Soul|align|0|4|1|0|none|0|Also reduces the pushback suffered from damaging attacks while casting EverQuest Fire damage spells by $s1% and reduces the threat caused by your EverQuest Fire damage spells by $s2%.
11095|Mage|Improved Scorch|describe|0|0|0|0|none|0|Your EverQuest direct damage Fire spells can also apply the spell vulnerability.
11100|Mage|Flame Throwing|align|0|4|1|0|none|0|Also increases the range of your EverQuest Fire damage spells by $s1 yards.
11103|Mage|Impact|describe|0|0|0|0|none|0|Also triggers from your EverQuest damaging spells.
11108|Mage|World in Flames|align|0|4|1|0|direct_damage|0|Also increases the critical strike chance of your EverQuest direct damage Fire spells and all your EverQuest area damage spells by $s1%.
11108|Mage|World in Flames|align|0|126|1|0|area_damage|0|
11115|Mage|Critical Mass|describe|0|0|0|0|none|0|This also applies to your EverQuest Fire damage spells.
11119|Mage|Ignite|describe|0|0|0|0|none|0|Also triggers from your EverQuest Fire damage spell critical strikes.
11124|Mage|Fire Power|align|0|4|1|0|none|0|Also increases the damage of your EverQuest Fire damage spells by $s1%.
11124|Mage|Fire Power|align|1|4|1|0|none|0|
11129|Mage|Combustion|align|0|4|1|0|none|0|Also increases your critical strike damage bonus with EverQuest Fire damage spells by $s1% while active, and each stack also increases your EverQuest Fire spell critical strike chance by 10%.
11151|Mage|Piercing Ice|describe|0|0|0|0|none|0|This also applies to your EverQuest Frost damage spells.
