eq_id|wow_id|enabled|name|player_1|teleport_zone|you_cast|other_casts|cast_on_you|cast_on_other|spell_fades|range|aoerange|pushback|pushup|cast_time|recovery_time|recast_time|buffdurationformula|buffduration|AEDuration|mana|effect_base_value1|effect_base_value2|effect_base_value3|effect_base_value4|effect_base_value5|effect_base_value6|effect_base_value7|effect_base_value8|effect_base_value9|effect_base_value10|effect_base_value11|effect_base_value12|effect_limit_value1|effect_limit_value2|effect_limit_value3|max1|max2|max3|max4|max5|max6|max7|max8|max9|max10|icon|memicon|components1|components2|component_counts1|component_counts2|NoexpendReagent1|NoexpendReagent2|formula1|formula2|formula3|formula4|formula5|formula6|formula7|formula8|formula9|formula10|formula11|LightType|goodEffect|Activated|resisttype|effectid1|effectid2|effectid3|effectid4|effectid5|effectid6|effectid7|effectid8|effectid9|effectid10|effectid11|effectid12|targettype|basediff|skill|zonetype|EnvironmentType|TimeOfDay|warrior_learn_level|warrior_learn_wowitemid|cleric_learn_level|cleric_learn_wowitemid|paladin_learn_level|paladin_learn_wowitemid|ranger_learn_level|ranger_learn_wowitemid|shadowknight_learn_level|shadowknight_learn_wowitemid|druid_learn_level|druid_learn_wowitemid|monk_learn_level|monk_learn_wowitemid|bard_learn_level|bard_learn_wowitemid|rogue_learn_level|rogue_learn_wowitemid|shaman_learn_level|shaman_learn_wowitemid|necromancer_learn_level|necromancer_learn_wowitemid|wizard_learn_level|wizard_learn_wowitemid|magician_learn_level|magician_learn_wowitemid|enchanter_learn_level|enchanter_learn_wowitemid|beastlord_learn_level|beastlord_learn_wowitemid|CastingAnim|TargetAnim|TravelType|SpellAffectIndex|disallow_sit|npc_no_cast|new_icon|spellanim|uninterruptable|ResistDiff|dot_stacking_exempt|deleteable|RecourseLink|no_partial_resist|short_buff_box|descnum|typedescnum|effectdescnum|effectdescnum2|npc_no_los|reflectable|resist_per_level|resist_cap|EndurCost|EndurTimerIndex|IsDiscipline|HateAdded|EndurUpkeep|pvpresistbase|pvpresistcalc|pvpresistcap|spell_category|pvp_duration|pvp_duration_cap|cast_not_standing|can_mgb|nodispell|npc_category|npc_usefulness|wear_off_message|suspendable|spellgroup|allowrest|custom_icon|not_player_spell
3316|95141|1|Word of Terris|PLAYER_1||||The voice of Terris Thule commands you.| moans.||200|0|0|0|5000|2250|10000|10|205|0|500|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|60|0|0|0|0|0|0|0|0|0|2504|2059|-1|-1|1|1|-1|-1|100|100|100|100|100|100|100|100|100|100|100|0|0|0|1|22|254|254|254|254|254|254|254|254|254|254|254|10|15|5|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|65|111984|255|-1|255|-1|255|-1|255|-1|43|0|0|12|0|0|27|87|0|0|0|0|0|0|0|43316|39004|39092|39157|0|-1|0|0|0|0|0|0|0|-87|136|-144|96|10|205|0|0|0|0|0|1|0|0|0|27|0
3314|95139|1|Child of Bertoxxulous|PLAYER_1|skel_pet_65_|||A child of decay rises from the ground.| calls forth a servant of decay.||0|0|0|0|16000|2250|2250|0|0|0|800|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2512|2106|13073|10028|1|1|28144|20508|100|100|100|100|100|100|100|100|100|100|100|0|1|0|0|71|254|254|254|254|254|254|254|254|254|254|254|6|0|14|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|65|111983|255|-1|255|-1|255|-1|255|-1|43|0|0|4|0|0|91|83|0|0|0|0|0|0|0|43314|39007|39121|0|0|0|0|0|0|0|0|0|0|-87|136|-144|51|0|0|0|0|0|0|0|0|1|0|0|91|0
3303|95128|1|Blood of Thule|PLAYER_1||||The blood of Thule pumps through your veins.|'s veins turn a vile shade of green.|Your veins return to normal.|200|0|0.5|0|5000|2500|2250|1|7|0|500|9|-75|0|0|0|0|0|0|0|0|0|0|0|0|0|0|335|0|0|0|0|0|0|0|0|2500|2049|-1|-1|1|1|-1|-1|100|4|100|100|100|100|100|100|100|100|100|0|0|0|4|36|0|254|254|254|254|254|254|254|254|254|254|5|0|14|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|65|111982|255|-1|255|-1|255|-1|255|-1|44|13|0|24|0|0|42|116|0|-50|0|0|0|1|0|43303|39006|39109|0|0|-1|0|0|0|0|0|0|0|-137|136|-194|131|1|7|0|0|1|0|0|1|0|0|0|42|0
3468|95293|1|Destroy Undead|PLAYER_1||||| staggers.||200|0|0|0|5000|2500|2250|0|0|0|300|-1200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2503|2119|-1|-1|1|1|-1|-1|100|100|100|100|100|100|100|100|100|100|100|0|0|0|1|0|254|254|254|254|254|254|254|254|254|254|254|10|5|24|-1|0|0|255|-1|64|110730|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|65|111981|255|-1|255|-1|255|-1|255|-1|44|13|0|21|0|0|153|91|0|-100|0|0|0|0|0|43468|39001|39056|0|0|-1|0|0|0|0|0|0|0|-100|100|0|2|0|0|0|0|0|0|0|0|0|0|0|153|0
3312|95137|0|Touch of Death|PLAYER_1||||| bones begin to regrow.||100|0|0|0|4500|2500|7500|0|0|0|250|1000|-10|0|0|0|0|0|0|0|0|0|0|0|0|0|1000|10|0|0|0|0|0|0|0|0|2510|2051|-1|-1|1|1|-1|-1|100|100|100|100|100|100|100|100|100|100|100|0|1|0|0|0|35|254|254|254|254|254|254|254|254|254|254|10|0|5|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|64|111980|255|-1|255|-1|255|-1|255|-1|43|0|0|1|0|0|99|73|0|0|0|0|0|0|0|43312|39007|39063|0|0|0|0|0|0|7|0|0|0|-87|136|-139|26|0|0|0|0|0|0|0|0|1|0|0|99|0
3311|95136|1|Seduction of Saryrn|PLAYER_1||||Your soul is claimed in a cold caress.| radiates an aura of cold.|The cold hands release your soul, for now.|0|0|0|0|3000|2250|6000|3|600|0|5|60|50|0|1|1|0|-63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2507|2105|-1|-1|1|1|-1|-1|100|100|100|100|100|100|100|100|100|100|100|0|1|0|0|58|15|10|66|13|10|0|254|254|254|254|254|6|0|5|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|64|111979|255|-1|255|-1|255|-1|255|-1|43|0|0|19|0|0|164|111|0|0|0|0|0|0|0|43311|39003|39161|39077|0|0|0|0|0|0|0|0|0|-87|136|-139|46|3|600|0|0|0|0|0|1|1|0|0|164|0
3310|95135|1|Saryrn's Companion|PLAYER_1|skel_pet_63_|||A visage of torment rises before you.| calls forth a servant of pain.||0|0|0|0|16000|2250|2250|0|0|0|800|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2512|2106|13073|10028|1|1|28144|20508|100|100|100|100|100|100|100|100|100|100|100|0|1|0|0|71|254|254|254|254|254|254|254|254|254|254|254|6|0|14|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|63|111976|255|-1|255|-1|255|-1|255|-1|43|0|0|4|0|0|91|83|0|0|0|0|0|0|0|43310|39007|39121|0|0|0|0|0|0|0|0|0|0|-87|136|-117|51|0|0|0|0|0|0|0|0|1|0|0|91|0
3309|95134|1|Embracing Darkness|PLAYER_1||||You are engulfed by an embracing darkness.| is engulfed in an embracing darkness.|The darkness fades.|200|0|0|0|3200|2500|2250|1|20|0|200|-5|-35|0|0|0|0|0|0|0|0|0|0|0|0|0|70|-75|0|0|0|0|0|0|0|0|2503|2119|-1|-1|1|1|-1|-1|102|102|100|100|100|100|100|100|100|100|100|0|0|0|1|0|3|254|254|254|254|254|254|254|254|254|254|5|0|14|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|63|111975|255|-1|255|-1|255|-1|255|-1|44|13|0|22|0|0|160|2|0|-20|0|0|0|1|0|43309|39006|39111|0|0|-1|0|0|0|0|0|0|0|-107|136|-137|7|1|4|0|0|0|0|0|1|0|0|0|160|0
3308|95133|1|Death's Silence|PLAYER_1||||The anger of undeath abates.| stops moaning.|Your anger returns.|200|0|0|0|3000|2250|2250|7|5|0|150|2|30|0|0|0|0|0|0|0|0|0|0|0|0|0|65|0|0|0|0|0|0|0|0|0|2504|2059|-1|-1|1|1|-1|-1|100|100|100|100|100|100|100|100|100|100|100|0|0|0|1|31|63|254|254|254|254|254|254|254|254|254|254|10|0|14|-1|0|0|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|63|111974|255|-1|255|-1|255|-1|255|-1|29|49|0|12|0|0|35|87|0|-10|0|0|0|0|0|43308|39004|39091|39157|0|-1|0|0|0|0|0|0|0|-2|136|-72|99|7|5|0|0|0|0|0|1|0|0|0|35|0
3195|95030|1|Greater Immobilize|PLAYER_1||||Your feet adhere to the ground.| adheres to the ground.|Your feet come free.|200|0|0|0|1750|2250|3000|8|10|0|150|0|-10000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2517|2118|-1|-1|1|1|-1|-1|100|100|100|100|100|100|100|100|100|100|100|0|0|0|1|10|99|254|254|254|254|254|254|254|254|254|254|5|0|5|-1|0|0|255|-1|62|110720|61|110839|255|-1|255|-1|255|-1|255|-1|255|-1|255|-1|62|111733|63|111971|255|-1|255|-1|255|-1|255|-1|44|0|0|16|0|100|117|109|0|-30|0|0|0|1|0|43195|39004|39087|0|0|-1|0|0|0|0|0|0|0|-2|136|-62|50|8|6|0|0|0|7|226|1|0|0|0|117|0
