RaceID|RaceName|MapID|AreaID|X|Y|Z|O|MenuItemText
1|Human|0|1519|-8836.896|642.0265|95.32001|1.1831598|Send me to Stormwind
2|Orc|1|1637|1578.9398|-4418.33|8.1286|0.21435402|Send me to Orgrimmar
3|Dwarf|0|1537|-4902.4976|-960.32825|501.46103|5.3999124|Send me to Ironforge
4|Night Elf|1|1657|9949.166|2492.7979|1317.1375|1.4466443|Send me to Darnassus
5|Undead|0|1497|1559.7615|245.17381|-43.10332|2.892789|Send me to Undercity
6|Tauren|1|1638|-1247.8959|83.22573|128.49944|2.214634|Send me to Thunder Bluff
7|Gnome|0|1537|-4902.4976|-960.32825|501.46103|5.3999124|Send me to Ironforge
8|Troll|1|1637|1578.9398|-4418.33|8.1286|0.21435402|Send me to Orgrimmar
10|Blood Elf|530|3487|9518.306|-7282.6304|14.01572|5.3833027|Send me to Silvermoon
11|Draenei|530|3557|-3798.5623|-11677.144|-106.22196|0.078535765|Send me to Exodar
