ZoneShortName|AllowGood|AllowNeutral|AllowEvil|X|Y|Z|O|MenuItemText
qeynos2|1|1|1|17.403481|235.138519|-1|3.15731|Send me to Qeynos
freporte|1|1|1|141.940521|-668.886902|-55.968739|3.12197|Send me to Freeport
rivervale|1|1|0|-10.75181|-114.053917|0|5.3721|Send me to Rivervale
erudnext|1|1|0|-122.231232|35.826111|36.000198|0.47118|Send me to Erudin
halas|1|1|0|134.768845|53.548248|0|0.10206|Send me to Halas
neriakb|0|1|1|-57.026218|-558.409241|-41.968552|3.79345|Send me to Neriak
oggok|0|1|1|209.857559|511.635773|55.968861|1.80644|Send me to Oggok
grobb|0|1|1|23.90066|-0.25706|0|5.45065|Send me to Grobb
gfaydark|1|1|0|189.536774|219.435333|-3.75126|5.87873|Send me to Kelethin
akanon|1|1|1|489.421692|-91.83342|-27.99737|5.58416|Send me to Ak'Anon
kaladima|1|1|0|43.366692|39.641869|-0.19467|1.25271|Send me to Kaladim
felwithea|1|1|0|13.11507|-276.381958|0|1.58729|Send me to Felwithe
cabeast|0|0|1|777.102173|-204.829117|14|4.7703714|Send me to Cabilis
