contextkey|totemcategory_id
Skinning Knife|220
A Quill|221
Animal Shaped Cookie Cutter|222
Barbarian Shaped Cookie Cutter|223
Pie Tin|224
Cake Round|225
Pot|226
Muffin Tin|227
Crab Cracker|228
Skewers|229
Gnome Shaped Cookie Cutter|230
Bread Tin|231
Smoker|232
Troll Shaped Cookie Cutter|233
Smithy Hammer|234
File|235
Teir`Dal Smithy Hammer|236
Forging Hammer|237
Smithing Chisel|238
Dwarven Smithy Hammer|239
Elven Smithy Hammer|240
Geozite Tool|241
Whittling Blade|242
Mithril Working Knife|243
Planing Tool|244
Cyclops skull|245
Gem Cutter|246
Finely Crafted Runequill Set|247
Basic Runequill Set|248
Novice's Runequill Set|249
Reusable Gray Jar Sketch|250
Sculpting Tools|251
Hammer of 1406|252
Notes from the Greenmist Tome|253
Soulforge Hammer|254
