id|recipe_id|item_id|successcount|componentcount|iscontainer
1|1|9650|0|1|0
2|1|9651|0|1|0
3|1|9665|0|1|0
4|1|19142|0|1|0
5|1|25770|0|1|0
6|1|9666|1|0|0
7|1|17048|0|0|1
8|1|17163|0|0|1
9|2|13934|0|1|0
10|2|16486|0|1|0
11|2|22702|0|1|0
12|2|22729|1|0|0
13|2|17048|0|0|1
14|2|17163|0|0|1
15|3|13934|0|1|0
16|3|16486|0|1|0
17|3|22700|0|1|0
18|3|22711|1|0|0
19|3|17048|0|0|1
20|3|17163|0|0|1
21|4|13934|0|1|0
22|4|16486|0|1|0
23|4|22701|0|1|0
24|4|22720|1|0|0
25|4|17048|0|0|1
26|4|17163|0|0|1
27|5|11933|0|1|0
28|5|16486|0|1|0
29|5|22702|0|1|0
30|5|22721|1|0|0
31|5|17048|0|0|1
32|5|17163|0|0|1
33|6|11933|0|1|0
34|6|16486|0|1|0
35|6|22700|0|1|0
36|6|22703|1|0|0
37|6|17048|0|0|1
38|6|17163|0|0|1
39|7|11933|0|1|0
40|7|16486|0|1|0
41|7|22701|0|1|0
42|7|22712|1|0|0
43|7|17048|0|0|1
44|7|17163|0|0|1
45|8|9753|0|1|0
46|8|13047|0|1|0
47|8|14238|0|1|0
48|8|22749|0|1|0
49|8|9753|1|0|0
50|8|23580|1|0|0
51|8|24497|1|0|0
53|8|17048|0|0|1
54|8|17163|0|0|1
55|9|9753|0|1|0
56|9|13047|0|1|0
57|9|14238|0|1|0
58|9|22767|0|1|0
59|9|9753|1|0|0
60|9|23580|1|0|0
61|9|24497|1|0|0
63|9|17048|0|0|1
64|9|17163|0|0|1
65|10|9753|0|1|0
66|10|13047|0|1|0
67|10|14238|0|1|0
68|10|14977|0|1|0
69|10|9753|1|0|0
70|10|23580|1|0|0
71|10|24497|1|0|0
73|10|17048|0|0|1
74|10|17163|0|0|1
75|11|9753|0|1|0
76|11|13047|0|1|0
77|11|14238|0|1|0
78|11|22763|0|1|0
79|11|9753|1|0|0
80|11|23580|1|0|0
81|11|24497|1|0|0
83|11|17048|0|0|1
84|11|17163|0|0|1
85|12|9753|0|1|0
86|12|13047|0|1|0
87|12|14238|0|1|0
88|12|22771|0|1|0
89|12|9753|1|0|0
90|12|23580|1|0|0
91|12|24497|1|0|0
93|12|17048|0|0|1
94|12|17163|0|0|1
95|13|9753|0|1|0
96|13|13047|0|1|0
97|13|14238|0|1|0
98|13|14976|0|1|0
99|13|9753|1|0|0
100|13|23580|1|0|0
101|13|24497|1|0|0
103|13|17048|0|0|1
104|13|17163|0|0|1
105|14|9753|0|1|0
106|14|13047|0|1|0
107|14|14238|0|1|0
108|14|22759|0|1|0
109|14|9753|1|0|0
110|14|23580|1|0|0
111|14|24497|1|0|0
113|14|17048|0|0|1
114|14|17163|0|0|1
115|15|9753|0|1|0
116|15|13047|0|1|0
117|15|14238|0|1|0
118|15|22770|0|1|0
119|15|9753|1|0|0
120|15|23580|1|0|0
121|15|24497|1|0|0
123|15|17048|0|0|1
124|15|17163|0|0|1
125|16|9753|0|1|0
126|16|13019|0|1|0
127|16|13047|0|1|0
128|16|14238|0|1|0
129|16|9753|1|0|0
130|16|23580|1|0|0
131|16|24497|1|0|0
133|16|17048|0|0|1
134|16|17163|0|0|1
135|17|9753|0|1|0
136|17|13047|0|1|0
137|17|14238|0|1|0
138|17|22772|0|1|0
139|17|9753|1|0|0
140|17|23580|1|0|0
141|17|24497|1|0|0
143|17|17048|0|0|1
144|17|17163|0|0|1
145|18|9753|0|1|0
146|18|13047|0|1|0
147|18|14238|0|1|0
148|18|22745|0|1|0
149|18|9753|1|0|0
150|18|23580|1|0|0
151|18|24497|1|0|0
153|18|17048|0|0|1
154|18|17163|0|0|1
155|19|9753|0|1|0
156|19|13047|0|1|0
157|19|14238|0|1|0
158|19|22750|0|1|0
159|19|9753|1|0|0
160|19|23580|1|0|0
161|19|24497|1|0|0
163|19|17048|0|0|1
164|19|17163|0|0|1
165|20|9753|0|1|0
166|20|13047|0|1|0
167|20|14238|0|1|0
168|20|22765|0|1|0
169|20|9753|1|0|0
170|20|23580|1|0|0
