eq_recipeID|wow_spellID|enabled|could_enable|name|Comment|eq_tradeskillID_orig|eq_tradeskillID|eq_skill_needed|eq_trivial|no_fail|replace_container|min_expansion|produced_eqid_0|produced_name_0|produced_count_0|produced_eqid_1|produced_name_1|produced_count_1|produced_eqid_2|produced_name_2|produced_count_2|produced_eqid_3|produced_name_3|produced_count_3|component_eqid_0|component_name_0|component_count_0|component_eqid_1|component_name_1|component_count_1|component_eqid_2|component_name_2|component_count_2|component_eqid_3|component_name_3|component_count_3|component_eqid_4|component_name_4|component_count_4|component_eqid_5|component_name_5|component_count_5|component_eqid_6|component_name_6|component_count_6|component_eqid_7|component_name_7|component_count_7|component_eqid_8|component_name_8|component_count_8|component_eqid_9|component_name_9|component_count_9|container_eqid_0|container_name_0|container_eqid_1|container_name_1|required_eqid_0|required_name_0|required_eqid_1|required_name_1
1|-1|0||Blessed Fishing Rod||55|55|0|202|0|0|3|9666|Blessed Fishing Rod|1||||||||||9650|INVALID_ID|1|9651|Blessed Dust of Karana|1|9665|Treated Silk Fibres|1|19142|Branch of Planar Oak|1|25770|Spool|1|||||||||||||||||||||||
2|87000|1||Busy Bee Circle Fly||55|55|0|54|0|0|-1|22729|Busy Bee Circle Fly|1||||||||||13934|Bixie Wing|1|16486|Silk Thread|1|22702|Circle Hook|1|||||||||||||||||||||||||||||
3|87001|1||Busy Bee Dry Fly||55|55|0|26|0|0|-1|22711|Busy Bee Dry Fly|1||||||||||13934|Bixie Wing|1|16486|Silk Thread|1|22700|Dry Hook|1|||||||||||||||||||||||||||||
4|87002|1||Busy Bee Treble Fly||55|55|0|44|0|0|-1|22720|Busy Bee Treble Fly|1||||||||||13934|Bixie Wing|1|16486|Silk Thread|1|22701|Treble Hook|1|||||||||||||||||||||||||||||
5|87003|1||Fire Wing Circle Fly||55|55|0|54|0|0|-1|22721|Fire Wing Circle Fly|1||||||||||11933|Fire Hornet Wing|1|16486|Silk Thread|1|22702|Circle Hook|1|||||||||||||||||||||||||||||
6|87004|1||Fire Wing Dry Fly||55|55|0|26|0|0|-1|22703|Fire Wing Dry Fly|1||||||||||11933|Fire Hornet Wing|1|16486|Silk Thread|1|22700|Dry Hook|1|||||||||||||||||||||||||||||
7|87005|1||Fire Wing Treble Fly||55|55|0|44|0|0|-1|22712|Fire Wing Treble Fly|1||||||||||11933|Fire Hornet Wing|1|16486|Silk Thread|1|22701|Treble Hook|1|||||||||||||||||||||||||||||
8|-1|0||Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22749|Rathe Muskie|1||||||||||||||||||||||||||9753|Filleting Knife||
9|-1|0||Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|22767|Iceclad Cutlassfish|1||||||||||||||||||||||||||9753|Filleting Knife||
10|-1|0||Fish Bones||55|55|0|171|0|0|-1|23580|Prepared Fish|1|24497|Fish Bones|1|||||||13047|Roots|1|14238|Celandine Herb|1|14977|Cave Guppy|1||||||||||||||||||||||||||9753|Filleting Knife||
