merchantid|enabled|wow_itemid|required_wow_factionid|required_reputation_rank|comment
300015|1|118000|1201|7|Guise of the Human - The Silver Mantle
300015|1|118000|1215|7|Guise of the Human - The Corrupt Militia
300015|1|118001|1204|7|Guise of the Barbarian - Barbarians of Halas
300015|1|118002|1202|7|Guise of the Erudite - Erudites of Erudin
300015|1|118002|1208|7|Guise of the Erudite - Erudites of Paineel
300015|1|118003|1206|7|Guise of the Wood Elf - Wood Elves of Kelethin
300015|1|118004|1207|7|Guise of the High Elf - High Elves of Felwithe
300015|1|118005|1217|7|Guise of the Dark Elf - Dark Elves of Neriak
300015|1|118006|1222|7|Guise of the Half Elf - Half Elves of Surefall
300015|1|118007|1205|7|Guise of the Dwarf - Dwarves of Kaladim
300015|1|118008|1216|7|Guise of the Troll - Trolls of Grobb
300015|1|118009|1213|7|Guise of the Ogre - Ogres of Oggok
300015|1|118010|1218|7|Guise of the Halfling - Halflings of Rivervale
300015|1|118011|1203|7|Guise of the Gnome - Gnomes of Ak Anon
300015|1|118012|1231|7|Guise of the Iksar - Iksar of Cabilis
