merchantid|enabled|slot|eq_itemid|wow_itemid|faction_required|quantity|is_mount|is_flying_mount|min_expansion|max_expansion
1008|1|0|15007|-1|-1100|0|0|0|-1|-1
1008|1|1|15710|-1|-1100|0|0|0|-1|-1
1008|1|2|15711|-1|-1100|0|0|0|-1|-1
1008|1|3|15709|-1|-1100|0|0|0|-1|-1
1008|1|4|15727|-1|-1100|0|0|0|-1|-1
1008|1|5|15712|-1|-1100|0|0|0|-1|-1
1008|1|6|15715|-1|-1100|0|0|0|-1|-1
1008|1|7|15723|-1|-1100|0|0|0|-1|-1
1008|1|8|15713|-1|-1100|0|0|0|-1|-1
1008|1|9|15716|-1|-1100|0|0|0|-1|-1
1008|1|10|15714|-1|-1100|0|0|0|-1|-1
1008|1|11|15748|-1|-1100|0|0|0|-1|-1
1009|1|0|15215|-1|-1100|0|0|0|-1|-1
1009|1|1|15219|-1|-1100|0|0|0|-1|-1
1009|1|2|15222|-1|-1100|0|0|0|-1|-1
1009|1|3|15227|-1|-1100|0|0|0|-1|-1
1009|1|4|15230|-1|-1100|0|0|0|-1|-1
1009|1|5|15234|-1|-1100|0|0|0|-1|-1
1009|1|6|15235|-1|-1100|0|0|0|-1|-1
1009|1|7|15012|-1|-1100|0|0|0|-1|-1
1009|1|8|15037|-1|-1100|0|0|0|-1|-1
1009|1|9|15216|-1|-1100|0|0|0|-1|-1
1009|1|10|15233|-1|-1100|0|0|0|-1|-1
1009|1|11|15368|-1|-1100|0|0|0|-1|-1
1009|1|12|15485|-1|-1100|0|0|0|-1|-1
1009|1|13|15501|-1|-1100|0|0|0|-1|-1
1010|1|0|15200|-1|-1100|0|0|0|-1|-1
1010|1|1|15201|-1|-1100|0|0|0|-1|-1
1010|1|2|15202|-1|-1100|0|0|0|-1|-1
1010|1|3|15203|-1|-1100|0|0|0|-1|-1
1010|1|4|15205|-1|-1100|0|0|0|-1|-1
1010|1|5|15209|-1|-1100|0|0|0|-1|-1
1010|1|6|15210|-1|-1100|0|0|0|-1|-1
1010|1|7|15011|-1|-1100|0|0|0|-1|-1
1010|1|8|15017|-1|-1100|0|0|0|-1|-1
1010|1|9|15208|-1|-1100|0|0|0|-1|-1
1010|1|10|15213|-1|-1100|0|0|0|-1|-1
1010|1|11|15218|-1|-1100|0|0|0|-1|-1
1010|1|12|15221|-1|-1100|0|0|0|-1|-1
1010|1|13|15223|-1|-1100|0|0|0|-1|-1
1011|1|0|15464|-1|-1100|0|0|0|-1|-1
1011|1|1|15387|-1|-1100|0|0|0|-1|-1
1011|1|2|15465|-1|-1100|0|0|0|-1|-1
1011|1|3|15470|-1|-1100|0|0|0|-1|-1
1011|1|4|15528|-1|-1100|0|0|0|-1|-1
1011|1|5|15636|-1|-1100|0|0|0|-1|-1
1011|1|6|15393|-1|-1100|0|0|0|-1|-1
1011|1|7|15658|-1|-1100|0|0|0|-1|-1
1012|1|0|15085|-1|-1100|0|0|0|-1|-1
1012|1|1|15381|-1|-1100|0|0|0|-1|-1
1012|1|2|15382|-1|-1100|0|0|0|-1|-1
1012|1|3|15383|-1|-1100|0|0|0|-1|-1
1012|1|4|15038|-1|-1100|0|0|0|-1|-1
1012|1|5|15236|-1|-1100|0|0|0|-1|-1
1012|1|6|15309|-1|-1100|0|0|0|-1|-1
1012|1|7|15657|-1|-1100|0|0|0|-1|-1
1012|1|8|15022|-1|-1100|0|0|0|-1|-1
1012|1|9|15108|-1|-1100|0|0|0|-1|-1
1012|1|10|15503|-1|-1100|0|0|0|-1|-1
1013|1|0|15054|-1|-1100|0|0|0|-1|-1
1013|1|1|15372|-1|-1100|0|0|0|-1|-1
1013|1|2|15373|-1|-1100|0|0|0|-1|-1
1013|1|3|15374|-1|-1100|0|0|0|-1|-1
1013|1|4|15375|-1|-1100|0|0|0|-1|-1
1013|1|5|15376|-1|-1100|0|0|0|-1|-1
1013|1|6|15377|-1|-1100|0|0|0|-1|-1
1013|1|7|15378|-1|-1100|0|0|0|-1|-1
1013|1|8|15354|-1|-1100|0|0|0|-1|-1
1013|1|9|15379|-1|-1100|0|0|0|-1|-1
1013|1|10|15380|-1|-1100|0|0|0|-1|-1
1013|1|11|15477|-1|-1100|0|0|0|-1|-1
1013|1|12|15656|-1|-1100|0|0|0|-1|-1
1014|1|0|15109|-1|-1100|0|0|0|-1|-1
1014|1|1|15111|-1|-1100|0|0|0|-1|-1
1014|1|2|15114|-1|-1100|0|0|0|-1|-1
1014|1|3|15116|-1|-1100|0|0|0|-1|-1
1014|1|4|15082|-1|-1100|0|0|0|-1|-1
1014|1|5|15630|-1|-1100|0|0|0|-1|-1
1014|1|6|15070|-1|-1100|0|0|0|-1|-1
