id|doorid|zone|type|name|pos_x|pos_y|pos_z|heading|opentype|lockpick|keyitem|altkeyitem|nokeyring|triggerdoor|triggertype|doorisopen|door_param|dest_zone|dest_x|dest_y|dest_z|dest_heading|invert_state|incline|size|islift|close_time|can_open|comments
112|31|befallen|Door|DOOR1|-531.764|-49.7649|-30.2168|0|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
113|30|befallen|Door|DOOR1|-531.86|-59.6187|-30.2168|0|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
114|29|befallen|Door|DOOR1|-543.519|-70.4576|-28.4668|384|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
115|28|befallen|Door|DOOR1|-533.644|-70.6815|-28.4668|384|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
116|26|befallen|Door|DOOR1|-169.899|-183.125|-13.9934|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
117|25|befallen|Door|DOOR1|-179.938|-153.08|-13.9934|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
118|23|befallen|Door|DOOR1|-169.827|69.0158|-13.9934|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
119|22|befallen|Door|DOOR1|-421.725|-72.0945|-41.9822|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
120|21|befallen|Door|DOOR1|-431.854|-12.868|-41.9822|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
121|20|befallen|Door|DOOR1|-571.853|112.674|-41.9822|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
122|19|befallen|Door|DOOR1|-558.87|166.021|-41.9822|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
123|18|befallen|Door|DOOR1|-571.825|-12.0268|-41.9822|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
124|17|befallen|Door|DOOR1|-561.758|53.7047|-41.9822|384|0|25|20362|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
125|16|befallen|Door|DOOR1|-602.864|-40.0095|-69.971|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
126|15|befallen|Door|DOOR1|-851.728|-180.835|-69.971|127.54|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
127|14|befallen|Door|DOOR1|-950.628|-71.9201|-69.971|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
128|13|befallen|Door|DOOR1|-211.946|-83.8161|-13.9934|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
129|12|befallen|Door|DOOR1|-221.826|0.324725|-13.9934|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
130|11|befallen|Door|DOOR1|-277.852|-0.229541|-13.9934|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
131|10|befallen|Door|DOOR1|-267.937|-83.4136|-13.9934|384|0|11|20361|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
132|9|befallen|Door|DOOR1|-319.902|-153.262|-13.9934|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
133|8|befallen|Door|DOOR1|-463.263|-99.9915|-41.9822|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
134|7|befallen|Door|DOOR1|-475.128|-225.929|-41.9822|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
135|6|befallen|Door|DOOR1|-533.828|-196.831|-41.9822|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
136|5|befallen|Door|DOOR1|-630.708|-179.908|-69.971|256|0|50|20363|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
137|4|befallen|Door|DOOR1|-670.404|-71.9323|-69.971|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
138|3|befallen|Door|DOOR1|-711.771|-26.5361|-69.971|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
139|24|befallen|Door|DOOR1|-851.868|27.1306|-69.971|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
140|1|befallen|Door|DOOR1|-319.939|99.242|-13.9934|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
141|2|befallen|Door|DOOR1|-309.895|68.9144|-13.9934|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
142|27|befallen|Door|DOOR1|-362.797|-155.375|-14.7178|214|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
145|33|blackburrow|Door|DOOR620X20|-41.4761|8.30483|-37.9838|18.88|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
146|31|blackburrow|Door|DOOR620X20|-7.57258|-222.859|-37.9681|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
147|30|blackburrow|Door|DOOR620X20|68.073|-172.106|-147.94|128|5|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
148|29|blackburrow|Door|DOOR620X20|-35.75|-103.512|-37.7338|132|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
149|24|blackburrow|Door|PAWPORTC|294.705|111.159|-37.9838|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
150|20|blackburrow|Door|DOOR620X20|123.35|130.25|-37.9838|499|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
151|16|blackburrow|Door|PAWPORTC|78.9765|284.481|-136.944|122.84|65|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
152|14|blackburrow|Door|PAWPORTC|170.49|371.848|-128.947|256|5|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
153|10|blackburrow|Door|BBDOOR2|237.891|324.65|-128.947|384|5|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
154|4|blackburrow|Door|BBDOOR2|-70.3489|-236.082|0.000985|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
257|12|commons|Door|DOOR1|1206.2|-1657.36|114.664|361.78|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
258|9|commons|Door|DOOR1|-418.484|2719.55|-54.6791|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
259|7|commons|Door|DOOR1|-151.242|1292.23|-52.2222|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
260|5|commons|Door|DOOR1|-254.193|527.991|-51.5865|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
261|4|commons|Door|DOOR1|-192.112|574.196|-52.0777|213|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
262|1|commons|Door|BBDOOR1|-714.642|244.415|-54.0004|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
263|3|commons|Door|BBDOOR1|364.823|-17.1633|-52.0021|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
264|2|commons|Door|DOOR1|-143.332|485.926|-51.6884|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
265|6|commons|Door|DOOR1|-507.321|2599.44|-52.2715|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
266|8|commons|Door|DOOR1|-454.994|2653.24|-51.9535|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
267|10|commons|Door|DOOR1|-467.194|2805.89|-51.5346|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
268|11|commons|Door|DOOR1|383.127|2420.82|-51.2352|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
301|130|crushbone|Door|CAZDOOR1|-102.573|690.224|-24.1091|316.44|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
302|127|crushbone|Door|CAZDOOR1|-90.7151|689.69|-23.3587|200.34|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
303|101|crushbone|Door|CAZDOOR1|27.1741|674.205|-16.3187|63.0602|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
304|6|crushbone|Door|CAZDOOR1|-22.8352|713.657|-30.9866|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
305|7|crushbone|Door|DOOR620X20|54.364|7.83763|15.9946|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
306|11|crushbone|Door|DOOR620X20|49.0627|-183.915|11.001|383.06|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
307|12|crushbone|Door|DOOR620X20|49.037|-188.11|11.001|384.6|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
308|13|crushbone|Door|DOOR620X20|29.0544|-183.816|11.2281|128.72|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
309|14|crushbone|Door|DOOR620X20|21.071|-181.691|11.001|128.4|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
310|15|crushbone|Door|DOOR620X20|21.0077|-185.715|11.001|127|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
311|16|crushbone|Door|DOOR620X20|6.29453|-170.826|11.001|76.5|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
312|17|crushbone|Door|DOOR620X20|21.1004|-188.127|10.6779|337.12|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
313|18|crushbone|Door|DOOR620X20|-9.47917|-165.162|11.001|80|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
314|19|crushbone|Door|DOOR620X20|-9.49283|-159.173|11.001|75|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
315|20|crushbone|Door|DOOR620X20|-21.911|-152.076|11.001|61.5599|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
316|21|crushbone|Door|DOOR620X20|-21.8815|-146.225|11.001|62.1796|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
317|22|crushbone|Door|DOOR620X20|-35.2948|-138.145|11.001|62.5596|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
318|23|crushbone|Door|DOOR620X20|-34.1901|-133.026|11.001|61.1198|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
319|24|crushbone|Door|DOOR620X20|-48.2901|-123.665|11.001|60.8398|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
320|25|crushbone|Door|DOOR620X20|-46.1717|-120.438|11.001|61.2597|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
321|27|crushbone|Door|DOOR620X20|-57.0994|-109.152|10.8276|61.4794|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
322|28|crushbone|Door|DOOR620X20|-56.8615|-114.135|11.001|60.6795|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
323|29|crushbone|Door|DOOR620X20|-74.4005|-100.392|11.001|89.6795|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
324|30|crushbone|Door|DOOR620X20|-75.055|-104.986|11.001|90.2795|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
325|31|crushbone|Door|DOOR620X20|-89.1325|-92.9655|10.9806|90.4795|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
326|32|crushbone|Door|DOOR620X20|-90.9331|-96.2054|11.001|87.9796|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
327|33|crushbone|Door|DOOR620X20|-108.073|-87.1808|11.001|89.2995|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
328|34|crushbone|Door|DOOR620X20|-107.239|-84.1249|11.001|89.9196|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
329|35|crushbone|Door|DOOR620X20|-124.339|-75.2949|10.4221|90.4197|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
330|36|crushbone|Door|DOOR620X20|-124.742|-78.179|11.001|88.1997|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
331|37|crushbone|Door|DOOR620X20|-136.609|-68.7065|11.001|88.3599|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
332|38|crushbone|Door|DOOR620X20|-137.425|-71.7076|11.4841|88.2999|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
333|39|crushbone|Door|DOOR620X20|-156.546|-71.8711|10.001|128.52|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
334|40|crushbone|Door|DOOR620X20|-156.173|-68.6769|10.001|128.06|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
335|41|crushbone|Door|DOOR620X20|-175.873|-68.6453|9.94345|128.3|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
336|42|crushbone|Door|DOOR620X20|-175.94|-71.915|10.001|128.9|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
337|43|crushbone|Door|DOOR620X20|-175.717|-74.0092|10.001|384.7|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
338|44|crushbone|Door|DOOR620X20|-175.855|-71.1893|10.001|384|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
339|45|crushbone|Door|DOOR620X20|-195.572|-73.958|10.001|384|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
340|46|crushbone|Door|DOOR620X20|-195.322|-70.708|10.001|386.16|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
341|47|crushbone|Door|DOOR620X20|-215.337|-73.8703|10.001|385.92|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
342|48|crushbone|Door|DOOR620X20|-215.12|-71.178|10.001|383.499|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
343|49|crushbone|Door|DOOR620X20|-235.13|-74.0281|10.001|383.219|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
344|50|crushbone|Door|DOOR620X20|-235.072|-70.9745|10.001|384.12|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
