ZoneShortName|IsSkyVisible|AmbientRed|AmbientBlue|AmbientGreen|FogType|FogRed|FogGreen|FogBlue|CenterX|CenterY|CenterZ|InnerEdgeX|InnerEdgeY|InnerEdgeZ|OuterEdgeX|OuterEdgeY|OuterEdgeZ|Comments
highkeep|1|165|165|165|medium|77|120|143|-26.409941|-646.316772|27.09202|-15.65038|-91.040176|27.09202|-14.36267|-71.482201|27.09202|Main entry to keep
highkeep|1|165|165|165|medium|77|120|143|30.30044|-52.463772|-398.808228|30.30044|-52.463772|-9.2944|30.30044|-52.463772|-9.2944|Under area
highkeep|1|165|165|165|medium|77|120|143|-87.852913|-401.620209|64.739891|-87.852913|-75.3675|64.739891|-87.852913|-69.677841|64.739891|Upper Keep (South Room)
highkeep|1|165|165|165|medium|77|120|143|-56.973782|-401.620209|64.739891|-56.973782|-75.3675|64.739891|-56.973782|-69.677841|64.739891|Upper Keep (South Door)
highkeep|1|165|165|165|medium|77|120|143|-13.80726|-401.620209|64.739891|-13.80726|-75.3675|64.739891|-13.80726|-69.677841|64.739891|Upper Keep (Center)
highkeep|1|165|165|165|medium|77|120|143|28.81698|-401.620209|64.739891|28.81698|-75.3675|64.739891|28.81698|-69.677841|64.739891|Upper Keep (North Door)
highkeep|1|165|165|165|medium|77|120|143|71.09243|-401.620209|64.739891|71.09243|-75.3675|64.739891|71.09243|-69.677841|64.739891|Upper Keep (North Room
timorous|1|128|128|128|medium|165|165|165|-12255.86207|4379.517241|-281|-12135.2|4379.517241|-281|-12117.9|4379.517241|-281|Pot Room
freportw|1|140|140|140|medium|165|165|165|-12255.86207|4379.517241|-281|-12135.17241|4379.517241|-281|-12117.93103|4379.517241|-281|Academy of Science
freportw|1|140|140|140|medium|165|165|165|137.4827586|-742.9655172|23.44827586|189.2068966|-742.9655172|23.44827586|189.2068966|-742.9655172|23.44827586|Academy of Science
freportw|1|140|140|140|medium|165|165|165|116.137931|-744.2758621|-6.896551724|157.5172414|-744.2758621|-6.896551724|157.5172414|-744.2758621|-6.896551724|Academy of Science
freportw|1|140|140|140|medium|165|165|165|129.0344828|-765.137931|-18.68965517|156.6206897|-765.137931|-18.68965517|156.6206897|-765.137931|-18.68965517|Academy of Science
freportw|1|140|140|140|medium|165|165|165|144.2068966|-737.2413793|-7.379310345|182.137931|-737.2413793|-7.379310345|182.137931|-737.2413793|-7.379310345|Academy of Science
freportw|1|140|140|140|medium|165|165|165|151.4827586|-719.1034483|-24.06896552|175.6206897|-719.1034483|-24.06896552|175.6206897|-719.1034483|-24.06896552|Academy of Science
freportw|1|140|140|140|medium|165|165|165|146.056259|-722.435669|-13.99995|146.272018|-697.863708|-13.99995|146.628891|-685.107361|-13.99995|Academy of Science (fade in and fade out)
