SourceZoneShortName|SourceBoxTopNW_X|SourceBoxTopNW_Y|SourceBoxTopNW_Z|SourceBoxBottomSE_X|SourceBoxBottomSE_Y|SourceBoxBottomSE_Z|TargetZoneShortName|TargetPosX|TargetPosY|TargetPosZ|TargetPosOrientation|AreaTriggerDBCID|Comment
airplane|3000|3000|-1000|-3000|-3000|-1200|freporte|-363.75037|-1778.4629|100|west|6500|
akanon|70.83075|-69.22085|12.469|60.77028|-84.16219|-0.5|steamfont|-2059.5798|528.81586|-111.12655|north|6501|
arena|-44.28722|-845.03625|45.75025|-74.66106|-871.419|7.0403852|lakerathe|2345.1172|2692.0679|92.193184|east|6502|
befallen|-49.9417|42.162197|12.469|-63.428658|27.86666|-0.5000006|commons|-1155.6317|596.3344|-42.280308|north|6503|
beholder|-1443.1708|-542.2266|423.58218|-1665.6155|-747.2683|13|eastkarana|3094.991|-2315.8328|23.849806|south|6504|
beholder|911.07355|-1858.2123|15.469|894.673|-1878.7317|0.50007594|runnyeye|-111.2879|-12.021315|0|east|6505|
blackburrow|106.64458|-329.8163|13.469|80.88026|-358.2026|-0.49926078|everfrost|-3027.1943|-532.2794|-113.18725|north|6506|
blackburrow|-154.74507|20.123898|10.469|-174.6326|10.831751|-0.49996006|qeytoqrg|3432.621|-1142.645|0|east|6507|
burningwood|7339.295|-4128.179|-197.4685|7297.6826|-4168.443|-236.43733|chardok|-2.107779|858.89545|99.968796|north|6508|
burningwood|-4431.6133|-509.9672|457.6962|-4849.6196|-1052.6932|176.06267|dreadlands|2797.4214|-814.58563|195.71893|south|6509|
burningwood|-2845.6619|-4620.881|5.9380794|-2976.7217|-4548.8438|-48.21263|frontiermtns|-2404.3184|4043.9534|-457.12997|east|6510|
burningwood|5302.8643|1900|-110.22279|5118.026|1400.6589|-170.77296|skyfire|-5439.923|1772.0016|-162.23752|north|6511|
butcher|-2937.8154|-317.8051|45.09004|-2957.5332|-351.47528|-0.49968797|cauldron|2853.7092|264.44955|469.3444|south|6512|
butcher|-1180.5581|-3073.2896|67.52528|-1218.3838|-3150|-0.4993223|gfaydark|-1563.3826|2626.1504|-0.12643|north|6513|
butcher|3145.1406|-173.6824|14.468006|3128.918|-186.06715|-0.4991133|kaladima|-60.207775|41.798244|0.001099754|north|6514|
cabeast|-3.43414|322.05966|12.469|-21.59059|307.68155|-0.49997|cabwest|-13.88645|314.97534|0|north|6515|
cabeast|-6.28793|350.27988|12.469|-18.97268|321.68054|-42.46873|cabwest|-13.97632|338.08603|-24.86|north|6516|
cabeast|-13.19251|378.44128|12.469|-21.71917|349.52643|-0.49994|cabwest|-14.33433|371.2054|0|north|6517|
cabeast|1377.6309|-455.81412|97.201485|1346.7754|-497.1183|-0.49989557|fieldofbone|-2557.7278|3688.0273|4.093815|east|6518|
cabeast|1236.0558|-605.5564|128.95297|1192.7297|-635.9432|-0.4994932|fieldofbone|-2747.7383|3530.195|4.093984|north|6519|
cabeast|-32.77538|-628.9169|175.34341|-196.99702|-687.23224|-12.13356|swampofnohope|2971.8267|3241.557|0.12506|east|6520|
cabeast|-211.57475|-411.0675|241.29495|-340.38284|-496.18396|-13.999|swampofnohope|3115.6138|3062.931|0.12517|south|6521|
cabeast|1004.516968|-162.317688|35.78117|1001.974182|-173.554626|15.00009|cabeast|1040.383545|-189.228622|41.968781|north|8325|Shaman Guild - West
cabeast|1004.829468|-204.290054|33.975208|1001.978699|-215.525879|15.00282|cabeast|1040.383545|-189.228622|41.968781|north|8325|Shaman Guild - East
cabwest|-20.73531|322.03055|12.469|-33.82721|302.6491|-0.49999|cabeast|-28.27875|314.921|0|south|6522|
cabwest|-20.97517|350.06732|12.469|-41.96627|321.68158|-42.46874|cabeast|-28.94468|335.8771|-24.86072|south|6523|
cabwest|-27.67672|364.0346|12.469|-49.26918|349.6161|-0.5|cabeast|-28.40676|357.03943|0.00026|south|6524|
cabwest|-810.96344|783.87994|129.84755|-860.99365|753.49493|-0.50004|lakeofillomen|6520.6997|-6630.659|35.09372|south|6525|
cabwest|-971.4317|642.0971|166.4065|-1001.78827|595.3213|-0.49962|lakeofillomen|6331.3677|-6786.9756|35.0938|west|6526|
cabwest|887.84937|1192.8895|64.13823|857.46265|1153.0483|-0.49998|warslikswood|-2253.6052|-1121.5679|262.81262|west|6527|
cabwest|739.58496|1343.6622|99.15137|698.8545|1313.2754|-0.49997|warslikswood|-2410.0334|-934.15704|262.81265|north|6528|
cauldron|2872.3113|280.6821|496.7702|2863.3867|247.66762|468.8444|butcher|-2921.9255|-335.65967|0.0002|north|6529|
cauldron|-1160.4626|-1000.6507|-287.7185|-1180.8483|-1024.0537|-334.875|kedge|129.83478|19.40405|320.32208|west|6530|
cauldron|-2022.7384|-616.4016|108.469|-2054.549|-636.7874|89.50018|unrest|60.59767|329.11218|0|south|6531|
cazicthule|42.32274|-55.7753|10.469|-0.19315|-84.1622|-0.5|feerrott|-1460.6335|-109.76048|47.9356|north|6532|
charasis|-2.36999|-722.148|34.469|-15.20014|-734.82794|17.50011|overthere|-83.67416|825.3392|-506.62497|east|6533|
chardok|-20.012981|879.84973|137.60643|-70.907234|839.5071|99.46923|burningwood|7357.6494|-4147.4604|-235.93742|north|6534|
chardok|220.71272|895.73254|138.4065|157.77734|839.54913|99.468735|burningwood|7357.6494|-4147.4604|-235.93742|north|6535|
citymist|21.65655|-808.0697|59.6395|-15.71945|-854.67426|-7.93809|emeraldjungle|300.9482|-1798.7002|-334.97293|east|6536|
cobaltscar|1604.2959|1636.7235|87.4065|1588.378|1616.3379|62.43777|sirens|-595.917|73.03884|-96.96873|north|6537|
commons|-1161.5278|603.6031|-29.81225|-1176.3967|588.6972|-42.781216|befallen|-67.97337|34.777237|0.000940983|south|6538|
commons|1168.5704|-1619.7473|200|1148.5704|-1649.7473|-100|ecommons|1158.778|5081.238|17.41032|east|6539|
commons|1148.5704|-1619.7473|200|1128.5704|-1649.7473|-100|ecommons|1138.778|5081.238|2.59289|east|6540|
commons|1128.5704|-1619.7473|200|1108.5704|-1649.7473|-100|ecommons|1118.778|5081.238|-3.41924|east|6541|
commons|1108.5704|-1619.7473|200|1088.5704|-1649.7473|-100|ecommons|1098.778|5081.238|-9.43889|east|6542|
commons|1088.5704|-1619.7473|200|1068.5704|-1649.7473|-100|ecommons|1078.778|5081.238|-15.46494|east|6543|
commons|1068.5704|-1619.7473|200|1048.5704|-1649.7473|-100|ecommons|1058.778|5081.238|-21.44954|east|6544|
commons|1048.5704|-1619.7473|200|1028.5704|-1649.7473|-100|ecommons|1038.778|5081.238|-22.05005|east|6545|
commons|1028.5704|-1619.7473|200|1008.5704|-1649.7473|-100|ecommons|1018.7779|5081.238|-28.47631|east|6546|
commons|1008.5704|-1619.7473|200|988.5704|-1649.7473|-100|ecommons|998.7779|5081.238|-34.90272|east|6547|
commons|988.5704|-1619.7473|200|968.5704|-1649.7473|-100|ecommons|978.7779|5081.238|-41.33672|east|6548|
commons|968.5704|-1619.7473|200|948.5704|-1649.7473|-100|ecommons|958.7779|5081.238|-47.76155|east|6549|
commons|948.5704|-1619.7473|200|928.5704|-1649.7473|-100|ecommons|938.7779|5081.238|-50.97005|east|6550|
commons|928.5704|-1619.7473|200|908.5704|-1649.7473|-100|ecommons|918.7779|5081.238|-50.96987|east|6551|
commons|908.5704|-1619.7473|200|888.5704|-1649.7473|-100|ecommons|898.7779|5081.238|-50.9701|east|6552|
commons|888.5704|-1619.7473|200|868.5704|-1649.7473|-100|ecommons|878.7779|5081.238|-50.97017|east|6553|
commons|868.5704|-1619.7473|200|848.5704|-1649.7473|-100|ecommons|858.7779|5081.238|-50.98745|east|6554|
commons|848.5704|-1619.7473|200|828.5704|-1649.7473|-100|ecommons|838.7779|5081.238|-53.24204|east|6555|
commons|828.5704|-1619.7473|200|808.5704|-1649.7473|-100|ecommons|818.7779|5081.238|-49.84257|east|6556|
commons|808.5704|-1619.7473|200|788.5704|-1649.7473|-100|ecommons|798.7779|5081.238|-46.44338|east|6557|
commons|788.5704|-1619.7473|200|768.5704|-1649.7473|-100|ecommons|778.7779|5081.238|-43.04378|east|6558|
commons|768.5704|-1619.7473|200|748.5704|-1649.7473|-100|ecommons|758.7779|5081.238|-39.65567|east|6559|
commons|748.5704|-1619.7473|200|728.5704|-1649.7473|-100|ecommons|738.7779|5081.238|-38.16817|east|6560|
commons|728.5704|-1619.7473|200|708.5704|-1649.7473|-100|ecommons|718.7779|5081.238|-36.14393|east|6561|
commons|708.5704|-1619.7473|200|688.5704|-1649.7473|-100|ecommons|698.7779|5081.238|-34.11961|east|6562|
commons|688.5704|-1619.7473|200|668.57043|-1649.7473|-100|ecommons|678.7779|5081.238|-32.10029|east|6563|
commons|668.57043|-1619.7473|200|648.57043|-1649.7473|-100|ecommons|658.77795|5081.238|-30.10605|east|6564|
commons|648.57043|-1619.7473|200|628.57043|-1649.7473|-100|ecommons|638.77795|5081.238|-31.59178|east|6565|
commons|628.57043|-1619.7473|200|608.57043|-1649.7473|-100|ecommons|618.77795|5081.238|-33.61595|east|6566|
commons|608.57043|-1619.7473|200|588.57043|-1649.7473|-100|ecommons|598.77795|5081.238|-35.63942|east|6567|
commons|588.57043|-1619.7473|200|568.57043|-1649.7473|-100|ecommons|578.77795|5081.238|-37.66307|east|6568|
commons|568.57043|-1619.7473|200|548.57043|-1649.7473|-100|ecommons|558.77795|5081.238|-39.68264|east|6569|
commons|548.57043|-1619.7473|200|528.57043|-1649.7473|-100|ecommons|538.77795|5081.238|-41.61567|east|6570|
commons|528.57043|-1619.7473|200|508.57043|-1649.7473|-100|ecommons|518.77795|5081.238|-45.0229|east|6571|
commons|508.57043|-1619.7473|200|488.57043|-1649.7473|-100|ecommons|498.77795|5081.238|-48.4303|east|6572|
commons|488.57043|-1619.7473|200|468.57043|-1649.7473|-100|ecommons|478.77795|5081.238|-51.83799|east|6573|
commons|468.57043|-1619.7473|200|448.57043|-1649.7473|-100|ecommons|458.77795|5081.238|-55.21848|east|6574|
commons|448.57043|-1619.7473|200|428.57043|-1649.7473|-100|ecommons|438.77795|5081.238|-55.21877|east|6575|
commons|428.57043|-1619.7473|200|408.57043|-1649.7473|-100|ecommons|418.77795|5081.238|-55.21844|east|6576|
commons|408.57043|-1619.7473|200|388.57043|-1649.7473|-100|ecommons|398.77795|5081.238|-55.21847|east|6577|
commons|388.57043|-1619.7473|200|368.57043|-1649.7473|-100|ecommons|378.77795|5081.238|-55.21854|east|6578|
commons|368.57043|-1619.7473|200|348.57043|-1649.7473|-100|ecommons|358.77795|5081.238|-55.21848|east|6579|
commons|348.57043|-1619.7473|200|328.57043|-1649.7473|-100|ecommons|338.77795|5081.238|-55.21741|east|6580|
commons|328.57043|-1619.7473|200|308.57043|-1649.7473|-100|ecommons|318.77795|5081.238|-55.21858|east|6581|
commons|308.57043|-1619.7473|200|288.57043|-1649.7473|-100|ecommons|298.77795|5081.238|-55.21854|east|6582|
commons|288.57043|-1619.7473|200|268.57043|-1649.7473|-100|ecommons|278.77795|5081.238|-55.21876|east|6583|
commons|268.57043|-1619.7473|200|248.57043|-1649.7473|-100|ecommons|258.77795|5081.238|-55.21828|east|6584|
commons|248.57043|-1619.7473|200|228.57043|-1649.7473|-100|ecommons|238.77795|5081.238|-55.21863|east|6585|
commons|228.57043|-1619.7473|200|208.57043|-1649.7473|-100|ecommons|218.77795|5081.238|-55.21832|east|6586|
commons|208.57043|-1619.7473|200|188.57043|-1649.7473|-100|ecommons|198.77795|5081.238|-55.21862|east|6587|
