ZoneShortName|ShapeType|LiquidType|SlantType|MaterialName|NorthX|SouthX|WestY|EastY|TopOrOnlyZ|BottomZ|MinDepthOrHeight|StepSize|NorthY|SouthY|WestX|EastX|NorthXLimit|SouthXLimit|WestYLimit|EastYLimit|NorthWestY|NorthEastY|SouthWestY|SouthEastY|EastNorthX|EastSouthX|WestNorthX|WestSouthX|CylinderCenterX|CylinderCenterY|CylinderRadius|ForcedAlignedAreaName|Comment
akanon|levelplane|water||d_m0004|718.72|517.7535|143.39594|-379.72653|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1065.5415|517.74347|141.23634|-31.59559|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1191.4834|992.2215|-31.58559|-455.3384|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|879.1124|718.73|-216.08324|-378.3436|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|943.1697|718.70996|-31.58559|-103.52196|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|992.2315|832.5633|-88.38521|-279.45834|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|992.2415|920.2458|-279.44833|-363.98868|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|920.2358|879.1024|-320.64697|-366.21725|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|724.6333|717.2204|-213.59102|-223.37408|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|724.36475|712.96246|-98.90881|-106.53505|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|840.26984|827.9013|-98.13206|-107.48493|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|946.8983|937.8466|-29.8857|-35.89546|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|950.657|936.5634|-27.90557|-32.40538|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|944.9029|936.5634|-27.90557|-38.28246|-28.99993|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|trapezoid|water||d_m0004|503.825|489.79922|0|0|174.74573|0|350|0.4|0|0|0|0|0|0|0|0|0.64579|-97.98641|-13.93752|-83.96542|0|0|0|0|0|0|0||
akanon|trapezoid|water||d_m0004|517.7806|503.815|0|0|174.74573|0|350|0.4|0|0|0|0|0|0|0|0|28.10212|-126.0104|0.64579|-97.98641|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1393.84|1099.7737|-624.3539|-687.78784|-29.00001|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
